,predicted_cases,actual_cases,error,perc_error
Columbia_UNC-SurvCon,1519223.0,1484323,34900.0,2.4%
USC-SI_kJalpha,1413155.0,1484323,-71168.0,-4.8%
USACE-ERDC_SEIR,1594262.3,1484323,109939.3,7.4%
CovidAnalytics-DELPHI,1629741.0,1484323,145418.0,9.8%
LANL-GrowthRate,1202776.1,1484323,-281546.9,-19.0%
QJHong-Encounter,1793195.1,1484323,308872.1,20.8%
DDS-NBDS,1137699.1,1484323,-346623.9,-23.4%
UMich-RidgeTfReg,1846280.5,1484323,361957.5,24.4%
IowaStateLW-STEM,1852210.0,1484323,367887.0,24.8%
COVIDhub-baseline,1866432.0,1484323,382109.0,25.7%
COVIDhub-ensemble,1874625.0,1484323,390302.0,26.3%
UCLA-SuEIR,2007925.8,1484323,523602.8,35.3%
JHU_IDD-CovidSP,2091137.5,1484323,606814.5,40.9%
LNQ-ens1,2188811.9,1484323,704488.9,47.5%
RobertWalraven-ESG,2439695.3,1484323,955372.3,64.4%
Covid19Sim-Simulator,2497924.6,1484323,1013601.6,68.3%
Karlen-pypm,2869171.9,1484323,1384848.9,93.3%
IHME-CurveFit,3015230.6,1484323,1530907.6,103.1%
