,predicted_cases,actual_cases,error,perc_error
Karlen-pypm,3846433.4,4769709,-923275.6,-19.4%
Covid19Sim-Simulator,3240115.0,4769709,-1529594.0,-32.1%
Columbia_UNC-SurvCon,3147419.0,4769709,-1622290.0,-34.0%
BPagano-RtDriven,3030489.1,4769709,-1739219.9,-36.5%
QJHong-Encounter,2903818.3,4769709,-1865890.7,-39.1%
CU-select,2823594.0,4769709,-1946115.0,-40.8%
JCB-PRM,2742028.9,4769709,-2027680.1,-42.5%
IBF-TimeSeries,2639542.0,4769709,-2130167.0,-44.7%
USACE-ERDC_SEIR,2542674.2,4769709,-2227034.8,-46.7%
JHUAPL-Bucky,2509569.6,4769709,-2260139.4,-47.4%
USC-SI_kJalpha,2381590.5,4769709,-2388118.5,-50.1%
COVIDhub-baseline,2343965.0,4769709,-2425744.0,-50.9%
IowaStateLW-STEM,2204687.0,4769709,-2565022.0,-53.8%
UCLA-SuEIR,2081309.4,4769709,-2688399.6,-56.4%
JHU_IDD-CovidSP,1612418.9,4769709,-3157290.1,-66.2%
LANL-GrowthRate,1436868.7,4769709,-3332840.3,-69.9%
CovidAnalytics-DELPHI,1379430.0,4769709,-3390279.0,-71.1%
