,mean_abs_error_2020-07-06_2020-08-01,mean_abs_error_2020-07-13_2020-08-01,mean_abs_error_2020-07-20_2020-08-01,mean_abs_error_2020-07-27_2020-08-01,mean_sq_abs_error_2020-07-06_2020-08-01,mean_sq_abs_error_2020-07-13_2020-08-01,mean_sq_abs_error_2020-07-20_2020-08-01,mean_sq_abs_error_2020-07-27_2020-08-01
COVIDhub-baseline,9568.5,4292.0,2423.5,1066.3,359985141.0,52365194.6,31198163.1,5562030.0
UCLA-SuEIR,8657.9,5198.8,3127.0,2108.4,353452074.6,153487726.3,46109498.5,20065447.0
LNQ-ens1,,4055.0,3698.6,528.4,,80934494.2,74810074.1,1069175.0
USC-SI_kJalpha,9631.7,8361.3,6303.6,678.9,607013194.1,414640031.4,223356702.2,1676224.5
USACE-ERDC_SEIR,13252.9,7339.8,3306.1,1219.9,482224579.0,115418431.9,61817141.9,7626550.3
IowaStateLW-STEM,9695.1,9891.4,5631.7,1739.2,608654967.8,536211822.4,332528947.5,23133545.5
LANL-GrowthRate,13102.0,10223.2,3885.1,1754.6,851497217.2,568646140.9,76473291.5,23702870.2
COVIDhub-ensemble,,,2577.8,929.1,,,32458486.0,3836284.4
CovidAnalytics-DELPHI,13010.0,9128.9,4712.3,2415.9,416398213.0,181671617.1,43159546.3,16450641.5
OliverWyman-Navigator,6409.4,13853.1,7564.5,1771.8,148366601.3,1342187199.9,365606808.0,14968242.8
RobertWalraven-ESG,32055.1,13958.9,4762.1,989.8,4165542125.2,1070621522.7,227441881.7,3293718.3
JHU_IDD-CovidSP,18353.8,10754.2,5757.2,1679.6,1419937409.2,678783598.1,194535646.5,7837137.5
Geneva-DetGrowth,27798.7,17853.2,8165.8,1098.2,3207670079.2,1216081166.3,242591923.6,4812836.4
Covid19Sim-Simulator,11042.1,10629.5,8633.3,5087.2,699323815.5,864341101.4,621086875.3,208409873.8
DDS-NBDS,,,,1917.8,,,,12147303.6
Karlen-pypm,,,14525.5,3219.8,,,1373385644.6,58312852.5
CovidActNow-SEIR_CAN,25918.8,,,,7299458083.2,,,
IHME-CurveFit,,,17238.0,8351.5,,,2655707471.0,635185622.8
