,count,mean,median,std,min,25%,75%,max
UMass-MechBayes,51,3333.9,169.0,8833.2,0.0,16.0,2352.5,56644.0
YYG-ParamSearch,51,3833.5,215.8,8350.8,0.0,24.2,3000.4,41659.1
UCLA-SuEIR,51,3985.3,561.3,10933.7,0.0,33.7,2037.6,70471.6
COVIDhub-ensemble,51,5164.4,378.9,10665.3,0.1,24.8,3305.2,47225.2
OliverWyman-Navigator,51,5169.1,311.1,11208.6,0.0,19.5,4206.5,58001.1
UA-EpiCovDA,51,6881.4,484.0,13451.1,0.0,50.0,7658.5,63001.0
MOBS-GLEAM_COVID,50,7538.0,744.4,14665.8,0.0,32.5,7682.9,66298.6
LANL-GrowthRate,51,8884.9,736.3,24438.3,0.0,49.6,4061.5,159634.1
IHME-CurveFit,51,9257.5,729.1,18142.4,0.1,47.2,9255.2,89259.5
UT-Mobility,51,11411.4,484.0,43863.1,0.0,22.6,2756.5,303601.0
Covid19Sim-Simulator,51,12053.8,1685.0,26900.5,0.0,68.0,13021.8,165823.0
Baseline,51,12593.2,555.6,36639.9,0.0,15.7,4185.7,215296.0
COVIDhub-baseline,51,19575.8,529.0,63184.8,0.0,16.0,7078.5,328216.1
CovidAnalytics-DELPHI,51,21209.4,484.0,74134.0,0.0,110.5,11342.5,508369.0
IowaStateLW-STEM,49,26014.3,1296.0,62521.3,0.0,81.0,5742.5,286225.0
JHU_IDD-CovidSP,51,27751.2,1853.0,123146.3,0.2,214.1,6874.3,873427.3
CU-select,51,35330.9,1024.0,104651.7,0.0,32.5,16008.5,555025.0
USACE-ERDC_SEIR,51,36192.8,1734.7,159834.8,2.2,25.5,13858.3,1138040.9
CovidActNow-SEIR_CAN,51,39769.8,989.2,184900.2,1.1,116.0,10023.5,1313070.3
PSI-DRAFT,51,53644.6,784.0,336532.0,0.0,56.5,5328.5,2407152.2
SWC-TerminusCM,51,836851.9,625.0,5863449.1,0.0,42.5,3722.0,41886784.0
Auquan-SEIR,51,1025699.1,87616.0,3091282.5,25.0,16514.5,596426.5,20178064.0
