,total_deaths_2020-06-21,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
Baseline,122771,123598.1,126333,3629.1,3562.0,67.1,1.9%
MOBS-GLEAM_COVID,122771,123631.6,126333,3662.6,3562.0,100.6,2.8%
STH-3PU,122771,123423.0,126333,3454.0,3562.0,-108.0,-3.0%
PSI-DRAFT,122771,123415.5,126333,3446.5,3562.0,-115.5,-3.2%
Imperial-combined,122771,123653.5,126333,3684.5,3562.0,122.5,3.4%
YYG-ParamSearch,122771,123355.7,126333,3386.7,3562.0,-175.3,-4.9%
UCLA-SuEIR,122771,123325.7,126333,3356.7,3562.0,-205.3,-5.8%
GT-DeepCOVID,122771,123761.5,126333,3792.5,3562.0,230.5,6.5%
UMass-MechBayes,122771,123770.0,126333,3801.0,3562.0,239.0,6.7%
UA-EpiCovDA,122771,123194.0,126333,3225.0,3562.0,-337.0,-9.5%
CovidAnalytics-DELPHI,122771,123954.0,126333,3985.0,3562.0,423.0,11.9%
OliverWyman-Navigator,122771,123965.3,126333,3996.3,3562.0,434.3,12.2%
COVIDhub-baseline,122771,124002.0,126333,4033.0,3562.0,471.0,13.2%
UT-Mobility,122771,124024.5,126333,4055.5,3562.0,493.5,13.9%
Covid19Sim-Simulator,122771,124073.7,126333,4104.7,3562.0,542.7,15.2%
IHME-CurveFit,122771,122740.3,126333,2771.3,3562.0,-790.7,-22.2%
epiforecasts-ensemble1,122771,124772.0,126333,4803.0,3562.0,1241.0,34.8%
COVIDhub-ensemble,122771,124919.8,126333,4950.8,3562.0,1388.8,39.0%
IowaStateLW-STEM,122771,124983.0,126333,5014.0,3562.0,1452.0,40.8%
JHU_IDD-CovidSP,122771,125168.3,126333,5199.3,3562.0,1637.3,46.0%
CU-select,122771,125516.0,126333,5547.0,3562.0,1985.0,55.7%
LANL-GrowthRate,122771,125531.1,126333,5562.1,3562.0,2000.1,56.2%
USACE-ERDC_SEIR,122771,118601.4,126333,-1367.6,3562.0,-4929.6,-138.4%
NotreDame-mobility,122771,116113.5,126333,-3855.5,3562.0,-7417.5,-208.2%
Auquan-SEIR,122771,139309.0,126333,19340.0,3562.0,15778.0,443.0%
CovidActNow-SEIR_CAN,122771,,126333,,3562.0,,
GT_CHHS-COVID19,122771,,126333,,3562.0,,
NotreDame-FRED,122771,,126333,,3562.0,,
