,count,mean,median,std,min,25%,75%,max
OneQuietNight-ML,3135,330.5,66.0,1527.5,0.0,22.0,191.0,46887.0
COVIDhub-baseline,3141,340.1,77.0,1397.5,0.0,23.0,229.0,33935.0
CEID-Walk,3141,346.7,77.7,1424.1,0.0,24.7,236.2,34014.6
IowaStateLW-STEM,3103,353.2,80.0,1743.8,0.0,26.0,234.0,64365.0
OliverWyman-Navigator,3024,363.3,73.0,1791.9,0.0,25.0,219.0,58036.0
COVIDhub-ensemble,3141,384.3,85.0,1410.9,0.0,26.0,269.0,41844.0
FAIR-NRAR,3137,411.8,82.6,1652.2,0.0,26.2,267.2,53481.4
PandemicCentral-USCounty,3075,423.9,92.2,1776.7,0.0,29.6,283.0,61884.6
JHU_IDD-CovidSP,3141,466.0,111.0,1981.0,0.0,30.7,320.7,66660.8
Google_Harvard-CPF,3140,480.4,92.8,2082.0,0.0,26.5,302.9,54823.9
LANL-GrowthRate,3110,480.8,96.0,2680.5,0.0,33.0,299.0,73488.5
LNQ-ens1,3140,484.2,118.1,1711.5,0.0,36.6,363.0,54829.6
CU-select,3015,550.9,134.0,2211.7,0.0,50.0,360.0,59698.0
JHUAPL-Bucky,3141,699.7,134.8,4429.4,0.0,46.3,407.2,153864.9
UVA-Ensemble,3131,747.6,119.6,4826.7,0.0,37.7,387.4,177668.2
MITCovAlliance-SIR,3003,1152.3,301.5,4712.6,0.0,114.0,821.9,192485.3
