,predicted_cases,actual_cases,error,perc_error
DDS-NBDS,6075372.7,6069158,6214.7,0.1%
COVIDhub-baseline,6049488.0,6069158,-19670.0,-0.3%
IowaStateLW-STEM,6121735.0,6069158,52577.0,0.9%
IBF-TimeSeries,6011901.0,6069158,-57257.0,-0.9%
CovidAnalytics-DELPHI,5990455.0,6069158,-78703.0,-1.3%
UCF-AEM,6153425.0,6069158,84267.0,1.4%
USC-SI_kJalpha,6183977.0,6069158,114819.0,1.9%
LNQ-ens1,5949504.5,6069158,-119653.5,-2.0%
TTU-squider,5947836.9,6069158,-121321.1,-2.0%
QJHong-Encounter,5886651.0,6069158,-182507.0,-3.0%
COVIDhub-ensemble,6259164.0,6069158,190006.0,3.1%
Covid19Sim-Simulator,6299225.9,6069158,230067.9,3.8%
IEM_MED-CovidProject,6524535.0,6069158,455377.0,7.5%
CU-select,5552548.0,6069158,-516610.0,-8.5%
Microsoft-DeepSTIA,6613452.1,6069158,544294.1,9.0%
RobertWalraven-ESG,6779250.2,6069158,710092.2,11.7%
UCLA-SuEIR,5345877.6,6069158,-723280.4,-11.9%
BPagano-RtDriven,6825709.3,6069158,756551.3,12.5%
LANL-GrowthRate,5091272.5,6069158,-977885.5,-16.1%
UMich-RidgeTfReg,7051714.7,6069158,982556.7,16.2%
JHUAPL-Bucky,7072638.0,6069158,1003480.0,16.5%
JHU_IDD-CovidSP,4979557.5,6069158,-1089600.5,-18.0%
OneQuietNight-ML,7282841.0,6069158,1213683.0,20.0%
JCB-PRM,8399743.3,6069158,2330585.3,38.4%
UVA-Ensemble,8426468.7,6069158,2357310.7,38.8%
Karlen-pypm,8439104.9,6069158,2369946.9,39.0%
Columbia_UNC-SurvCon,9513925.0,6069158,3444767.0,56.8%
Google_Harvard-CPF,,6069158,,
JHU_CSSE-DECOM,,6069158,,
JHU_UNC_GAS-StatMechPool,,6069158,,
UCSB-ACTS,,6069158,,
Wadhwani_AI-BayesOpt,,6069158,,
