,predicted_cases,actual_cases,error,perc_error
CU-select,7551941.0,7590929,-38988.0,-0.5%
QJHong-Encounter,7526549.0,7590929,-64380.0,-0.8%
IowaStateLW-STEM,7723239.0,7590929,132310.0,1.7%
COVIDhub-baseline,7404905.0,7590929,-186024.0,-2.5%
IBF-TimeSeries,8006587.0,7590929,415658.0,5.5%
UCF-AEM,8102457.0,7590929,511528.0,6.7%
USC-SI_kJalpha,6962010.0,7590929,-628919.0,-8.3%
UCLA-SuEIR,6673102.8,7590929,-917826.2,-12.1%
LANL-GrowthRate,8568678.0,7590929,977749.0,12.9%
Covid19Sim-Simulator,8703241.5,7590929,1112312.5,14.7%
CovidAnalytics-DELPHI,8867760.0,7590929,1276831.0,16.8%
JHU_IDD-CovidSP,6047937.5,7590929,-1542991.5,-20.3%
JHUAPL-Bucky,10120761.1,7590929,2529832.1,33.3%
JCB-PRM,10504740.6,7590929,2913811.6,38.4%
Columbia_UNC-SurvCon,10510764.0,7590929,2919835.0,38.5%
Karlen-pypm,11476546.2,7590929,3885617.2,51.2%
Wadhwani_AI-BayesOpt,,7590929,,
