,total_deaths_2020-05-03,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
LANL-GrowthRate,71056,78755.0,82146,11073.0,11090.0,-17.0,-0.2%
Baseline,71056,78654.3,82146,10972.3,11090.0,-117.7,-1.1%
GT-DeepCOVID,71056,78592.9,82146,10910.9,11090.0,-179.1,-1.6%
COVIDhub-baseline,71056,78983.0,82146,11301.0,11090.0,211.0,1.9%
Imperial-combined,71056,79389.5,82146,11707.5,11090.0,617.5,5.6%
YYG-ParamSearch,71056,77521.6,82146,9839.6,11090.0,-1250.4,-11.3%
CovidAnalytics-DELPHI,71056,77517.0,82146,9835.0,11090.0,-1255.0,-11.3%
UCLA-SuEIR,71056,77336.2,82146,9654.2,11090.0,-1435.8,-12.9%
MOBS-GLEAM_COVID,71056,77034.5,82146,9352.5,11090.0,-1737.5,-15.7%
CU-select,71056,76511.0,82146,8829.0,11090.0,-2261.0,-20.4%
COVIDhub-ensemble,71056,76459.8,82146,8777.8,11090.0,-2312.2,-20.8%
IHME-CurveFit,71056,82424.3,82146,14742.3,11090.0,3652.3,32.9%
Geneva-DetGrowth,71056,74220.0,82146,6538.0,11090.0,-4552.0,-41.0%
IowaStateLW-STEM,71056,73569.0,82146,5887.0,11090.0,-5203.0,-46.9%
UT-Mobility,71056,70645.9,82146,2963.9,11090.0,-8126.1,-73.3%
NotreDame-FRED,71056,,82146,,11090.0,,
UMass-MechBayes,71056,,82146,,11090.0,,
