,count,mean,median,std,min,25%,75%,max
YYG-ParamSearch,51.0,13.9,5.0,22.6,0.3,2.2,15.4,136.3
COVIDhub-ensemble,51.0,19.1,8.0,28.6,0.0,2.1,22.6,131.4
Baseline_0.98,51.0,19.8,7.0,31.6,0.0,2.8,21.3,163.4
Baseline,51.0,20.9,7.7,33.6,0.0,3.1,15.0,158.1
UMass-MechBayes,51.0,23.0,7.0,44.2,0.0,2.0,24.0,251.0
OliverWyman-Navigator,51.0,24.5,9.0,34.2,0.0,1.9,33.8,163.2
UT-Mobility,51.0,26.2,7.0,50.5,0.3,3.4,21.6,246.1
LANL-GrowthRate,51.0,26.6,10.2,42.3,0.1,3.9,26.5,187.7
UCLA-SuEIR,51.0,27.9,10.0,36.8,0.2,2.4,30.7,136.8
MOBS_NEU-GLEAM_COVID,51.0,34.8,12.2,57.7,0.4,4.0,34.4,269.4
Geneva-DeterministicGrowth,51.0,35.3,15.0,56.4,0.0,4.0,47.5,334.0
MIT_CovidAnalytics-DELPHI,51.0,36.9,12.0,56.5,0.0,3.0,54.5,251.0
IHME-CurveFit,51.0,41.6,15.2,61.0,0.2,3.5,39.4,267.3
IowaStateLW-STEM,51.0,49.6,24.0,72.5,0.0,5.5,55.5,322.0
CU-select,51.0,51.1,20.0,69.4,0.0,4.0,66.0,250.0
SWC-TerminusCM,51.0,51.3,23.0,77.6,0.0,8.0,64.0,448.0
CovidActNow-SEIR_CAN,51.0,52.4,27.3,65.2,0.7,11.3,73.4,367.1
JHU_IDD-CovidSP,51.0,55.4,24.0,68.4,0.7,8.6,75.8,292.6
UA-EpiCovDA,51.0,84.2,27.0,119.5,0.0,9.5,118.0,517.0
Covid19Sim-Simulator,51.0,87.9,45.9,117.3,0.0,6.2,96.3,506.0
USACE-ERDC_SEIR,51.0,122.5,29.5,257.4,0.4,6.8,61.5,1392.8
PSI-DRAFT,51.0,173.1,62.0,397.5,2.0,16.2,145.5,2224.5
Auquan-SEIR,51.0,283.7,148.0,393.7,2.0,52.5,349.5,2309.0
