,count,mean,median,std,min,25%,75%,max
YYG-ParamSearch,51.0,35.4,14.7,40.3,0.3,5.6,54.6,165.5
Baseline_0.98,51.0,36.5,15.3,50.3,0.0,6.9,48.9,212.7
LANL-GrowthRate,51.0,46.0,18.1,55.7,0.4,4.8,60.2,211.0
COVIDhub-ensemble,51.0,49.1,25.6,60.9,0.2,5.6,73.3,264.7
Baseline,51.0,49.4,21.3,60.7,0.0,6.2,78.1,224.1
UCLA-SuEIR,51.0,51.6,15.2,69.0,0.1,4.5,71.1,236.9
UT-Mobility,51.0,53.1,17.2,84.9,0.3,5.6,68.4,458.2
UMass-MechBayes,51.0,53.5,17.0,74.7,0.0,6.5,73.0,299.0
MOBS_NEU-GLEAM_COVID,51.0,60.4,19.7,79.9,0.1,6.0,96.4,372.0
MIT_CovidAnalytics-DELPHI,51.0,70.1,23.0,112.7,0.0,3.5,116.5,624.0
IHME-CurveFit,51.0,85.2,28.4,113.1,0.4,7.5,125.1,496.8
CovidActNow-SEIR_CAN,51.0,89.3,51.9,125.1,2.2,18.2,116.1,754.0
SWC-TerminusCM,51.0,95.6,38.0,192.7,0.0,11.5,119.0,1297.0
PSI-DRAFT,51.0,96.7,30.0,226.1,0.0,5.5,85.0,1422.0
IowaStateLW-STEM,51.0,112.9,54.0,180.5,0.0,10.5,110.5,1012.0
CU-select,51.0,123.7,38.0,213.1,0.0,11.5,158.5,1216.0
Covid19Sim-Simulator,51.0,133.6,72.2,172.6,0.2,9.2,146.6,640.0
JHU_IDD-CovidSP,51.0,136.0,70.7,184.6,3.5,33.4,141.6,840.2
UA-EpiCovDA,51.0,155.5,57.0,239.4,0.0,12.5,215.0,1408.0
USACE-ERDC_SEIR,51.0,182.8,31.8,376.3,0.5,10.0,186.8,2116.6
Auquan-SEIR,51.0,330.9,113.0,635.3,4.0,49.5,382.0,4173.0
