,count,mean,median,std,min,25%,75%,max
UMass-MechBayes,51.0,7152.6,484.0,16543.7,0.0,56.5,4442.5,77284.0
UCLA-SuEIR,51.0,14489.1,824.5,35653.1,0.2,59.3,6979.5,213149.5
COVIDhub-ensemble,51.0,14701.1,882.4,37067.7,0.4,106.7,12477.1,182941.9
LANL-GrowthRate,51.0,15675.4,655.8,49396.5,0.1,59.5,6609.7,311446.4
Baseline_0.98,51.0,17859.3,747.0,48256.4,0.0,50.2,9796.2,254191.4
YYG-ParamSearch,51.0,22491.3,978.0,59442.5,0.0,72.0,10183.9,347725.0
UT-Mobility,51.0,27386.4,1806.2,85977.0,1.0,125.0,8281.0,546121.0
IowaStateLW-STEM,51.0,35480.9,4761.0,110381.7,1.0,156.5,22581.0,736164.0
MOBS_NEU-GLEAM_COVID,51.0,39432.3,1691.0,113332.3,0.0,172.3,17170.8,702910.9
MIT_CovidAnalytics-DELPHI,51.0,45627.0,1089.0,121561.5,0.0,64.0,15520.0,606841.0
CU-select,51.0,45933.8,3844.0,115937.1,0.0,409.0,25460.5,553536.0
Covid19Sim-Simulator,51.0,57187.8,7667.7,123455.2,0.5,150.5,25647.8,592991.9
Baseline,51.0,61134.0,1098.4,167002.4,0.0,50.3,9668.0,889518.4
USACE-ERDC_SEIR,51.0,116108.0,1883.9,390024.2,0.3,78.7,24445.1,2477643.4
UA-EpiCovDA,51.0,134919.4,13225.0,299276.4,1.0,1157.0,81012.5,1447209.0
PSI-DRAFT,51.0,180066.0,1764.0,814167.0,0.0,90.5,45004.5,5635876.0
JHU_IDD-CovidSP,51.0,206055.2,14568.5,545879.2,23.2,7016.7,97681.6,3197248.0
Auquan-SEIR,51.0,583719.1,17956.0,2594068.0,25.0,602.5,137645.0,18028516.0
