,predicted_cases,actual_cases,error,perc_error
DDS-NBDS,568790.6,581653,-12862.4,-2.2%
CU-select,568257.0,581653,-13396.0,-2.3%
CEID-Walk,605803.7,581653,24150.7,4.2%
Karlen-pypm,607467.7,581653,25814.7,4.4%
QJHong-Encounter,610471.1,581653,28818.1,5.0%
COVIDhub-baseline,611894.0,581653,30241.0,5.2%
UCLA-SuEIR,538963.8,581653,-42689.2,-7.3%
JHU_IDD-CovidSP,629010.5,581653,47357.5,8.1%
OliverWyman-Navigator,526241.0,581653,-55412.0,-9.5%
COVIDhub-ensemble,525749.0,581653,-55904.0,-9.6%
CovidAnalytics-DELPHI,518097.0,581653,-63556.0,-10.9%
LNQ-ens1,509423.4,581653,-72229.6,-12.4%
USC-SI_kJalpha,501927.0,581653,-79726.0,-13.7%
IowaStateLW-STEM,664056.0,581653,82403.0,14.2%
Columbia_UNC-SurvCon,493301.0,581653,-88352.0,-15.2%
USACE-ERDC_SEIR,492643.0,581653,-89010.0,-15.3%
UMich-RidgeTfReg,449958.3,581653,-131694.7,-22.6%
RobertWalraven-ESG,446419.4,581653,-135233.6,-23.2%
LANL-GrowthRate,427785.8,581653,-153867.2,-26.5%
Covid19Sim-Simulator,410420.7,581653,-171232.3,-29.4%
TTU-squider,772328.6,581653,190675.6,32.8%
IQVIA_ACOE-STAN,,581653,,
