,predicted_cases,actual_cases,error,perc_error
UCLA-SuEIR,1213722.2,1246573,-32850.8,-2.6%
LNQ-ens1,1203261.2,1246573,-43311.8,-3.5%
DDS-NBDS,1300077.6,1246573,53504.6,4.3%
QJHong-Encounter,1361308.4,1246573,114735.4,9.2%
USACE-ERDC_SEIR,1117767.3,1246573,-128805.7,-10.3%
CovidAnalytics-DELPHI,1406799.0,1246573,160226.0,12.9%
USC-SI_kJalpha,1058693.0,1246573,-187880.0,-15.1%
COVIDhub-ensemble,1435588.0,1246573,189015.0,15.2%
Columbia_UNC-SurvCon,1044205.0,1246573,-202368.0,-16.2%
CEID-Walk,1478314.9,1246573,231741.9,18.6%
CU-select,1498507.0,1246573,251934.0,20.2%
COVIDhub-baseline,1509348.0,1246573,262775.0,21.1%
LANL-GrowthRate,957987.9,1246573,-288585.1,-23.2%
UMich-RidgeTfReg,1651848.6,1246573,405275.6,32.5%
Karlen-pypm,1726454.9,1246573,479881.9,38.5%
JHU_IDD-CovidSP,1731385.5,1246573,484812.5,38.9%
RobertWalraven-ESG,1911135.0,1246573,664562.0,53.3%
IHME-CurveFit,3324541.1,1246573,2077968.1,166.7%
