,count,mean,median,std,min,25%,75%,max
COVIDhub-baseline,51,77153832.8,5550736.0,210487322.3,81.0,935586.5,51306785.0,1244325625.0
USACE-ERDC_SEIR,51,223932199.3,44713157.0,589615077.5,2274.2,5548699.5,235585799.0,3969969826.6
LNQ-ens1,50,284586761.1,4227834.2,1213356511.3,201.7,899289.3,24088469.3,8274154268.1
CovidAnalytics-DELPHI,51,290955227.5,81920601.0,653914426.3,3844.0,6490345.0,261591576.5,3912002116.0
UCLA-SuEIR,51,519524866.1,6461916.9,2365032045.7,107.7,1059132.4,41069776.7,15676593735.9
USC-SI_kJalpha,51,729978158.8,17549447.8,3573378321.3,322.4,3415015.9,156265830.9,25193924138.3
JHU_IDD-CovidSP,51,858953398.3,9470678.0,3863291669.1,812.6,1165581.3,175734556.9,26506795445.1
LANL-GrowthRate,51,1261766514.1,34169282.1,6313458296.9,225.3,2373851.7,134270621.8,43774078366.1
IowaStateLW-STEM,49,1429273207.1,23116864.0,6482984345.0,9.0,1489164.5,132853252.5,45417150769.0
RobertWalraven-ESG,51,1740450181.8,36948349.8,6327128123.6,885.9,3056510.4,170149857.2,37473500508.5
Covid19Sim-Simulator,51,2147078807.1,13055152.7,10175494690.3,440.9,1512202.6,49981281.1,69473634513.1
