,predicted_cases,actual_cases,error,perc_error
USACE-ERDC_SEIR,1297897.6,1283730,14167.6,1.1%
Columbia_UNC-SurvCon,1322286.0,1283730,38556.0,3.0%
UMich-RidgeTfReg,1378500.2,1283730,94770.2,7.4%
COVIDhub-baseline,1396464.0,1283730,112734.0,8.8%
LANL-GrowthRate,1136058.2,1283730,-147671.8,-11.5%
JHU_IDD-CovidSP,1113556.5,1283730,-170173.5,-13.3%
CovidAnalytics-DELPHI,1111297.0,1283730,-172433.0,-13.4%
UCLA-SuEIR,1556406.0,1283730,272676.0,21.2%
COVIDhub-ensemble,1575517.0,1283730,291787.0,22.7%
IowaStateLW-STEM,1612514.0,1283730,328784.0,25.6%
USC-SI_kJalpha,1745739.8,1283730,462009.8,36.0%
Covid19Sim-Simulator,1778942.2,1283730,495212.2,38.6%
QJHong-Encounter,1844704.6,1283730,560974.6,43.7%
RobertWalraven-ESG,1863100.1,1283730,579370.1,45.1%
OliverWyman-Navigator,2125235.0,1283730,841505.0,65.6%
IHME-CurveFit,2385090.2,1283730,1101360.2,85.8%
LNQ-ens1,2457544.3,1283730,1173814.3,91.4%
Karlen-pypm,,1283730,,
