,predicted_cases,actual_cases,error,perc_error
USC-SI_kJalpha,821601.0,819403,2198.0,0.3%
CovidAnalytics-DELPHI,827852.0,819403,8449.0,1.0%
Columbia_UNC-SurvCon,828348.0,819403,8945.0,1.1%
UMich-RidgeTfReg,837541.1,819403,18138.1,2.2%
USACE-ERDC_SEIR,843463.7,819403,24060.7,2.9%
QJHong-Encounter,878079.5,819403,58676.5,7.2%
RobertWalraven-ESG,884557.5,819403,65154.5,8.0%
COVIDhub-ensemble,923160.0,819403,103757.0,12.7%
COVIDhub-baseline,933216.0,819403,113813.0,13.9%
LANL-GrowthRate,704436.4,819403,-114966.6,-14.0%
IowaStateLW-STEM,952906.0,819403,133503.0,16.3%
DDS-NBDS,677433.8,819403,-141969.2,-17.3%
JHU_IDD-CovidSP,966942.1,819403,147539.1,18.0%
UCLA-SuEIR,1035555.5,819403,216152.5,26.4%
LNQ-ens1,1106550.7,819403,287147.7,35.0%
OliverWyman-Navigator,1115041.0,819403,295638.0,36.1%
Karlen-pypm,1237982.9,819403,418579.9,51.1%
Covid19Sim-Simulator,1266081.6,819403,446678.6,54.5%
IHME-CurveFit,1587130.5,819403,767727.5,93.7%
