,total_deaths_2021-01-03,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
QJHong-Encounter,357963,478468.5,485911,126888.5,127948,-1059.5,-0.8%
IBF-TimeSeries,357963,477027.0,485911,125447.0,127948,-2501.0,-2.0%
Covid19Sim-Simulator,357963,473825.4,485911,122245.4,127948,-5702.6,-4.5%
JHU_IDD-CovidSP,357963,471998.4,485911,120418.4,127948,-7529.6,-5.9%
COVIDhub-baseline,357963,459850.8,485911,108270.8,127948,-19677.2,-15.4%
Baseline,357963,459714.6,485911,108134.6,127948,-19813.4,-15.5%
PSI-DRAFT,357963,454909.5,485911,103329.5,127948,-24618.5,-19.2%
Columbia_UNC-SurvCon,357963,450426.0,485911,98846.0,127948,-29102.0,-22.7%
LANL-GrowthRate,357963,448573.0,485911,96993.0,127948,-30955.0,-24.2%
IowaStateLW-STEM,357963,444008.0,485911,92428.0,127948,-35520.0,-27.8%
AIpert-pwllnod,357963,437173.2,485911,85593.2,127948,-42354.8,-33.1%
CovidAnalytics-DELPHI,357963,434301.0,485911,82721.0,127948,-45227.0,-35.3%
JHUAPL-Bucky,357963,422670.2,485911,71090.2,127948,-56857.8,-44.4%
UCLA-SuEIR,357963,417252.1,485911,65672.1,127948,-62275.9,-48.7%
WalmartLabsML-LogForecasting,357963,392635.6,485911,41055.6,127948,-86892.4,-67.9%
MITCovAlliance-SIR,357963,,485911,,127948,,
Wadhwani_AI-BayesOpt,357963,,485911,,127948,,
