,total_deaths_2021-01-24,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
RobertWalraven-ESG,426729,478468.3,485911,59254.3,59182,72.3,0.1%
COVIDhub-ensemble,426729,478070.0,485911,58856.0,59182,-326.0,-0.6%
epiforecasts-ensemble1,426729,478820.0,485911,59606.0,59182,424.0,0.7%
GT-DeepCOVID,426729,477806.7,485911,58592.7,59182,-589.3,-1.0%
MOBS-GLEAM_COVID,426729,479460.6,485911,60246.6,59182,1064.6,1.8%
LANL-GrowthRate,426729,477100.5,485911,57886.5,59182,-1295.5,-2.2%
OliverWyman-Navigator,426729,476876.2,485911,57662.2,59182,-1519.8,-2.6%
QJHong-Encounter,426729,476417.5,485911,57203.5,59182,-1978.5,-3.3%
SigSci-TS,426729,476320.0,485911,57106.0,59182,-2076.0,-3.5%
USC-SI_kJalpha,426729,480538.0,485911,61324.0,59182,2142.0,3.6%
UCSD_NEU-DeepGLEAM,426729,480753.8,485911,61539.8,59182,2357.8,4.0%
IHME-CurveFit,426729,480768.1,485911,61554.1,59182,2372.1,4.0%
Baseline,426729,480968.3,485911,61754.3,59182,2572.3,4.3%
Columbia_UNC-SurvCon,426729,481057.0,485911,61843.0,59182,2661.0,4.5%
CovidAnalytics-DELPHI,426729,481387.0,485911,62173.0,59182,2991.0,5.1%
IowaStateLW-STEM,426729,481394.0,485911,62180.0,59182,2998.0,5.1%
CEID-Walk,426729,481455.8,485911,62241.8,59182,3059.8,5.2%
BPagano-RtDriven,426729,475095.8,485911,55881.8,59182,-3300.2,-5.6%
COVIDhub-baseline,426729,482205.0,485911,62991.0,59182,3809.0,6.4%
FDANIHASU-Sweight,426729,474472.0,485911,55258.0,59182,-3924.0,-6.6%
Karlen-pypm,426729,474000.8,485911,54786.8,59182,-4395.2,-7.4%
JHU_IDD-CovidSP,426729,473653.7,485911,54439.7,59182,-4742.3,-8.0%
JHUAPL-Bucky,426729,473338.7,485911,54124.7,59182,-5057.3,-8.5%
JHU_CSSE-DECOM,426729,483886.0,485911,64672.0,59182,5490.0,9.3%
UCM_MESALab-FoGSEIR,426729,484024.0,485911,64810.0,59182,5628.0,9.5%
TTU-squider,426729,472515.2,485911,53301.2,59182,-5880.8,-9.9%
SteveMcConnell-CovidComplete,426729,472423.0,485911,53209.0,59182,-5973.0,-10.1%
UA-EpiCovDA,426729,471360.0,485911,52146.0,59182,-7036.0,-11.9%
LNQ-ens1,426729,486356.9,485911,67142.9,59182,7960.9,13.5%
UMich-RidgeTfReg,426729,486598.8,485911,67384.8,59182,8202.8,13.9%
UMass-MechBayes,426729,470059.0,485911,50845.0,59182,-8337.0,-14.1%
UT-Mobility,426729,486780.5,485911,67566.5,59182,8384.5,14.2%
UpstateSU-GRU,426729,469437.7,485911,50223.7,59182,-8958.3,-15.1%
CU-select,426729,468312.0,485911,49098.0,59182,-10084.0,-17.0%
MIT_CritData-GBCF,426729,488541.0,485911,69327.0,59182,10145.0,17.1%
Microsoft-DeepSTIA,426729,489134.8,485911,69920.8,59182,10738.8,18.1%
PSI-DRAFT,426729,490652.5,485911,71438.5,59182,12256.5,20.7%
IBF-TimeSeries,426729,492220.0,485911,73006.0,59182,13824.0,23.4%
RPI_UW-Mob_Collision,426729,492632.1,485911,73418.1,59182,14236.1,24.1%
AIpert-pwllnod,426729,493936.1,485911,74722.1,59182,15540.1,26.3%
UCLA-SuEIR,426729,459715.3,485911,40501.3,59182,-18680.7,-31.6%
Covid19Sim-Simulator,426729,500869.0,485911,81655.0,59182,22473.0,38.0%
MIT_ISOLAT-Mixtures,426729,455194.6,485911,35980.6,59182,-23201.4,-39.2%
WalmartLabsML-LogForecasting,426729,449859.4,485911,30645.4,59182,-28536.6,-48.2%
DDS-NBDS,426729,534487.2,485911,115273.2,59182,56091.2,94.8%
CMU-TimeSeries,426729,,485911,,59182,,
Google_Harvard-CPF,426729,,485911,,59182,,
UCSB-ACTS,426729,,485911,,59182,,
