,predicted_cases,actual_cases,error,perc_error
LNQ-ens1,1050979.1,1061885,-10905.9,-1.0%
Geneva-DetGrowth,1049205.8,1061885,-12679.2,-1.2%
IEM_MED-CovidProject,1083911.8,1061885,22026.8,2.1%
JHU_IDD-CovidSP,1026332.7,1061885,-35552.3,-3.3%
FDANIHASU-Sweight,1099454.7,1061885,37569.7,3.5%
CU-select,1112671.0,1061885,50786.0,4.8%
JHUAPL-Bucky,1126982.5,1061885,65097.5,6.1%
MOBS-GLEAM_COVID,1143203.8,1061885,81318.8,7.7%
UpstateSU-GRU,977504.9,1061885,-84380.1,-7.9%
OneQuietNight-ML,1159094.0,1061885,97209.0,9.2%
UChicagoCHATTOPADHYAY-UnIT,961508.8,1061885,-100376.2,-9.5%
UCF-AEM,1169503.0,1061885,107618.0,10.1%
Microsoft-DeepSTIA,1182657.7,1061885,120772.7,11.4%
USC-SI_kJalpha,1185811.0,1061885,123926.0,11.7%
TTU-squider,1187819.6,1061885,125934.6,11.9%
IBF-TimeSeries,929699.0,1061885,-132186.0,-12.4%
CEID-Walk,1222507.9,1061885,160622.9,15.1%
COVIDhub-ensemble,1226752.0,1061885,164867.0,15.5%
QJHong-Encounter,1229259.0,1061885,167374.0,15.8%
UCLA-SuEIR,1231939.0,1061885,170054.0,16.0%
UMich-RidgeTfReg,1232425.3,1061885,170540.3,16.1%
COVIDhub-baseline,1235608.0,1061885,173723.0,16.4%
LANL-GrowthRate,868813.0,1061885,-193072.0,-18.2%
BPagano-RtDriven,1257128.7,1061885,195243.7,18.4%
RobertWalraven-ESG,1270504.5,1061885,208619.5,19.6%
IowaStateLW-STEM,1272746.0,1061885,210861.0,19.9%
Karlen-pypm,1275050.6,1061885,213165.6,20.1%
MIT_ISOLAT-Mixtures,1280411.8,1061885,218526.8,20.6%
SigSci-TS,1302836.0,1061885,240951.0,22.7%
Covid19Sim-Simulator,1303486.3,1061885,241601.3,22.8%
Columbia_UNC-SurvCon,1311603.0,1061885,249718.0,23.5%
CovidAnalytics-DELPHI,1359276.0,1061885,297391.0,28.0%
OliverWyman-Navigator,1391586.0,1061885,329701.0,31.0%
DDS-NBDS,1545047.2,1061885,483162.2,45.5%
UVA-Ensemble,1825576.8,1061885,763691.8,71.9%
Google_Harvard-CPF,,1061885,,
JHU_CSSE-DECOM,,1061885,,
JHU_UNC_GAS-StatMechPool,,1061885,,
UCSB-ACTS,,1061885,,
