,predicted_cases,actual_cases,error,perc_error
JHU_IDD-CovidSP,2304913.2,2298060,6853.2,0.3%
UpstateSU-GRU,2221948.8,2298060,-76111.2,-3.3%
UChicagoCHATTOPADHYAY-UnIT,2461539.2,2298060,163479.2,7.1%
TTU-squider,2466538.5,2298060,168478.5,7.3%
UCLA-SuEIR,2679148.9,2298060,381088.9,16.6%
LANL-GrowthRate,2809373.0,2298060,511313.0,22.2%
LNQ-ens1,2817904.0,2298060,519844.0,22.6%
UMich-RidgeTfReg,2866658.2,2298060,568598.2,24.7%
MOBS-GLEAM_COVID,2927866.5,2298060,629806.5,27.4%
IBF-TimeSeries,2967350.7,2298060,669290.7,29.1%
SigSci-TS,2978958.0,2298060,680898.0,29.6%
UCF-AEM,3015502.0,2298060,717442.0,31.2%
CEID-Walk,3069443.0,2298060,771383.0,33.6%
RobertWalraven-ESG,3085229.9,2298060,787169.9,34.3%
JHUAPL-Bucky,3121013.0,2298060,822953.0,35.8%
COVIDhub-baseline,3130156.0,2298060,832096.0,36.2%
Microsoft-DeepSTIA,3131843.0,2298060,833783.0,36.3%
BPagano-RtDriven,3136671.0,2298060,838611.0,36.5%
Karlen-pypm,3144499.0,2298060,846439.0,36.8%
COVIDhub-ensemble,3153123.0,2298060,855063.0,37.2%
OneQuietNight-ML,3177375.0,2298060,879315.0,38.3%
USC-SI_kJalpha,3178369.0,2298060,880309.0,38.3%
IEM_MED-CovidProject,3181134.1,2298060,883074.1,38.4%
Covid19Sim-Simulator,3217910.4,2298060,919850.4,40.0%
CU-select,3256951.0,2298060,958891.0,41.7%
QJHong-Encounter,3335594.0,2298060,1037534.0,45.1%
Columbia_UNC-SurvCon,3345508.0,2298060,1047448.0,45.6%
IowaStateLW-STEM,3357904.0,2298060,1059844.0,46.1%
OliverWyman-Navigator,3534265.0,2298060,1236205.0,53.8%
CovidAnalytics-DELPHI,3749081.0,2298060,1451021.0,63.1%
MIT_ISOLAT-Mixtures,4011201.7,2298060,1713141.7,74.5%
UVA-Ensemble,4158096.4,2298060,1860036.4,80.9%
DDS-NBDS,9247699.9,2298060,6949639.9,302.4%
Google_Harvard-CPF,,2298060,,
JHU_CSSE-DECOM,,2298060,,
UCSB-ACTS,,2298060,,
