,predicted_cases,actual_cases,error,perc_error
LNQ-ens1,5637159.1,5581060,56099.1,1.0%
Microsoft-DeepSTIA,5647758.2,5581060,66698.2,1.2%
CEID-Walk,5671456.8,5581060,90396.8,1.6%
COVIDhub-ensemble,5677412.0,5581060,96352.0,1.7%
COVIDhub-baseline,5736232.0,5581060,155172.0,2.8%
RobertWalraven-ESG,5394702.3,5581060,-186357.7,-3.3%
Covid19Sim-Simulator,5767932.0,5581060,186872.0,3.3%
USC-SI_kJalpha,5308133.0,5581060,-272927.0,-4.9%
IEM_MED-CovidProject,5288277.1,5581060,-292782.9,-5.2%
BPagano-RtDriven,5899063.8,5581060,318003.8,5.7%
LANL-GrowthRate,5234942.0,5581060,-346118.0,-6.2%
TTU-squider,5170808.7,5581060,-410251.3,-7.4%
Karlen-pypm,6005857.3,5581060,424797.3,7.6%
QJHong-Encounter,6053200.0,5581060,472140.0,8.5%
UCLA-SuEIR,5101852.1,5581060,-479207.9,-8.6%
OneQuietNight-ML,6062890.0,5581060,481830.0,8.6%
JHUAPL-Bucky,6132628.1,5581060,551568.1,9.9%
UCF-AEM,6169366.0,5581060,588306.0,10.5%
IowaStateLW-STEM,4969176.0,5581060,-611884.0,-11.0%
IBF-TimeSeries,6316137.0,5581060,735077.0,13.2%
CovidAnalytics-DELPHI,4816625.0,5581060,-764435.0,-13.7%
Columbia_UNC-SurvCon,4614706.0,5581060,-966354.0,-17.3%
UMich-RidgeTfReg,6698275.5,5581060,1117215.5,20.0%
JHU_IDD-CovidSP,4123542.4,5581060,-1457517.6,-26.1%
DDS-NBDS,7290416.5,5581060,1709356.5,30.6%
UVA-Ensemble,7478365.5,5581060,1897305.5,34.0%
CU-select,9687625.0,5581060,4106565.0,73.6%
Google_Harvard-CPF,,5581060,,
JHU_CSSE-DECOM,,5581060,,
JHU_UNC_GAS-StatMechPool,,5581060,,
UCSB-ACTS,,5581060,,
Wadhwani_AI-BayesOpt,,5581060,,
