,predicted_cases,actual_cases,error,perc_error
UMich-RidgeTfReg,660098.6,644181,15917.6,2.5%
CEID-Walk,625842.1,644181,-18338.9,-2.8%
LNQ-ens1,625000.8,644181,-19180.2,-3.0%
COVIDhub-baseline,619940.0,644181,-24241.0,-3.8%
CU-select,618763.0,644181,-25418.0,-3.9%
USACE-ERDC_SEIR,613885.2,644181,-30295.8,-4.7%
TTU-squider,676074.7,644181,31893.7,5.0%
QJHong-Encounter,677436.0,644181,33255.0,5.2%
Columbia_UNC-SurvCon,680471.0,644181,36290.0,5.6%
USC-SI_kJalpha,606611.0,644181,-37570.0,-5.8%
COVIDhub-ensemble,599714.0,644181,-44467.0,-6.9%
JHUAPL-Bucky,599714.0,644181,-44467.0,-6.9%
IowaStateLW-STEM,598336.0,644181,-45845.0,-7.1%
IQVIA_ACOE-STAN,593926.0,644181,-50255.0,-7.8%
JCB-PRM,592198.6,644181,-51982.4,-8.1%
IBF-TimeSeries,555218.0,644181,-88963.0,-13.8%
OliverWyman-Navigator,739320.0,644181,95139.0,14.8%
DDS-NBDS,740490.2,644181,96309.2,15.0%
UCLA-SuEIR,536072.3,644181,-108108.7,-16.8%
Karlen-pypm,531419.6,644181,-112761.4,-17.5%
JHU_IDD-CovidSP,494261.6,644181,-149919.4,-23.3%
Covid19Sim-Simulator,472281.4,644181,-171899.6,-26.7%
LANL-GrowthRate,446126.1,644181,-198054.9,-30.7%
CovidAnalytics-DELPHI,298374.0,644181,-345807.0,-53.7%
RobertWalraven-ESG,,644181,,
