,predicted_cases,actual_cases,error,perc_error
Columbia_UNC-SurvCon,348297.0,341424,6873.0,2.0%
OliverWyman-Navigator,334241.0,341424,-7183.0,-2.1%
UMich-RidgeTfReg,330128.8,341424,-11295.2,-3.3%
JCB-PRM,324810.8,341424,-16613.2,-4.9%
CEID-Walk,312405.4,341424,-29018.6,-8.5%
QJHong-Encounter,309319.3,341424,-32104.7,-9.4%
LNQ-ens1,307287.9,341424,-34136.1,-10.0%
USC-SI_kJalpha,307099.0,341424,-34325.0,-10.1%
Covid19Sim-Simulator,305500.3,341424,-35923.7,-10.5%
CU-select,303152.0,341424,-38272.0,-11.2%
Geneva-DetGrowth,302897.7,341424,-38526.3,-11.3%
IQVIA_ACOE-STAN,302887.0,341424,-38537.0,-11.3%
COVIDhub-baseline,302538.0,341424,-38886.0,-11.4%
JHUAPL-Bucky,293544.5,341424,-47879.5,-14.0%
COVIDhub-ensemble,292071.0,341424,-49353.0,-14.5%
DDS-NBDS,282522.8,341424,-58901.2,-17.3%
UCLA-SuEIR,279963.8,341424,-61460.2,-18.0%
IowaStateLW-STEM,278004.0,341424,-63420.0,-18.6%
Karlen-pypm,272030.3,341424,-69393.7,-20.3%
JHU_IDD-CovidSP,271402.5,341424,-70021.5,-20.5%
RobertWalraven-ESG,267979.0,341424,-73445.0,-21.5%
LANL-GrowthRate,260073.7,341424,-81350.3,-23.8%
CovidAnalytics-DELPHI,177293.0,341424,-164131.0,-48.1%
TTU-squider,175280.0,341424,-166144.0,-48.7%
JHU_CSSE-DECOM,,341424,,
