,predicted_cases,actual_cases,error,perc_error
Columbia_UNC-SurvCon,717920.0,738108,-20188.0,-2.7%
QJHong-Encounter,768784.2,738108,30676.2,4.2%
USACE-ERDC_SEIR,706824.5,738108,-31283.5,-4.2%
RobertWalraven-ESG,781443.1,738108,43335.1,5.9%
UMich-RidgeTfReg,781797.4,738108,43689.4,5.9%
USC-SI_kJalpha,782540.0,738108,44432.0,6.0%
LNQ-ens1,797043.2,738108,58935.2,8.0%
DDS-NBDS,801349.0,738108,63241.0,8.6%
CovidAnalytics-DELPHI,842548.0,738108,104440.0,14.1%
COVIDhub-ensemble,843348.0,738108,105240.0,14.3%
LANL-GrowthRate,601113.3,738108,-136994.7,-18.6%
COVIDhub-baseline,882948.0,738108,144840.0,19.6%
IowaStateLW-STEM,890030.0,738108,151922.0,20.6%
UCLA-SuEIR,895722.5,738108,157614.5,21.4%
OliverWyman-Navigator,905809.0,738108,167701.0,22.7%
JHU_IDD-CovidSP,936523.5,738108,198415.5,26.9%
Covid19Sim-Simulator,1018547.5,738108,280439.5,38.0%
Karlen-pypm,1111459.1,738108,373351.1,50.6%
IHME-CurveFit,1600731.7,738108,862623.7,116.9%
