,predicted_cases,actual_cases,error,perc_error
OliverWyman-Navigator,361700.0,361000,700.0,0.2%
DDS-NBDS,357860.3,361000,-3139.7,-0.9%
CU-select,353794.0,361000,-7206.0,-2.0%
USC-SI_kJalpha,353094.0,361000,-7906.0,-2.2%
QJHong-Encounter,351295.7,361000,-9704.3,-2.7%
LNQ-ens1,350433.3,361000,-10566.7,-2.9%
CEID-Walk,373010.8,361000,12010.8,3.3%
COVIDhub-ensemble,375174.0,361000,14174.0,3.9%
COVIDhub-baseline,377337.0,361000,16337.0,4.5%
USACE-ERDC_SEIR,340998.2,361000,-20001.8,-5.5%
Geneva-DetGrowth,382916.8,361000,21916.8,6.1%
CovidAnalytics-DELPHI,383781.0,361000,22781.0,6.3%
UMich-RidgeTfReg,337293.6,361000,-23706.4,-6.6%
RobertWalraven-ESG,385820.7,361000,24820.7,6.9%
Columbia_UNC-SurvCon,329697.0,361000,-31303.0,-8.7%
UCLA-SuEIR,402645.2,361000,41645.2,11.5%
JHU_IDD-CovidSP,409159.6,361000,48159.6,13.3%
LANL-GrowthRate,306198.4,361000,-54801.6,-15.2%
Karlen-pypm,426849.4,361000,65849.4,18.2%
IHME-CurveFit,838767.4,361000,477767.4,132.3%
