,count,mean,median,std,min,25%,75%,max
JHU_IDD-CovidSP,51,5030853.1,1141948.7,9523537.5,283.0,129077.8,4724955.9,49218690.1
COVIDhub-ensemble,51,5408808.2,221841.0,28671224.4,9.0,11568.5,786246.5,205091041.0
Geneva-DetGrowth,51,5485113.8,403199.3,21068593.6,9.5,23285.3,1947528.4,148506212.3
COVIDhub-baseline,51,5585558.4,247009.0,26391595.7,484.0,15792.5,1435728.5,188238400.0
CEID-Walk,51,5926219.1,294824.0,28809427.5,307.7,27862.9,1216245.8,205086458.3
UCLA-SuEIR,51,6186350.2,758999.2,12834152.4,61.8,17584.8,6608342.1,61684586.2
UMich-RidgeTfReg,45,6510971.1,434282.7,21724390.6,61.4,87919.0,3715766.8,150569541.0
LNQ-ens1,51,6716712.9,122194.2,40432546.6,59.3,6337.0,693350.2,289038750.0
CU-select,51,6965320.4,150544.0,38709861.6,49.0,17698.0,1303034.5,276889600.0
OliverWyman-Navigator,51,7229737.5,223729.0,42399998.9,0.0,6905.0,1705736.0,303700329.0
USACE-ERDC_SEIR,51,8061342.8,109717.9,44575615.6,135.4,3898.7,1522111.0,318591487.3
USC-SI_kJalpha,51,8618130.3,160000.0,50103142.3,1.0,9418.0,933785.0,356794321.0
DDS-NBDS,51,12116381.2,65583.6,55209042.9,3.4,5132.3,922552.0,379596298.0
Karlen-pypm,51,12446088.8,799951.4,33802085.2,100.0,61505.7,4450362.7,170380809.0
RobertWalraven-ESG,50,13091637.2,368024.2,62785026.0,337.1,24319.5,2244548.0,442961476.2
LANL-GrowthRate,51,17456199.0,96612.2,96528060.8,20.2,3525.2,1147626.5,673296326.0
CovidAnalytics-DELPHI,51,23353922.6,2027776.0,91571480.7,169.0,207025.0,9578076.5,624450121.0
IHME-CurveFit,51,484510938.2,7566283.0,2035700392.6,377.3,338469.5,67863652.6,13855172656.1
