,predicted_cases,actual_cases,error,perc_error
Columbia_UNC-SurvCon,1690222.0,1644730,45492.0,2.8%
USACE-ERDC_SEIR,1695965.9,1644730,51235.9,3.1%
JHU_IDD-CovidSP,1576615.2,1644730,-68114.8,-4.1%
CovidAnalytics-DELPHI,1464559.0,1644730,-180171.0,-11.0%
COVIDhub-baseline,1861952.0,1644730,217222.0,13.2%
UMich-RidgeTfReg,1876494.9,1644730,231764.9,14.1%
LANL-GrowthRate,1411429.0,1644730,-233301.0,-14.2%
COVIDhub-ensemble,2071246.0,1644730,426516.0,25.9%
UCLA-SuEIR,2105620.0,1644730,460890.0,28.0%
IowaStateLW-STEM,2127397.0,1644730,482667.0,29.3%
USC-SI_kJalpha,2371189.7,1644730,726459.7,44.2%
Covid19Sim-Simulator,2390207.2,1644730,745477.2,45.3%
QJHong-Encounter,2670406.6,1644730,1025676.6,62.4%
IHME-CurveFit,3120160.2,1644730,1475430.2,89.7%
LNQ-ens1,3276875.1,1644730,1632145.1,99.2%
RobertWalraven-ESG,3414621.0,1644730,1769891.0,107.6%
Karlen-pypm,,1644730,,
