,count,mean,median,std,min,25%,75%,max
Karlen-pypm,51,30050.5,14994.3,33382.8,35.7,6227.7,44312.8,120650.2
CU-select,51,33681.7,18834.0,34425.7,681.0,10759.5,53563.5,148849.0
BPagano-RtDriven,51,36214.2,25972.9,38219.6,52.6,5978.7,52551.6,182907.4
JCB-PRM,51,41973.2,25030.5,43578.0,938.5,11305.7,64041.6,202908.4
JHUAPL-Bucky,51,42075.8,26865.7,47053.7,202.8,6423.7,59578.1,208167.2
COVIDhub-baseline,51,42212.5,24679.0,42903.0,328.0,12861.5,63479.0,183225.0
USC-SI_kJalpha,51,43239.6,25450.0,44210.0,705.0,13569.0,63707.5,212047.0
Covid19Sim-Simulator,51,47345.5,28764.7,47790.9,110.1,14465.5,73085.8,212045.9
JHU_IDD-CovidSP,51,49627.6,35860.3,47468.0,959.6,17939.2,70132.7,211074.7
IowaStateLW-STEM,49,50964.5,30659.0,50127.2,1150.0,14762.0,77266.0,227010.0
LANL-GrowthRate,51,55491.7,35585.1,53862.5,1245.9,19672.6,80384.6,214702.6
UCLA-SuEIR,51,58451.5,35460.7,54105.4,1383.3,24760.9,86057.9,243286.6
CovidAnalytics-DELPHI,51,64143.4,40919.0,63110.7,1585.0,24638.0,86726.0,282730.0
