,predicted_cases,actual_cases,error,perc_error
DDS-NBDS,2929063.1,3613637,-684573.9,-18.9%
Karlen-pypm,2802541.6,3613637,-811095.4,-22.4%
RobertWalraven-ESG,2484799.4,3613637,-1128837.6,-31.2%
LNQ-ens1,2462741.0,3613637,-1150896.0,-31.8%
Covid19Sim-Simulator,2402497.3,3613637,-1211139.7,-33.5%
Columbia_UNC-SurvCon,2347543.0,3613637,-1266094.0,-35.0%
BPagano-RtDriven,2342450.3,3613637,-1271186.7,-35.2%
UMich-RidgeTfReg,2321657.8,3613637,-1291979.2,-35.8%
QJHong-Encounter,2252726.0,3613637,-1360911.0,-37.7%
CU-select,2213840.0,3613637,-1399797.0,-38.7%
IBF-TimeSeries,2147375.0,3613637,-1466262.0,-40.6%
JCB-PRM,2105425.1,3613637,-1508211.9,-41.7%
USACE-ERDC_SEIR,2104067.6,3613637,-1509569.4,-41.8%
COVIDhub-ensemble,2033179.0,3613637,-1580458.0,-43.7%
JHU_CSSE-DECOM,2016314.0,3613637,-1597323.0,-44.2%
JHUAPL-Bucky,1951806.6,3613637,-1661830.4,-46.0%
USC-SI_kJalpha,1941881.0,3613637,-1671756.0,-46.3%
COVIDhub-baseline,1875172.0,3613637,-1738465.0,-48.1%
CEID-Walk,1867013.9,3613637,-1746623.1,-48.3%
IowaStateLW-STEM,1789261.0,3613637,-1824376.0,-50.5%
UCLA-SuEIR,1733400.0,3613637,-1880237.0,-52.0%
LANL-GrowthRate,1255359.2,3613637,-2358277.8,-65.3%
JHU_IDD-CovidSP,1231941.6,3613637,-2381695.4,-65.9%
CovidAnalytics-DELPHI,1109130.0,3613637,-2504507.0,-69.3%
TTU-squider,901423.2,3613637,-2712213.8,-75.1%
Google_Harvard-CPF,,3613637,,
JHU_UNC_GAS-StatMechPool,,3613637,,
UCSB-ACTS,,3613637,,
