,predicted_cases,actual_cases,error,perc_error
CU-select,2861603.0,2786158,75445.0,2.7%
UCLA-SuEIR,2864570.7,2786158,78412.7,2.8%
LANL-GrowthRate,2672618.0,2786158,-113540.0,-4.1%
UChicagoCHATTOPADHYAY-UnIT,2671641.5,2786158,-114516.5,-4.1%
IBF-TimeSeries,2943994.0,2786158,157836.0,5.7%
UCF-AEM,2985547.0,2786158,199389.0,7.2%
CEID-Walk,2989920.7,2786158,203762.7,7.3%
COVIDhub-baseline,3024744.0,2786158,238586.0,8.6%
TTU-squider,3025767.5,2786158,239609.5,8.6%
QJHong-Encounter,3038628.0,2786158,252470.0,9.1%
LNQ-ens1,3046281.6,2786158,260123.6,9.3%
USC-SI_kJalpha,3086394.0,2786158,300236.0,10.8%
COVIDhub-ensemble,3107522.0,2786158,321364.0,11.5%
Covid19Sim-Simulator,3110777.4,2786158,324619.4,11.7%
IowaStateLW-STEM,3118789.0,2786158,332631.0,11.9%
OneQuietNight-ML,3135965.0,2786158,349807.0,12.6%
CovidAnalytics-DELPHI,3152266.0,2786158,366108.0,13.1%
IEM_MED-CovidProject,3189351.7,2786158,403193.7,14.5%
Microsoft-DeepSTIA,3225567.1,2786158,439409.1,15.8%
JHU_IDD-CovidSP,2324766.4,2786158,-461391.6,-16.6%
UMich-RidgeTfReg,3302510.5,2786158,516352.5,18.5%
BPagano-RtDriven,3311679.1,2786158,525521.1,18.9%
DDS-NBDS,3354747.5,2786158,568589.5,20.4%
JHUAPL-Bucky,3356431.7,2786158,570273.7,20.5%
RobertWalraven-ESG,3363394.5,2786158,577236.5,20.7%
OliverWyman-Navigator,3486178.0,2786158,700020.0,25.1%
JCB-PRM,3702559.0,2786158,916401.0,32.9%
Karlen-pypm,3717167.4,2786158,931009.4,33.4%
Columbia_UNC-SurvCon,4052087.0,2786158,1265929.0,45.4%
UVA-Ensemble,4267689.8,2786158,1481531.8,53.2%
Google_Harvard-CPF,,2786158,,
JHU_CSSE-DECOM,,2786158,,
JHU_UNC_GAS-StatMechPool,,2786158,,
UCSB-ACTS,,2786158,,
Wadhwani_AI-BayesOpt,,2786158,,
