,predicted_cases,actual_cases,error,perc_error
QJHong-Encounter,7265406.0,7183221,82185.0,1.1%
JHUAPL-Bucky,7645960.1,7183221,462739.1,6.4%
IowaStateLW-STEM,5971255.0,7183221,-1211966.0,-16.9%
UCF-AEM,5889783.0,7183221,-1293438.0,-18.0%
Karlen-pypm,8516966.1,7183221,1333745.1,18.6%
Covid19Sim-Simulator,5844081.2,7183221,-1339139.8,-18.6%
LANL-GrowthRate,5757288.0,7183221,-1425933.0,-19.9%
IBF-TimeSeries,5740837.0,7183221,-1442384.0,-20.1%
COVIDhub-baseline,5701925.0,7183221,-1481296.0,-20.6%
JHU_IDD-CovidSP,5336743.3,7183221,-1846477.7,-25.7%
JCB-PRM,9059288.3,7183221,1876067.3,26.1%
CU-select,5153768.0,7183221,-2029453.0,-28.3%
UCLA-SuEIR,5082698.2,7183221,-2100522.8,-29.2%
OneQuietNight-ML,9457062.0,7183221,2273841.0,31.7%
CovidAnalytics-DELPHI,9800645.0,7183221,2617424.0,36.4%
USC-SI_kJalpha,4238807.0,7183221,-2944414.0,-41.0%
Columbia_UNC-SurvCon,3672076.0,7183221,-3511145.0,-48.9%
USACE-ERDC_SEIR,3231511.8,7183221,-3951709.2,-55.0%
