,predicted_cases,actual_cases,error,perc_error
COVIDhub-baseline,465488.0,464327,1161.0,0.3%
Columbia_UNC-SurvCon,474855.0,464327,10528.0,2.3%
RobertWalraven-ESG,479011.3,464327,14684.3,3.2%
UCLA-SuEIR,482613.0,464327,18286.0,3.9%
USACE-ERDC_SEIR,445719.5,464327,-18607.5,-4.0%
USC-SI_kJalpha,488682.8,464327,24355.8,5.2%
LANL-GrowthRate,433553.6,464327,-30773.4,-6.6%
Geneva-DetGrowth,503703.6,464327,39376.6,8.5%
UMich-RidgeTfReg,414871.2,464327,-49455.8,-10.7%
QJHong-Encounter,527147.6,464327,62820.6,13.5%
COVIDhub-ensemble,528883.0,464327,64556.0,13.9%
IowaStateLW-STEM,549956.0,464327,85629.0,18.4%
CovidAnalytics-DELPHI,378450.0,464327,-85877.0,-18.5%
OliverWyman-Navigator,569441.0,464327,105114.0,22.6%
Covid19Sim-Simulator,590982.2,464327,126655.2,27.3%
JHU_IDD-CovidSP,314575.1,464327,-149751.9,-32.3%
LNQ-ens1,784617.4,464327,320290.4,69.0%
IHME-CurveFit,814135.3,464327,349808.3,75.3%
Karlen-pypm,,464327,,
