,total_deaths_2021-01-03,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
QJHong-Encounter,357963,458386.8,468282,106806.8,110319,-3512.2,-3.2%
IBF-TimeSeries,357963,456603.0,468282,105023.0,110319,-5296.0,-4.8%
JHU_IDD-CovidSP,357963,451549.7,468282,99969.7,110319,-10349.3,-9.4%
Covid19Sim-Simulator,357963,449402.3,468282,97822.3,110319,-12496.7,-11.3%
Karlen-pypm,357963,444943.8,468282,93363.8,110319,-16955.2,-15.4%
UCM_MESALab-FoGSEIR,357963,444121.0,468282,92541.0,110319,-17778.0,-16.1%
COVIDhub-baseline,357963,441564.7,468282,89984.7,110319,-20334.3,-18.4%
Baseline,357963,441252.6,468282,89672.6,110319,-20646.4,-18.7%
PSI-DRAFT,357963,438317.5,468282,86737.5,110319,-23581.5,-21.4%
Columbia_UNC-SurvCon,357963,436034.0,468282,84454.0,110319,-25865.0,-23.4%
LANL-GrowthRate,357963,433264.0,468282,81684.0,110319,-28635.0,-26.0%
IowaStateLW-STEM,357963,429386.0,468282,77806.0,110319,-32513.0,-29.5%
AIpert-pwllnod,357963,424632.8,468282,73052.8,110319,-37266.2,-33.8%
CovidAnalytics-DELPHI,357963,424024.0,468282,72444.0,110319,-37875.0,-34.3%
JHUAPL-Bucky,357963,413388.5,468282,61808.5,110319,-48510.5,-44.0%
UCLA-SuEIR,357963,410027.7,468282,58447.7,110319,-51871.3,-47.0%
WalmartLabsML-LogForecasting,357963,386723.9,468282,35143.9,110319,-75175.1,-68.1%
MITCovAlliance-SIR,357963,,468282,,110319,,
Wadhwani_AI-BayesOpt,357963,,468282,,110319,,
