,total_deaths_2020-11-29,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
JCB-PRM,269518,426758.7,424834,159885.7,155316,4569.7,2.9%
Covid19Sim-Simulator,269518,431134.0,424834,164261.0,155316,8945.0,5.8%
QJHong-Encounter,269518,410886.6,424834,144013.6,155316,-11302.4,-7.3%
JHUAPL-Bucky,269518,396261.5,424834,129388.5,155316,-25927.5,-16.7%
USACE-ERDC_SEIR,269518,463568.0,424834,196695.0,155316,41379.0,26.6%
IBF-TimeSeries,269518,367916.0,424834,101043.0,155316,-54273.0,-34.9%
IowaStateLW-STEM,269518,362272.0,424834,95399.0,155316,-59917.0,-38.6%
Columbia_UNC-SurvCon,269518,351407.0,424834,84534.0,155316,-70782.0,-45.6%
COVIDhub-baseline,269518,346853.2,424834,79980.2,155316,-75335.8,-48.5%
Baseline,269518,345499.4,424834,78626.4,155316,-76689.6,-49.4%
UCLA-SuEIR,269518,338151.1,424834,71278.1,155316,-84037.9,-54.1%
WalmartLabsML-LogForecasting,269518,296888.9,424834,30015.9,155316,-125300.1,-80.7%
