,count,mean,median,std,min,25%,75%,max
Karlen-pypm,51,388695.4,28291.2,1250453.7,27.0,6650.5,148835.2,7899472.4
Covid19Sim-Simulator,51,524272.9,32992.1,1516910.7,0.1,5044.3,173959.6,8533245.8
IHME-CurveFit,51,571096.0,47862.0,1508185.4,43.2,7628.3,465639.1,9350810.7
CovidAnalytics-DELPHI,51,677796.9,40401.0,2092962.1,16.0,6552.5,251001.0,13286025.0
JCB-PRM,51,751479.4,96724.8,2597869.8,8.4,7462.7,263798.7,17411829.0
JHU_IDD-CovidSP,51,917297.9,126732.4,3717024.7,0.6,14339.2,445652.3,25607302.4
COVIDhub-baseline,51,1204551.9,62304.8,5288582.0,9.0,9157.0,437022.5,37714783.4
Baseline,51,1214251.9,47835.9,5438964.6,200.0,5603.9,456482.0,38782645.9
IowaStateLW-STEM,49,1325363.3,75076.0,5826360.8,400.0,8489.0,413570.0,41422096.0
UCLA-SuEIR,51,1541646.5,70492.1,6908604.9,10.2,6657.5,386431.0,49009190.3
JHUAPL-Bucky,51,2076433.4,124611.4,7212163.5,0.8,14444.9,792902.1,47368038.4
LANL-GrowthRate,51,2279076.0,24964.0,8948680.4,0.0,2952.5,692149.6,47582404.0
PSI-DRAFT,51,2456756.1,206116.0,9903786.4,9.0,8568.5,602714.1,66194496.0
AIpert-pwllnod,51,2880373.2,164094.5,12507083.3,106.6,12414.9,644861.6,88325966.1
Wadhwani_AI-BayesOpt,44,3297362.5,307242.7,8298498.6,198.7,59393.6,1977122.5,45712739.5
WalmartLabsML-LogForecasting,51,6978897.8,787365.2,22822931.6,228.2,92895.2,3976289.0,155575821.7
Columbia_UNC-SurvCon,51,8646166.0,58564.0,37356270.2,49.0,15006.5,333605.0,230675344.0
