,total_deaths_2020-11-22,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
BPagano-RtDriven,258704,299271.9,301831,42489.9,43127,-637.1,-1.5%
Karlen-pypm,258704,300948.9,301831,44166.9,43127,1039.9,2.4%
LNQ-ens1,258704,298613.0,301831,41831.0,43127,-1296.0,-3.0%
Covid19Sim-Simulator,258704,301372.4,301831,44590.4,43127,1463.4,3.4%
RobertWalraven-ESG,258704,301625.5,301831,44843.5,43127,1716.5,4.0%
Columbia_UNC-SurvCon,258704,301630.0,301831,44848.0,43127,1721.0,4.0%
USC-SI_kJalpha,258704,302071.0,301831,45289.0,43127,2162.0,5.0%
UMass-MechBayes,258704,302616.0,301831,45834.0,43127,2707.0,6.3%
QJHong-Encounter,258704,296810.8,301831,40028.8,43127,-3098.2,-7.2%
JHU_CSSE-DECOM,258704,296809.0,301831,40027.0,43127,-3100.0,-7.2%
IBF-TimeSeries,258704,296283.0,301831,39501.0,43127,-3626.0,-8.4%
OliverWyman-Navigator,258704,295864.4,301831,39082.4,43127,-4044.6,-9.4%
TTU-squider,258704,295415.9,301831,38633.9,43127,-4493.1,-10.4%
JCB-PRM,258704,295099.4,301831,38317.4,43127,-4809.6,-11.2%
SteveMcConnell-CovidComplete,258704,304808.0,301831,48026.0,43127,4899.0,11.4%
MSRA-DeepST,258704,294991.7,301831,38209.7,43127,-4917.3,-11.4%
UCSD_NEU-DeepGLEAM,258704,294855.7,301831,38073.7,43127,-5053.3,-11.7%
MIT_CritData-GBCF,258704,294446.0,301831,37664.0,43127,-5463.0,-12.7%
CovidAnalytics-DELPHI,258704,294088.0,301831,37306.0,43127,-5821.0,-13.5%
MOBS-GLEAM_COVID,258704,293921.3,301831,37139.3,43127,-5987.7,-13.9%
COVIDhub-ensemble,258704,293869.0,301831,37087.0,43127,-6040.0,-14.0%
GT-DeepCOVID,258704,293485.3,301831,36703.3,43127,-6423.7,-14.9%
IowaStateLW-STEM,258704,293274.0,301831,36492.0,43127,-6635.0,-15.4%
Caltech-CS156,258704,292656.6,301831,35874.6,43127,-7252.4,-16.8%
IHME-CurveFit,258704,291560.2,301831,34778.2,43127,-8348.8,-19.4%
CU-select,258704,291400.0,301831,34618.0,43127,-8509.0,-19.7%
JHU_IDD-CovidSP,258704,291193.5,301831,34411.5,43127,-8715.5,-20.2%
UT-Mobility,258704,290684.5,301831,33902.5,43127,-9224.5,-21.4%
JHUAPL-Bucky,258704,290411.3,301831,33629.3,43127,-9497.7,-22.0%
UA-EpiCovDA,258704,290148.0,301831,33366.0,43127,-9761.0,-22.6%
PSI-DRAFT,258704,289685.0,301831,32903.0,43127,-10224.0,-23.7%
LANL-GrowthRate,258704,289219.0,301831,32437.0,43127,-10690.0,-24.8%
UCLA-SuEIR,258704,288471.4,301831,31689.4,43127,-11437.6,-26.5%
DDS-NBDS,258704,287103.5,301831,30321.5,43127,-12805.5,-29.7%
Baseline,258704,286996.3,301831,30214.3,43127,-12912.7,-29.9%
CEID-Walk,258704,286695.1,301831,29913.1,43127,-13213.9,-30.6%
COVIDhub-baseline,258704,286674.5,301831,29892.5,43127,-13234.5,-30.7%
UMich-RidgeTfReg,258704,286467.2,301831,29685.2,43127,-13441.8,-31.2%
epiforecasts-ensemble1,258704,313819.0,301831,57037.0,43127,13910.0,32.3%
RPI_UW-Mob_Collision,258704,282564.6,301831,25782.6,43127,-17344.4,-40.2%
NotreDame-mobility,258704,281540.4,301831,24758.4,43127,-18368.6,-42.6%
UCM_MESALab-FoGSEIR,258704,276135.0,301831,19353.0,43127,-23774.0,-55.1%
WalmartLabsML-LogForecasting,258704,268832.4,301831,12050.4,43127,-31076.6,-72.1%
USACE-ERDC_SEIR,258704,343355.1,301831,86573.1,43127,43446.1,100.7%
CMU-TimeSeries,258704,,301831,,43127,,
Google_Harvard-CPF,258704,,301831,,43127,,
NotreDame-FRED,258704,,301831,,43127,,
UCSB-ACTS,258704,,301831,,43127,,
