,2020-04-20_2020-05-30,2020-04-27_2020-05-30,2020-05-04_2020-05-30,2020-05-11_2020-05-30,2020-05-18_2020-05-30,2020-05-25_2020-05-30
num_states_beat_baseline-CU-select,16,23,19,23,19,17
num_states_beat_baseline-Covid19Sim-Simulator,,,,,,9
num_states_beat_baseline-GT-DeepCOVID,,,,4,16,14
num_states_beat_baseline-Geneva-DetGrowth,,,,,,
num_states_beat_baseline-IHME-CurveFit,14,16,24,21,22,
num_states_beat_baseline-Imperial-ensemble1,,,,,,
num_states_beat_baseline-Imperial-ensemble2,,,,,,
num_states_beat_baseline-IowaStateLW-STEM,,20,15,,19,14
num_states_beat_baseline-JHU_IDD-CovidSP,,,,,3,10
num_states_beat_baseline-LANL-GrowthRate,18,23,24,25,29,29
num_states_beat_baseline-MIT_CovidAnalytics-DELPHI,,23,19,18,15,22
num_states_beat_baseline-MOBS_NEU-GLEAM_COVID,,,15,16,19,19
num_states_beat_baseline-NotreDame-FRED,,,2,4,1,1
num_states_beat_baseline-PSI-DRAFT,,,,,20,14
num_states_beat_baseline-SWC-TerminusCM,,,,,,8
num_states_beat_baseline-UA-EpiCovDA,,,,,,11
num_states_beat_baseline-UCLA-SuEIR,,,22,22,28,21
num_states_beat_baseline-UChicago-CovidIL,,,,1,0,
num_states_beat_baseline-UChicago-CovidIL_100,,,,1,0,
num_states_beat_baseline-UChicago-CovidIL_10_increase,,,,,0,
num_states_beat_baseline-UChicago-CovidIL_30_increase,,,,,0,
num_states_beat_baseline-UChicago-CovidIL_40,,,,1,,
num_states_beat_baseline-UChicago-CovidIL_60,,,,0,,
num_states_beat_baseline-UChicago-CovidIL_80,,,,1,,
num_states_beat_baseline-UMass-MechBayes,,,20,22,35,26
num_states_beat_baseline-USACE-ERDC_SEIR,,,,,18,16
num_states_beat_baseline-UT-Mobility,13,13,17,22,27,18
num_states_beat_baseline-YYG-ParamSearch,16,20,27,34,29,28
perc_beat_baseline-Auquan-SEIR,,,,,0.1176470588,0.01960784314
perc_beat_baseline-COVIDhub-ensemble,,,0.4901960784,0.5490196078,0.4705882353,0.5098039216
perc_beat_baseline-CU-select,0.32,0.46,0.38,0.46,0.38,0.34
perc_beat_baseline-Covid19Sim-Simulator,,,,,,0.1764705882
perc_beat_baseline-GT-DeepCOVID,,,,0.1904761905,0.64,0.4666666667
perc_beat_baseline-Geneva-DetGrowth,,,,,,
perc_beat_baseline-IHME-CurveFit,0.2745098039,0.3265306122,0.4705882353,0.4117647059,0.431372549,
perc_beat_baseline-Imperial-ensemble1,,,,,,
perc_beat_baseline-Imperial-ensemble2,,,,,,
perc_beat_baseline-IowaStateLW-STEM,,0.4081632653,0.306122449,,0.387755102,0.2857142857
perc_beat_baseline-JHU_IDD-CovidSP,,,,,0.05882352941,0.1960784314
perc_beat_baseline-LANL-GrowthRate,0.3529411765,0.4509803922,0.4705882353,0.4901960784,0.568627451,0.568627451
perc_beat_baseline-MIT_CovidAnalytics-DELPHI,,0.4509803922,0.3725490196,0.3529411765,0.2941176471,0.431372549
perc_beat_baseline-MOBS_NEU-GLEAM_COVID,,,0.3,0.32,0.38,0.38
perc_beat_baseline-NotreDame-FRED,,,0.2857142857,0.5714285714,0.1428571429,0.1428571429
perc_beat_baseline-PSI-DRAFT,,,,,0.3921568627,0.2745098039
perc_beat_baseline-SWC-TerminusCM,,,,,,0.2
perc_beat_baseline-UA-EpiCovDA,,,,,,0.2156862745
perc_beat_baseline-UCLA-SuEIR,,,0.431372549,0.431372549,0.5490196078,0.4117647059
perc_beat_baseline-UChicago-CovidIL,,,,1,0,
perc_beat_baseline-UChicago-CovidIL_100,,,,1,0,
perc_beat_baseline-UChicago-CovidIL_10_increase,,,,,0,
perc_beat_baseline-UChicago-CovidIL_30_increase,,,,,0,
perc_beat_baseline-UChicago-CovidIL_40,,,,1,,
perc_beat_baseline-UChicago-CovidIL_60,,,,0,,
perc_beat_baseline-UChicago-CovidIL_80,,,,1,,
perc_beat_baseline-UMass-MechBayes,,,0.3921568627,0.431372549,0.6862745098,0.5098039216
perc_beat_baseline-USACE-ERDC_SEIR,,,,,0.3529411765,0.3137254902
perc_beat_baseline-UT-Mobility,0.2549019608,0.2549019608,0.3333333333,0.431372549,0.5294117647,0.3529411765
perc_beat_baseline-YYG-ParamSearch,0.3137254902,0.3921568627,0.5294117647,0.6666666667,0.568627451,0.5490196078
mean_abs_error-Auquan-SEIR,,,,,267.0392157,266.0980392
mean_abs_error-Baseline,672,489.1843137,297.3666667,205.8882353,102.4509804,30.05098039
mean_abs_error-COVIDhub-ensemble,,,108.3470588,106.1372549,75.15294118,25.38039216
mean_abs_error-CU-select,,,,,,
mean_abs_error-Covid19Sim-Simulator,,,,,,67.85490196
mean_abs_error-GT-DeepCOVID,,,,,,
mean_abs_error-Geneva-DetGrowth,,,,,,
mean_abs_error-IHME-CurveFit,773.2843137,,246.1627451,154.4,117.2137255,
mean_abs_error-Imperial-ensemble1,,,,,,
mean_abs_error-Imperial-ensemble2,,,,,,
mean_abs_error-IowaStateLW-STEM,,,,,,
mean_abs_error-JHU_IDD-CovidSP,,,,,515.6568627,67.33137255
mean_abs_error-LANL-GrowthRate,583.0117647,368.4607843,177.2686275,87.00784314,66.54313725,26.42156863
mean_abs_error-MIT_CovidAnalytics-DELPHI,,356.0392157,301.9803922,232.3137255,123.8823529,33.90196078
mean_abs_error-MOBS_NEU-GLEAM_COVID,,,,,,
mean_abs_error-NotreDame-FRED,,,,,,
mean_abs_error-PSI-DRAFT,,,,,160.9019608,102.9803922
mean_abs_error-SWC-TerminusCM,,,,,,
mean_abs_error-UA-EpiCovDA,,,,,,77.64705882
mean_abs_error-UCLA-SuEIR,,,243.1294118,165.6980392,60.31764706,30.01372549
mean_abs_error-UChicago-CovidIL,,,,,,
mean_abs_error-UChicago-CovidIL_100,,,,,,
mean_abs_error-UChicago-CovidIL_10_increase,,,,,,
mean_abs_error-UChicago-CovidIL_30_increase,,,,,,
mean_abs_error-UChicago-CovidIL_40,,,,,,
mean_abs_error-UChicago-CovidIL_60,,,,,,
mean_abs_error-UChicago-CovidIL_80,,,,,,
mean_abs_error-UMass-MechBayes,,,260.3333333,88.23529412,53.07843137,14.25490196
mean_abs_error-USACE-ERDC_SEIR,,,,,126.8352941,69.4372549
mean_abs_error-UT-Mobility,926.6980392,653.7372549,444.0333333,136.6333333,72.21764706,33.53921569
mean_abs_error-YYG-ParamSearch,378.8078431,281.2745098,140.845098,101.0705882,69.49411765,24.94509804
