,2020-05-18_2020-09-19,2020-05-25_2020-09-19,2020-06-01_2020-09-19,2020-06-08_2020-09-19,2020-06-15_2020-09-19,2020-06-22_2020-09-19,2020-06-29_2020-09-19,2020-07-06_2020-09-19,2020-07-13_2020-09-19,2020-07-20_2020-09-19,2020-07-27_2020-09-19,2020-08-03_2020-09-19,2020-08-10_2020-09-19,2020-08-17_2020-09-19,2020-08-24_2020-09-19,2020-08-31_2020-09-19,2020-09-07_2020-09-19,2020-09-14_2020-09-19
num_states_beat_baseline-SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,20,25,33,22
num_states_beat_baseline-TTU-squider,,,,,,,,,,,,,,,,,,6
num_states_beat_baseline-UA-EpiCovDA,,,,,,,,,,,,,,,21,20,20,25
num_states_beat_baseline-UCLA-SuEIR,,,,,19,23,16,18,23,21,19,30,20,20,24,22,23,28
num_states_beat_baseline-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,1,0,0,0,0
num_states_beat_baseline-UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,15,18
num_states_beat_baseline-UMass-MechBayes,,,,,,,,,,,,,,,22,26,34,31
num_states_beat_baseline-UMich-RidgeTfReg,,,,,,,,,,,,,,,11,20,18,18
num_states_beat_baseline-USACE-ERDC_SEIR,,,,,,,,,,,17,16,18,20,15,17,14,18
num_states_beat_baseline-USC-SI_kJalpha,,,,,,,31,,,,18,24,18,25,25,31,29,23
num_states_beat_baseline-UT-Mobility,,,,,,,,,,,,,,,17,,,24
num_states_beat_baseline-WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,10,15
num_states_beat_baseline-YYG-ParamSearch,,,,,28,34,34,35,37,25,30,22,26,32,30,27,30,26
num_states_beat_baseline-epiforecasts-ensemble1,,,,,,,,,,,,,,,13,16,7,4
perc_beat_baseline-Auquan-SEIR,,,,,,,,,,,,,,0.4705882353,0.3725490196,,,
perc_beat_baseline-CEID-Walk,,,,,,,,,,,,,,,0.3921568627,0.4509803922,0.4705882353,0.5490196078
perc_beat_baseline-CMU-TimeSeries,,,,,,,,,,,,,,,0.4117647059,0.64,0.5102040816,0.5510204082
perc_beat_baseline-COVIDhub-ensemble,,,,,,,,,,,,,,,0.6862745098,0.5882352941,0.6078431373,0.5882352941
perc_beat_baseline-CU-select,,,,,,,,,,,,,,,0.2941176471,0.4117647059,0.4117647059,0.3137254902
perc_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,0.52,0.3921568627
perc_beat_baseline-Covid19Sim-Simulator,,0.568627451,0.5490196078,0.5294117647,0.6470588235,0.6078431373,0.568627451,0.6862745098,0.568627451,0.4901960784,0.5098039216,0.5490196078,,0.4705882353,0.2549019608,0.5294117647,0.4117647059,0.431372549
perc_beat_baseline-CovidAnalytics-DELPHI,,,,,,,,,,,,,0.4705882353,0.4509803922,0.4117647059,0.4509803922,0.2941176471,0.4117647059
perc_beat_baseline-DDS-NBDS,,,,,,,,,,,,,,,0.3529411765,0.568627451,0.4509803922,0.4901960784
perc_beat_baseline-GT-DeepCOVID,,,,,,,,,,,,,,,0.4166666667,0.5319148936,0.375,0.4897959184
perc_beat_baseline-GT_CHHS-COVID19,,,,,,,,,,,,,,,0,0,0,0
perc_beat_baseline-Geneva-DetGrowth,,,,,,,,,,,,,,,,,,0.5490196078
perc_beat_baseline-Google_Harvard-CPF,,,,,,,,,,,,,,,,0.4117647059,0.3921568627,0.3725490196
perc_beat_baseline-IBF-TimeSeries,,,,,,,,,,,,,,,,,,
perc_beat_baseline-IHME-CurveFit,,,,0.5490196078,0.5882352941,0.6078431373,0.4705882353,0.4901960784,,0.2941176471,0.2745098039,0.5098039216,0.3725490196,,0.3333333333,0.3725490196,0.3333333333,
perc_beat_baseline-IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,0.3469387755,0.4489795918
perc_beat_baseline-IowaStateLW-STEM,0.4081632653,0.4897959184,0.4489795918,0.4285714286,0.4897959184,0.4489795918,0.4081632653,0.5306122449,0.5306122449,0.3265306122,0.3469387755,0.4693877551,,0.4285714286,0.306122449,0.4693877551,0.387755102,0.2448979592
perc_beat_baseline-JCB-PRM,,,,,,,,,,,,,,,0.6666666667,0.6078431373,0.5882352941,0.568627451
perc_beat_baseline-JHUAPL-Bucky,,,,,,,,,,,,,,,,0.3921568627,0.2549019608,0.1764705882
perc_beat_baseline-JHU_IDD-CovidSP,,,,,,,,,,,,,,0.1764705882,0.3333333333,0.431372549,0.3529411765,0.3137254902
perc_beat_baseline-Karlen-pypm,,,,,,,,,,,,,,0.568627451,0.568627451,0.4509803922,0.6274509804,0.4509803922
perc_beat_baseline-LANL-GrowthRate,,,,,,,,,,,,0.4117647059,0.1960784314,0.3725490196,0.3333333333,0.4901960784,0.4901960784,0.4901960784
perc_beat_baseline-LNQ-ens1,,,,,,,,,,,,,,,0.3725490196,0.4705882353,0.4705882353,0.3529411765
perc_beat_baseline-MITCovAlliance-SIR,,,,,,,,,,,0.3137254902,0.3921568627,,0.2549019608,,,0.3921568627,0.3529411765
perc_beat_baseline-MIT_CritData-GBCF,,,,,,,,,,,,,,,,,0.3921568627,0.3725490196
perc_beat_baseline-MOBS-GLEAM_COVID,,,,,,,,,,,,,,,0.38,0.42,0.38,0.3
perc_beat_baseline-NotreDame-FRED,,,,,,,,,,,,,0.1428571429,0.1428571429,0,0,0,0.1428571429
perc_beat_baseline-NotreDame-mobility,,,,,,,,,,,,,0.2156862745,0.3333333333,0.3529411765,0.4901960784,0.3529411765,0.1960784314
perc_beat_baseline-OliverWyman-Navigator,,,,,,,,,,,,,,,0.4117647059,0.5294117647,0.6274509804,0.5098039216
perc_beat_baseline-PSI-DRAFT,,,,,,,,,,,,,0.1960784314,0.2941176471,0.2941176471,0.4509803922,0.3137254902,0.3529411765
perc_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,,,,,
perc_beat_baseline-RPI_UW-Mob_Collision,,,,,,,,,,,,,,,0.125,0.3,0.3333333333,0.5806451613
perc_beat_baseline-RobertWalraven-ESG,,,,,,,,,,,,,,0.26,0.2352941176,0.431372549,0.2549019608,0.2745098039
perc_beat_baseline-STH-3PU,,,,,1,1,1,1,1,0,0,1,1,1,1,0,1,0
perc_beat_baseline-SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,0.3921568627,0.4901960784,0.6470588235,0.431372549
perc_beat_baseline-TTU-squider,,,,,,,,,,,,,,,,,,0.1176470588
perc_beat_baseline-UA-EpiCovDA,,,,,,,,,,,,,,,0.4117647059,0.3921568627,0.3921568627,0.4901960784
perc_beat_baseline-UCLA-SuEIR,,,,,0.3725490196,0.4509803922,0.3137254902,0.3529411765,0.4509803922,0.4117647059,0.3725490196,0.5882352941,0.3921568627,0.3921568627,0.4705882353,0.431372549,0.4509803922,0.5490196078
perc_beat_baseline-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,1,0,0,0,0
perc_beat_baseline-UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,0.3,0.36
perc_beat_baseline-UMass-MechBayes,,,,,,,,,,,,,,,0.431372549,0.5098039216,0.6666666667,0.6078431373
perc_beat_baseline-UMich-RidgeTfReg,,,,,,,,,,,,,,,0.275,0.4651162791,0.3673469388,0.3673469388
perc_beat_baseline-USACE-ERDC_SEIR,,,,,,,,,,,0.3333333333,0.3137254902,0.3529411765,0.3921568627,0.2941176471,0.3333333333,0.2745098039,0.3529411765
perc_beat_baseline-USC-SI_kJalpha,,,,,,,0.6078431373,,,,0.3529411765,0.4705882353,0.3529411765,0.4901960784,0.4901960784,0.6078431373,0.568627451,0.4509803922
perc_beat_baseline-UT-Mobility,,,,,,,,,,,,,,,0.3333333333,,,0.4705882353
perc_beat_baseline-WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,0.1960784314,0.2941176471
perc_beat_baseline-YYG-ParamSearch,,,,,0.5490196078,0.6666666667,0.6666666667,0.6862745098,0.7254901961,0.4901960784,0.5882352941,0.431372549,0.5098039216,0.6274509804,0.5882352941,0.5294117647,0.5882352941,0.5098039216
perc_beat_baseline-epiforecasts-ensemble1,,,,,,,,,,,,,,,0.2708333333,0.347826087,0.152173913,0.08695652174
mean_abs_error-Auquan-SEIR,,,,,,,,,,,,,,166.627451,157.7254902,,,
mean_abs_error-Baseline,2581.231373,2020.843137,1642.170588,1512.005882,1194.213725,983.027451,1279.445098,783.1,553.254902,397.8568627,237.0098039,304.6803922,211.1313725,180.5372549,110.6019608,71.14901961,44.19215686,23.07647059
mean_abs_error-CEID-Walk,,,,,,,,,,,,,,,133.9568627,90.29215686,50.49215686,24.3627451
mean_abs_error-CMU-TimeSeries,,,,,,,,,,,,,,,92.11764706,,,
mean_abs_error-COVIDhub-baseline,,,,,,,,,,,,,,,140.0921569,90.71960784,53.28823529,24.05882353
mean_abs_error-COVIDhub-ensemble,,,,,,,,,,,,,,,64.88235294,50.21568627,33.11764706,21.19607843
mean_abs_error-CU-select,,,,,,,,,,,,,,,132.0588235,104.0392157,65.07843137,49.64705882
mean_abs_error-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,,28.62745098
mean_abs_error-Covid19Sim-Simulator,,1153.82549,1141.911765,1081.752941,808.3862745,715.3039216,727.7470588,592.2098039,385.0235294,316.8372549,260.1960784,198.545098,,,312.1745098,66.09607843,47.91176471,25.15490196
mean_abs_error-CovidAnalytics-DELPHI,,,,,,,,,,,,,205.2156863,128.8039216,124.1176471,86.54901961,57.84313725,29.09803922
mean_abs_error-DDS-NBDS,,,,,,,,,,,,,,,164.8647059,59.11176471,43.77647059,24.05882353
mean_abs_error-GT-DeepCOVID,,,,,,,,,,,,,,,,,,
mean_abs_error-GT_CHHS-COVID19,,,,,,,,,,,,,,,,,,
mean_abs_error-Geneva-DetGrowth,,,,,,,,,,,,,,,,,,34.0372549
mean_abs_error-Google_Harvard-CPF,,,,,,,,,,,,,,,,85.43921569,55.07058824,37.68235294
mean_abs_error-IBF-TimeSeries,,,,,,,,,,,,,,,,,,
mean_abs_error-IHME-CurveFit,,,,1101.837255,725.7823529,517.0333333,644.5843137,572.1254902,,383.9607843,293.7411765,243.7823529,178.3960784,,252.5666667,151.5960784,66.89607843,
mean_abs_error-IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,
mean_abs_error-IowaStateLW-STEM,,,,,,,,,,,,,,,,,,
mean_abs_error-JCB-PRM,,,,,,,,,,,,,,,81.02745098,55.77843137,37.3372549,22.95098039
mean_abs_error-JHUAPL-Bucky,,,,,,,,,,,,,,,,176.8843137,130.0764706,73.85882353
mean_abs_error-JHU_IDD-CovidSP,,,,,,,,,,,,,,367.1058824,162.0941176,97.8372549,53.4745098,28.51764706
mean_abs_error-Karlen-pypm,,,,,,,,,,,,,,217.854902,110.9960784,75.70784314,38.84509804,23.40588235
mean_abs_error-LANL-GrowthRate,,,,,,,,,,,,402.0901961,264.2627451,207.7862745,135.6803922,85.61568627,51.86470588,27.15490196
mean_abs_error-LNQ-ens1,,,,,,,,,,,,,,,68.91960784,48.02156863,36.30392157,25.55098039
mean_abs_error-MITCovAlliance-SIR,,,,,,,,,,,772.3882353,511.8254902,,500.945098,,,64.50392157,41.81568627
mean_abs_error-MIT_CritData-GBCF,,,,,,,,,,,,,,,,,49.10980392,31.49019608
mean_abs_error-MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,
mean_abs_error-NotreDame-FRED,,,,,,,,,,,,,,,,,,
mean_abs_error-NotreDame-mobility,,,,,,,,,,,,,448.5313725,237.445098,134.8313725,78.46666667,61.7372549,60.54117647
mean_abs_error-OliverWyman-Navigator,,,,,,,,,,,,,,,64.54901961,66.05098039,37.80588235,21.03921569
mean_abs_error-PSI-DRAFT,,,,,,,,,,,,,569.5490196,398.8431373,172.1666667,104.0686275,69.51960784,33.33333333
mean_abs_error-QJHong-Encounter,,,,,,,,,,,,,,,,,,
mean_abs_error-RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,,
mean_abs_error-RobertWalraven-ESG,,,,,,,,,,,,,,,186.3215686,115.4333333,83.34901961,50.14313725
mean_abs_error-STH-3PU,,,,,,,,,,,,,,,,,,
mean_abs_error-SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,131.372549,79.64705882,35.47058824,25.13529412
mean_abs_error-TTU-squider,,,,,,,,,,,,,,,,,,317.9568627
mean_abs_error-UA-EpiCovDA,,,,,,,,,,,,,,,108.3137255,144.6078431,85.05882353,41.80392157
mean_abs_error-UCLA-SuEIR,,,,,1054.190196,980.1215686,944.7117647,797.3196078,498.2215686,417.3372549,278.7392157,207.8372549,180.8470588,139.4235294,90.29803922,68.18431373,47.21764706,23.4627451
mean_abs_error-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,,,
mean_abs_error-UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,
mean_abs_error-UMass-MechBayes,,,,,,,,,,,,,,,90.94117647,63.98039216,27.94117647,22.37254902
mean_abs_error-UMich-RidgeTfReg,,,,,,,,,,,,,,,,,,
mean_abs_error-USACE-ERDC_SEIR,,,,,,,,,,,787.3098039,549.4431373,388.7372549,288.5490196,206.8215686,153.6647059,105.2058824,60.33333333
mean_abs_error-USC-SI_kJalpha,,,,,,,947.6686275,,,,444.4901961,214.5098039,183.372549,110.8823529,102.4901961,59.60784314,45.64705882,21.98039216
mean_abs_error-UT-Mobility,,,,,,,,,,,,,,,125.0882353,,,24.91176471
mean_abs_error-WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,108.3509804,77.34901961
mean_abs_error-YYG-ParamSearch,,,,,828.7117647,673.5588235,611.645098,486.6294118,302.1294118,300.3843137,234.9058824,159.2941176,129.8803922,86.19803922,66.55294118,49.50784314,35.79019608,23.89411765
mean_abs_error-epiforecasts-ensemble1,,,,,,,,,,,,,,,,,,
