,2020-04-20_2020-05-16,2020-04-27_2020-05-23,2020-05-04_2020-05-30,2020-05-11_2020-06-06,2020-05-18_2020-06-13,2020-05-25_2020-06-20,2020-06-01_2020-06-27,2020-06-08_2020-07-04,2020-06-15_2020-07-11,2020-06-22_2020-07-18,2020-06-29_2020-07-25,2020-07-06_2020-08-01,2020-07-13_2020-08-08,2020-07-20_2020-08-15,2020-07-27_2020-08-22,2020-08-03_2020-08-29,2020-08-10_2020-09-05,2020-08-17_2020-09-12,2020-08-24_2020-09-19,2020-08-31_2020-09-26,2020-09-07_2020-10-03,2020-09-14_2020-10-10,2020-09-21_2020-10-17,2020-09-28_2020-10-24,2020-10-05_2020-10-31,2020-10-12_2020-11-07,2020-10-19_2020-11-14,2020-10-26_2020-11-21,2020-11-02_2020-11-28,2020-11-09_2020-12-05,2020-11-16_2020-12-12,2020-11-23_2020-12-19,2020-11-30_2020-12-26,2020-12-07_2021-01-02,2020-12-14_2021-01-09,2020-12-21_2021-01-16,2020-12-28_2021-01-23,2021-01-04_2021-01-30,2021-01-11_2021-02-06,2021-01-18_2021-02-13,2021-01-25_2021-02-20,2021-02-01_2021-02-27,2021-02-08_2021-03-06
num_states_with_projections-Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,50,50,50,50,50,50
num_states_with_projections-NotreDame-FRED,,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,7,7,,,,,,,,
num_states_with_projections-NotreDame-mobility,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,,,,,,,
num_states_with_projections-OliverWyman-Navigator,,,,,,,,47,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-PSI-DRAFT,,,,,51,51,51,51,51,51,51,51,51,50,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-QJHong-Encounter,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
num_states_with_projections-Quantori-Multiagents,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,0,32,32,32,30,30,31,31,30,31,31,31,31,30,30,30,30,30,31,31,30,30,30,31,31,31,30,30
num_states_with_projections-RobertWalraven-ESG,,,,,,,,,,,,51,51,49,49,49,50,50,51,51,51,51,51,51,51,51,51,50,51,51,50,51,51,50,51,50,51,51,51,51,51,51,51
num_states_with_projections-STH-3PU,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,2,2,2,2,,,,,,,,,,,,,,
num_states_with_projections-SWC-TerminusCM,,,,,,40,48,49,51,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-SigSci-TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,51,38
num_states_with_projections-SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-TTU-squider,,,,,,,,,,,,,,,,,,51,,,,51,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-UA-EpiCovDA,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-UCLA-SuEIR,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
num_states_with_projections-UCSB-ACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,
num_states_with_projections-UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,,,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
num_states_with_projections-UChicago-CovidIL,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-UChicago-CovidIL_100,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-UChicago-CovidIL_10_+,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-UChicago-CovidIL_30_+,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-UChicago-CovidIL_40,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-UChicago-CovidIL_60,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-UChicago-CovidIL_80,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-UMass-MechBayes,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-UMich-RidgeTfReg,,,,,,,,,,,,0,0,35,28,30,46,39,40,43,49,49,50,50,50,50,50,50,50,50,50,50,6,6,6,50,50,50,50,50,50,50,49
num_states_with_projections-USACE-ERDC_SEIR,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,51,,51,,,51,51,51,,,,,,,,,,
num_states_with_projections-USC-SI_kJalpha,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,51,,,,,,,,,,,,,
num_states_with_projections-UT-Mobility,51,51,51,,51,51,51,51,51,51,51,51,51,51,51,51,,51,51,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,,51,,51,,
num_states_with_projections-UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
num_states_with_projections-Wadhwani_AI-BayesOpt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,44,,44,,,,,
num_states_with_projections-WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,,,0,0,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,51,51,51,51,51,51
num_states_with_projections-YYG-ParamSearch,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,,,,,,,,,,,,,,,,,
num_states_with_projections-epiforecasts-ensemble1,,,,,,,,,15,14,14,22,23,23,23,29,27,45,48,46,46,46,44,47,47,47,46,42,48,47,48,47,50,50,51,51,51,49,51,51,51,51,51
num_states_beat_baseline-AIpert-pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,19,19,20,14,17,24,28
num_states_beat_baseline-Auquan-SEIR,,,,,13,12,14,2,2,30,28,27,,,,15,19,23,19,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,17,22,24,30,25,32,38,27,39,17,22,23,33,27,15,29,34,31,41
num_states_beat_baseline-CEID-Walk,,,,,,,,,,,,,,,,,22,17,20,21,25,26,22,26,26,31,25,30,29,33,31,28,27,21,,,29,29,20,24,20,20,13
num_states_beat_baseline-CMU-TimeSeries,,,,,,,,,,,,,,34,34,30,21,31,21,31,30,21,27,25,23,39,32,30,31,38,45,38,43,22,23,31,27,32,27,15,17,27,39
num_states_beat_baseline-COVIDhub-ensemble,,28,26,30,28,27,28,33,35,34,35,41,39,33,36,31,30,34,35,31,30,35,33,39,28,40,34,40,40,45,48,44,45,36,38,38,42,31,37,23,28,40,43
num_states_beat_baseline-COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,42
num_states_beat_baseline-CU-select,18,23,19,19,22,23,15,21,21,22,15,21,26,17,12,22,22,12,15,22,16,23,19,19,26,29,34,32,33,37,40,34,24,24,29,24,9,7,11,21,23,29,36
num_states_beat_baseline-Caltech-CS156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,44,43,36,39,33,36,41,38,32,22,28,,35,36
num_states_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,,,,,21,23,20,23,23,29,29,30,27,29,28,25,30,11,29,21,25,15,,18,19,,37
num_states_beat_baseline-Covid19Sim-Simulator,,,,,,30,26,27,31,33,34,33,32,30,28,26,,7,13,28,27,25,21,26,21,25,27,38,33,32,,32,32,25,25,26,29,29,19,24,23,36,37
num_states_beat_baseline-CovidActNow-SEIR_CAN,,,,,,,18,18,22,18,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-CovidAnalytics-DELPHI,,22,20,23,21,29,32,28,27,32,26,32,29,27,27,28,24,23,21,24,18,16,22,19,12,22,9,21,20,24,24,34,31,24,26,25,22,24,21,18,23,30,36
num_states_beat_baseline-DDS-NBDS,,,,,,,,,,,,,,,16,15,10,17,18,30,17,25,20,25,17,21,29,26,18,35,25,24,13,20,14,28,26,18,17,16,7,31,19
num_states_beat_baseline-FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-GT-DeepCOVID,,,,6,14,9,11,12,11,13,24,15,21,19,21,20,16,24,20,22,22,28,24,27,24,32,26,24,30,31,30,28,38,31,35,33,33,29,29,25,26,33,34
num_states_beat_baseline-GT_CHHS-COVID19,,,,,,,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0
num_states_beat_baseline-Google_Harvard-CPF,,,,,,,,,,,,,,,,,,,,19,15,,19,28,19,33,28,41,33,44,43,39,42,30,32,27,39,30,26,17,29,33,37
num_states_beat_baseline-IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-IHME-CurveFit,13,16,23,20,22,,25,27,29,34,27,26,,19,16,23,18,,17,20,17,,19,23,,,20,26,,,,32,,18,21,20,25,,,16,23,34,41
num_states_beat_baseline-IowaStateLW-STEM,,19,16,,23,25,22,27,24,25,21,25,23,17,20,16,,17,15,23,18,21,21,25,18,19,16,19,24,28,35,37,35,21,22,22,27,28,20,20,23,13,20
num_states_beat_baseline-JCB-PRM,,,,,,,,,,,,,,,28,17,19,27,34,31,27,33,33,32,26,34,30,35,34,39,43,35,40,31,29,22,33,,,,,,
num_states_beat_baseline-JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,19,15,20,21,24,25,33,35,39,30,35,30,30,36,26,31,20,14,15,19,,22,14,24
num_states_beat_baseline-JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,,,,,,,28,,32,34,30,40,44,34,40,27,26,25,38,,27,18,20,22,28
num_states_beat_baseline-JHU_IDD-CovidSP,,,,,2,5,6,7,21,10,15,18,14,12,9,10,8,9,17,19,18,22,21,29,22,23,22,20,13,11,38,29,29,12,22,20,27,28,19,23,25,26,28
num_states_beat_baseline-JHU_UNC_GAS-StatMechPool,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,23,15,,,,,,,,,,,,,
num_states_beat_baseline-Karlen-pypm,,,,,,,,,,,,,,17,25,24,11,26,29,26,23,28,27,34,29,34,35,41,39,42,40,33,41,27,29,36,35,31,32,24,23,39,42
num_states_beat_baseline-LANL-GrowthRate,22,23,24,28,31,31,31,33,33,33,32,35,23,16,18,17,15,16,17,25,21,17,22,23,14,15,7,16,31,37,34,28,31,22,36,28,25,19,24,23,28,32,38
num_states_beat_baseline-LNQ-ens1,,,,,,,,,,,,,,32,26,28,27,21,19,24,22,19,20,33,25,29,34,36,34,40,42,39,30,32,31,38,11,24,26,26,23,41,45
num_states_beat_baseline-MITCovAlliance-SIR,,,,,,,,,,,23,17,10,19,15,22,,13,,,18,16,13,27,,,16,,,,,,,,,,,18,18,,,,
num_states_beat_baseline-MIT_CritData-GBCF,,,,,,,,,,,,,,,,,,,,,22,22,29,28,27,27,31,26,27,28,31,35,38,24,31,24,33,23,26,12,11,24,24
num_states_beat_baseline-MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,20,26,21
num_states_beat_baseline-MOBS-GLEAM_COVID,14,17,14,16,19,23,26,26,24,22,17,29,28,24,22,15,15,26,19,25,25,21,19,19,24,30,31,40,35,41,44,29,42,25,23,37,38,36,27,22,29,36,38
num_states_beat_baseline-MSRA-DeepST,,,,,,,,,,,,,,,,,,,,,,,,,,28,33,31,40,37,41,41,40,33,,,,,,,,,
num_states_beat_baseline-Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,21,22,39,35,28,11,16,28,17
num_states_beat_baseline-NotreDame-FRED,,,2,1,2,0,1,2,0,0,0,1,1,1,5,2,2,2,0,0,0,3,3,4,1,4,5,3,3,4,3,2,,2,3,,,,,,,,
num_states_beat_baseline-NotreDame-mobility,,,,,,,,,,35,18,21,24,19,16,12,11,17,18,27,23,19,23,20,23,20,20,22,21,18,21,14,24,13,13,,,,,,,,
num_states_beat_baseline-OliverWyman-Navigator,,,,,,,,30,27,30,29,36,32,33,31,20,24,33,21,26,30,29,28,31,35,33,39,41,35,42,48,38,41,34,29,31,30,37,21,21,35,38,45
num_states_beat_baseline-PSI-DRAFT,,,,,17,23,28,20,21,22,17,16,13,17,12,11,10,14,15,24,15,19,23,24,15,17,13,15,22,19,26,15,20,16,16,15,23,26,19,20,22,23,27
num_states_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-Quantori-Multiagents,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,10,6,4,8,8,13,11,9,4,8,10,13,13,11,15,6,25,13,10,8,6,6,5,6,12,16,16
num_states_beat_baseline-RobertWalraven-ESG,,,,,,,,,,,,15,11,8,13,15,12,11,12,18,12,6,9,7,6,2,14,10,6,27,29,22,17,15,18,20,9,14,31,25,33,41,45
num_states_beat_baseline-STH-3PU,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,1,0,0,0,0,,,,,,,,,,,,,,
num_states_beat_baseline-SWC-TerminusCM,,,,,,11,19,18,22,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-SigSci-TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,25
num_states_beat_baseline-SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,,20,27,27,32,30,31,24,37,37,41,38,43,41,33,37,34,38,39,23,32,31,24,28,39,45
num_states_beat_baseline-TTU-squider,,,,,,,,,,,,,,,,,,3,,,,10,,14,10,16,15,25,15,20,24,23,24,21,22,18,22,23,14,12,10,21,21
num_states_beat_baseline-UA-EpiCovDA,,,,,,16,22,22,25,33,32,25,17,24,28,23,17,32,21,24,19,26,18,24,25,27,29,33,30,37,39,33,33,26,30,19,6,24,28,20,22,35,36
num_states_beat_baseline-UCLA-SuEIR,,,24,26,29,35,35,28,27,26,23,26,25,22,21,27,17,21,24,24,25,23,22,21,11,19,13,12,12,13,12,29,19,19,23,23,15,25,24,27,22,27,31
num_states_beat_baseline-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,,,,,,,
num_states_beat_baseline-UCSB-ACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,31,25,34,28,35,17,23,23,34,24,12,6,23,,
num_states_beat_baseline-UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,,,,23,17,17,22,22,29,29,37,35,42,44,29,43,23,20,30,26,32,21,19,24,27,34
num_states_beat_baseline-UChicago-CovidIL,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-UChicago-CovidIL_100,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-UChicago-CovidIL_10_+,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-UChicago-CovidIL_30_+,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-UChicago-CovidIL_40,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-UChicago-CovidIL_60,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-UChicago-CovidIL_80,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-UMass-MechBayes,,15,20,25,32,34,31,35,31,31,34,38,35,34,31,26,23,25,22,26,27,30,29,33,30,34,36,34,37,44,43,34,34,32,33,39,18,31,34,30,33,41,41
num_states_beat_baseline-UMich-RidgeTfReg,,,,,,,,,,,,,,8,11,11,12,9,11,19,16,14,17,20,18,24,23,24,21,19,22,15,2,5,1,17,22,16,12,13,13,19,34
num_states_beat_baseline-USACE-ERDC_SEIR,,,,,24,28,27,25,27,30,23,34,31,12,15,15,17,16,15,20,17,16,18,20,,17,,22,,,27,15,21,,,,,,,,,,
num_states_beat_baseline-USC-SI_kJalpha,,,,,,,,,,,30,30,22,29,22,25,21,28,25,30,27,27,26,31,33,34,38,41,33,44,41,33,40,29,34,36,30,17,24,13,26,41,40
num_states_beat_baseline-USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,40,,,,,,,,,,,,,
num_states_beat_baseline-UT-Mobility,14,9,16,,22,20,30,29,22,29,25,27,25,24,17,13,,21,17,,,15,14,12,19,19,22,20,17,23,20,17,18,14,25,24,,,28,,25,,
num_states_beat_baseline-UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-Wadhwani_AI-BayesOpt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,19,12,,24,,,,,
num_states_beat_baseline-WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,,,,,11,9,16,11,9,8,5,9,4,5,4,0,1,3,9,4,,8,11,15,16,29,33
num_states_beat_baseline-YYG-ParamSearch,19,15,26,34,26,22,32,28,30,33,37,35,42,34,33,22,28,32,30,26,28,30,26,34,32,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-epiforecasts-ensemble1,,,,,,,,,5,4,10,14,12,16,9,11,10,15,13,15,10,12,8,10,9,18,24,16,26,33,30,29,30,31,32,35,33,30,25,21,20,30,26
perc_beat_baseline-AIpert-pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4117647059,0.3725490196,0.3725490196,0.3921568627,0.2745098039,0.3333333333,0.4705882353,0.5490196078
perc_beat_baseline-Auquan-SEIR,,,,,0.2549019608,0.2352941176,0.2745098039,0.03921568627,0.03921568627,0.5882352941,0.5490196078,0.5294117647,,,,0.2941176471,0.3725490196,0.4509803922,0.3725490196,,,,,,,,,,,,,,,,,,,,,,,,
