,2020-05-25_2020-10-03,2020-06-01_2020-10-03,2020-06-08_2020-10-03,2020-06-15_2020-10-03,2020-06-22_2020-10-03,2020-06-29_2020-10-03,2020-07-06_2020-10-03,2020-07-13_2020-10-03,2020-07-20_2020-10-03,2020-07-27_2020-10-03,2020-08-03_2020-10-03,2020-08-10_2020-10-03,2020-08-17_2020-10-03,2020-08-24_2020-10-03,2020-08-31_2020-10-03,2020-09-07_2020-10-03,2020-09-14_2020-10-03,2020-09-21_2020-10-03,2020-09-28_2020-10-03
num_states_with_projections-YYG-ParamSearch,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-epiforecasts-ensemble1,,,,,,,,,,,,,,,,46,46,44,47
num_states_beat_baseline-Auquan-SEIR,,,,,,,,,,,,,23,22,,,,,
num_states_beat_baseline-CEID-Walk,,,,,,,,,,,,,,,,24,28,21,27
num_states_beat_baseline-CMU-TimeSeries,,,,,,,,,,,,,,,,28,22,24,29
num_states_beat_baseline-COVIDhub-ensemble,,,,,,,,,,,,,,,,33,28,31,31
num_states_beat_baseline-CU-select,,,,,,,,,,,,,,,,16,15,15,16
num_states_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,21,19,23,21
num_states_beat_baseline-Covid19Sim-Simulator,28,27,26,30,29,30,34,30,26,24,28,,11,17,32,29,23,20,10
num_states_beat_baseline-CovidAnalytics-DELPHI,,,,,,,,,,,,,23,23,23,17,15,23,19
num_states_beat_baseline-DDS-NBDS,,,,,,,,,,,,,,,,20,26,21,24
num_states_beat_baseline-GT-DeepCOVID,,,,,,,,,,,,,,,,24,24,22,20
num_states_beat_baseline-GT_CHHS-COVID19,,,,,,,,,,,,,,,,0,0,,
num_states_beat_baseline-Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,21
num_states_beat_baseline-Google_Harvard-CPF,,,,,,,,,,,,,,,,15,20,14,23
num_states_beat_baseline-IBF-TimeSeries,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-IHME-CurveFit,,,29,30,30,23,27,,15,13,24,14,,19,19,16,,13,13
num_states_beat_baseline-IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,17,22
num_states_beat_baseline-IowaStateLW-STEM,,22,19,21,21,23,25,26,14,19,22,,22,18,24,21,20,18,18
num_states_beat_baseline-JCB-PRM,,,,,,,,,,,,,,,,28,31,35,33
num_states_beat_baseline-JHUAPL-Bucky,,,,,,,,,,,,,,,,15,14,15,13
num_states_beat_baseline-JHU_IDD-CovidSP,,,,,,,,,,,,,,,21,21,16,16,23
num_states_beat_baseline-Karlen-pypm,,,,,,,,,,,,,,,29,26,23,34,28
num_states_beat_baseline-LANL-GrowthRate,,,,,,,,,,,,,15,13,26,22,17,24,27
num_states_beat_baseline-LNQ-ens1,,,,,,,,,,,,,,,,24,19,27,27
num_states_beat_baseline-MITCovAlliance-SIR,,,,,,,,,,,,,12,,,19,21,15,21
num_states_beat_baseline-MIT_CritData-GBCF,,,,,,,,,,,,,,,,21,16,25,16
num_states_beat_baseline-MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,25,16,20,21
num_states_beat_baseline-NotreDame-FRED,,,,,,,,,,,,,,0,0,0,3,2,3
num_states_beat_baseline-NotreDame-mobility,,,,,,,,,,,,,,16,26,24,14,25,17
num_states_beat_baseline-OliverWyman-Navigator,,,,,,,,,,,,,,,,31,26,25,30
num_states_beat_baseline-PSI-DRAFT,,,,,,,,,,,,,,16,24,16,20,25,21
num_states_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,8,13,11,12
num_states_beat_baseline-RobertWalraven-ESG,,,,,,,,,,,,,12,11,16,14,4,12,9
num_states_beat_baseline-STH-3PU,,,,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,
num_states_beat_baseline-SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,29,29,29,26
num_states_beat_baseline-TTU-squider,,,,,,,,,,,,,,,,,8,,5
num_states_beat_baseline-UA-EpiCovDA,,,,,,,,,,,,,,,,20,23,18,24
num_states_beat_baseline-UCLA-SuEIR,,,,,,14,19,26,19,20,27,19,20,23,22,25,21,19,26
num_states_beat_baseline-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,0,0,0,0,0
num_states_beat_baseline-UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,24,20,16,22
num_states_beat_baseline-UMass-MechBayes,,,,,,,,,,,,,,,,30,27,31,31
num_states_beat_baseline-UMich-RidgeTfReg,,,,,,,,,,,,,,,,16,13,17,19
num_states_beat_baseline-USACE-ERDC_SEIR,,,,,,,,,,,,18,21,18,20,17,16,20,18
num_states_beat_baseline-USC-SI_kJalpha,,,,,,26,,,,,,16,23,25,30,28,25,27,26
num_states_beat_baseline-UT-Mobility,,,,,,,,,,,,,,,,,17,17,16
num_states_beat_baseline-WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,12,11,14,10
num_states_beat_baseline-YYG-ParamSearch,,,,,,,,32,26,28,27,27,28,26,26,30,25,27,31
num_states_beat_baseline-epiforecasts-ensemble1,,,,,,,,,,,,,,,,10,13,10,11
perc_beat_baseline-Auquan-SEIR,,,,,,,,,,,,,0.4509803922,0.431372549,,,,,
perc_beat_baseline-CEID-Walk,,,,,,,,,,,,,,,,0.4705882353,0.5490196078,0.4117647059,0.5294117647
perc_beat_baseline-CMU-TimeSeries,,,,,,,,,,,,,,,,0.5714285714,0.4489795918,0.4897959184,0.5918367347
perc_beat_baseline-COVIDhub-ensemble,,,,,,,,,,,,,,,,0.6470588235,0.5490196078,0.6078431373,0.6078431373
perc_beat_baseline-CU-select,,,,,,,,,,,,,,,,0.3137254902,0.2941176471,0.2941176471,0.3137254902
perc_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,0.42,0.3725490196,0.4509803922,0.4117647059
perc_beat_baseline-Covid19Sim-Simulator,0.5490196078,0.5294117647,0.5098039216,0.5882352941,0.568627451,0.5882352941,0.6666666667,0.5882352941,0.5098039216,0.4705882353,0.5490196078,,0.6470588235,0.3333333333,0.6274509804,0.568627451,0.4509803922,0.3921568627,0.1960784314
perc_beat_baseline-CovidAnalytics-DELPHI,,,,,,,,,,,,,0.4509803922,0.4509803922,0.4509803922,0.3333333333,0.2941176471,0.4509803922,0.3725490196
perc_beat_baseline-DDS-NBDS,,,,,,,,,,,,,,,,0.3921568627,0.5098039216,0.4117647059,0.4705882353
perc_beat_baseline-GT-DeepCOVID,,,,,,,,,,,,,,,,0.5,0.4897959184,0.5,0.4444444444
perc_beat_baseline-GT_CHHS-COVID19,,,,,,,,,,,,,,,,0,0,,
perc_beat_baseline-Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,0.4117647059
perc_beat_baseline-Google_Harvard-CPF,,,,,,,,,,,,,,,,0.2941176471,0.3921568627,0.2745098039,0.4509803922
perc_beat_baseline-IBF-TimeSeries,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-IHME-CurveFit,,,0.568627451,0.5882352941,0.5882352941,0.4509803922,0.5294117647,,0.2941176471,0.2549019608,0.4705882353,0.2745098039,,0.3725490196,0.3725490196,0.3137254902,,0.2549019608,0.2549019608
perc_beat_baseline-IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,0.3469387755,0.4489795918
perc_beat_baseline-IowaStateLW-STEM,,0.4489795918,0.387755102,0.4285714286,0.4285714286,0.4693877551,0.5102040816,0.5306122449,0.2857142857,0.387755102,0.4489795918,,0.4489795918,0.3673469388,0.4897959184,0.4285714286,0.4081632653,0.3673469388,0.3673469388
perc_beat_baseline-JCB-PRM,,,,,,,,,,,,,,,,0.5490196078,0.6078431373,0.6862745098,0.6470588235
perc_beat_baseline-JHUAPL-Bucky,,,,,,,,,,,,,,,,0.2941176471,0.2745098039,0.2941176471,0.2549019608
perc_beat_baseline-JHU_IDD-CovidSP,,,,,,,,,,,,,,,0.4117647059,0.4117647059,0.3137254902,0.3137254902,0.4509803922
perc_beat_baseline-Karlen-pypm,,,,,,,,,,,,,,,0.568627451,0.5098039216,0.4509803922,0.6666666667,0.5490196078
perc_beat_baseline-LANL-GrowthRate,,,,,,,,,,,,,0.2941176471,0.2549019608,0.5098039216,0.431372549,0.3333333333,0.4705882353,0.5294117647
perc_beat_baseline-LNQ-ens1,,,,,,,,,,,,,,,,0.4705882353,0.3725490196,0.5294117647,0.5294117647
perc_beat_baseline-MITCovAlliance-SIR,,,,,,,,,,,,,0.2352941176,,,0.3725490196,0.4117647059,0.2941176471,0.4117647059
perc_beat_baseline-MIT_CritData-GBCF,,,,,,,,,,,,,,,,0.4117647059,0.3137254902,0.4901960784,0.3137254902
perc_beat_baseline-MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,0.5,0.32,0.4,0.42
perc_beat_baseline-NotreDame-FRED,,,,,,,,,,,,,,0,0,0,0.4285714286,0.2857142857,0.4285714286
perc_beat_baseline-NotreDame-mobility,,,,,,,,,,,,,,0.3137254902,0.5098039216,0.4705882353,0.2745098039,0.4901960784,0.3333333333
perc_beat_baseline-OliverWyman-Navigator,,,,,,,,,,,,,,,,0.6078431373,0.5098039216,0.4901960784,0.5882352941
perc_beat_baseline-PSI-DRAFT,,,,,,,,,,,,,,0.3137254902,0.4705882353,0.3137254902,0.3921568627,0.4901960784,0.4117647059
perc_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,0.2666666667,0.4193548387,0.3548387097,0.4
perc_beat_baseline-RobertWalraven-ESG,,,,,,,,,,,,,0.24,0.2156862745,0.3137254902,0.2745098039,0.07843137255,0.2352941176,0.1764705882
perc_beat_baseline-STH-3PU,,,,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,
perc_beat_baseline-SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,0.568627451,0.568627451,0.568627451,0.5098039216
perc_beat_baseline-TTU-squider,,,,,,,,,,,,,,,,,0.1568627451,,0.09803921569
perc_beat_baseline-UA-EpiCovDA,,,,,,,,,,,,,,,,0.3921568627,0.4509803922,0.3529411765,0.4705882353
perc_beat_baseline-UCLA-SuEIR,,,,,,0.2745098039,0.3725490196,0.5098039216,0.3725490196,0.3921568627,0.5294117647,0.3725490196,0.3921568627,0.4509803922,0.431372549,0.4901960784,0.4117647059,0.3725490196,0.5098039216
perc_beat_baseline-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,0,0,0,0,0
perc_beat_baseline-UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,0.48,0.4,0.32,0.44
perc_beat_baseline-UMass-MechBayes,,,,,,,,,,,,,,,,0.5882352941,0.5294117647,0.6078431373,0.6078431373
perc_beat_baseline-UMich-RidgeTfReg,,,,,,,,,,,,,,,,0.3265306122,0.2653061224,0.34,0.38
perc_beat_baseline-USACE-ERDC_SEIR,,,,,,,,,,,,0.3529411765,0.4117647059,0.3529411765,0.3921568627,0.3333333333,0.3137254902,0.3921568627,0.3529411765
perc_beat_baseline-USC-SI_kJalpha,,,,,,0.5098039216,,,,,,0.3137254902,0.4509803922,0.4901960784,0.5882352941,0.5490196078,0.4901960784,0.5294117647,0.5098039216
perc_beat_baseline-UT-Mobility,,,,,,,,,,,,,,,,,0.3333333333,0.3333333333,0.3137254902
perc_beat_baseline-WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,0.2352941176,0.2156862745,0.2745098039,0.1960784314
perc_beat_baseline-YYG-ParamSearch,,,,,,,,0.6274509804,0.5098039216,0.5490196078,0.5294117647,0.5294117647,0.5490196078,0.5098039216,0.5098039216,0.5882352941,0.4901960784,0.5294117647,0.6078431373
perc_beat_baseline-epiforecasts-ensemble1,,,,,,,,,,,,,,,,0.2173913043,0.2826086957,0.2272727273,0.2340425532
mean_abs_error-Auquan-SEIR,,,,,,,,,,,,,207.4705882,178.5490196,,,,,
mean_abs_error-Baseline,2248.152941,1819.154902,1690.95098,1333.601961,1094.631373,1452.123529,876.9196078,622.5882353,450.8843137,274.8019608,446.272549,331.5901961,303.4352941,210.3039216,150.1960784,101.9529412,59.65294118,37.25882353,17.59019608
mean_abs_error-CEID-Walk,,,,,,,,,,,,,,,,108.5686275,63.31372549,44.40392157,23.1627451
mean_abs_error-CMU-TimeSeries,,,,,,,,,,,,,,,,,,,
mean_abs_error-COVIDhub-baseline,,,,,,,,,,,,,,,,117.8039216,63.59019608,45.32156863,21.82352941
mean_abs_error-COVIDhub-ensemble,,,,,,,,,,,,,,,,66.31372549,54.52941176,27.94117647,14.92156863
mean_abs_error-CU-select,,,,,,,,,,,,,,,,121.372549,110.6078431,73.54901961,43.25490196
mean_abs_error-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,92.84313725,64.74509804,27.82352941
mean_abs_error-Covid19Sim-Simulator,1281.490196,1263.454902,1198.519608,915.2235294,813.6823529,978.4352941,809.2921569,610.4843137,443.6823529,358.6313725,260.2313725,,,386.4470588,106.7588235,112.4294118,70.99215686,64.79607843,47.98627451
mean_abs_error-CovidAnalytics-DELPHI,,,,,,,,,,,,,217.1568627,204.1372549,158.9411765,121.9803922,86.09803922,50.62745098,24.2745098
mean_abs_error-DDS-NBDS,,,,,,,,,,,,,,,,101.2686275,71.96862745,35.9,22.29019608
mean_abs_error-GT-DeepCOVID,,,,,,,,,,,,,,,,,,,
mean_abs_error-GT_CHHS-COVID19,,,,,,,,,,,,,,,,,,,
mean_abs_error-Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,22.15294118
mean_abs_error-Google_Harvard-CPF,,,,,,,,,,,,,,,,138.2843137,97.83137255,96.65098039,26.57843137
mean_abs_error-IBF-TimeSeries,,,,,,,,,,,,,,,,,,,
mean_abs_error-IHME-CurveFit,,,1367.119608,903.8431373,603.1431373,701.5764706,623.4254902,,460.9215686,373.8411765,340.5647059,292.3372549,,386.872549,293.2901961,164.8392157,,72.40588235,52.24705882
mean_abs_error-IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,
mean_abs_error-IowaStateLW-STEM,,,,,,,,,,,,,,,,,,,
mean_abs_error-JCB-PRM,,,,,,,,,,,,,,,,71.86078431,60.68823529,30.85882353,15.31960784
mean_abs_error-JHUAPL-Bucky,,,,,,,,,,,,,,,,243.0372549,169.9235294,99.16470588,56.63921569
mean_abs_error-JHU_IDD-CovidSP,,,,,,,,,,,,,,,184.8980392,102.5784314,169.6215686,257.2470588,14.91176471
mean_abs_error-Karlen-pypm,,,,,,,,,,,,,,,130.045098,89.4372549,64.85294118,30.21176471,14.61176471
mean_abs_error-LANL-GrowthRate,,,,,,,,,,,,,318.3156863,251.5980392,175.654902,127.1392157,86.96666667,42.57843137,19.07843137
mean_abs_error-LNQ-ens1,,,,,,,,,,,,,,,,67.76078431,73.69215686,30.41176471,15.10784314
mean_abs_error-MITCovAlliance-SIR,,,,,,,,,,,,,633.2098039,,,153.5647059,134.9784314,92.28431373,25.98627451
mean_abs_error-MIT_CritData-GBCF,,,,,,,,,,,,,,,,95.98039216,106.6666667,33.84313725,24.92156863
mean_abs_error-MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,,
mean_abs_error-NotreDame-FRED,,,,,,,,,,,,,,,,,,,
mean_abs_error-NotreDame-mobility,,,,,,,,,,,,,,274.9568627,141.4411765,134.0117647,133.3313725,66.06666667,30.1745098
mean_abs_error-OliverWyman-Navigator,,,,,,,,,,,,,,,,68.35490196,54.23529412,35.95686275,22.80588235
mean_abs_error-PSI-DRAFT,,,,,,,,,,,,,,300.0392157,217.127451,184.3627451,96.98039216,46.94117647,22.51960784
mean_abs_error-QJHong-Encounter,,,,,,,,,,,,,,,,,,,
mean_abs_error-RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,,,
mean_abs_error-RobertWalraven-ESG,,,,,,,,,,,,,,290.0529412,212.9882353,195.945098,162.5960784,104.1941176,44.70196078
mean_abs_error-STH-3PU,,,,,,,,,,,,,,,,,,,
mean_abs_error-SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,73.03921569,53.88235294,29.17647059,24.84313725
mean_abs_error-TTU-squider,,,,,,,,,,,,,,,,,531.5392157,,394.2960784
mean_abs_error-UA-EpiCovDA,,,,,,,,,,,,,,,,181.9607843,114.9607843,41.21568627,20.92156863
mean_abs_error-UCLA-SuEIR,,,,,,1102.133333,935.1372549,577.1470588,510.9470588,339.4509804,260.9215686,276.6,209.8823529,153.3352941,120.1882353,89.49019608,56.10784314,39.87843137,20.11764706
mean_abs_error-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,,,,
mean_abs_error-UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,,
mean_abs_error-UMass-MechBayes,,,,,,,,,,,,,,,,67.58823529,60.84313725,31.76470588,16.70588235
mean_abs_error-UMich-RidgeTfReg,,,,,,,,,,,,,,,,,,,
mean_abs_error-USACE-ERDC_SEIR,,,,,,,,,,,,531.8843137,420.8901961,306.6411765,273.2803922,214.2823529,163.8117647,111.9039216,58.12156863
mean_abs_error-USC-SI_kJalpha,,,,,,1037.635294,,,,,,284.3921569,186,185.1960784,124.7843137,94.15686275,58.94117647,34.88235294,23.94117647
mean_abs_error-UT-Mobility,,,,,,,,,,,,,,,,,89.59803922,53.19607843,43.5
mean_abs_error-WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,202.5294118,154.4039216,107.3803922,73.98823529
mean_abs_error-YYG-ParamSearch,,,,,,,,365.1666667,356.7411765,288.3411765,190.8352941,165.5764706,122.0647059,116.3666667,94.23333333,80.63529412,67.78235294,38.02156863,16.34901961
mean_abs_error-epiforecasts-ensemble1,,,,,,,,,,,,,,,,,,,
