,2020-04-20_2020-07-25,2020-04-27_2020-07-25,2020-05-04_2020-07-25,2020-05-11_2020-07-25,2020-05-18_2020-07-25,2020-05-25_2020-07-25,2020-06-01_2020-07-25,2020-06-08_2020-07-25,2020-06-15_2020-07-25,2020-06-22_2020-07-25,2020-06-29_2020-07-25,2020-07-06_2020-07-25,2020-07-13_2020-07-25,2020-07-20_2020-07-25
num_states_with_projections-UCLA-SuEIR,,,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-UMass-MechBayes,,,,,,,,,,,51,51,51,51
num_states_with_projections-UMich-RidgeTfReg,,,,,,,,,,,,0,0,35
num_states_with_projections-USACE-ERDC_SEIR,,,,,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-USC-SI_kJalpha,,,,,,,,,,,51,51,51,51
num_states_with_projections-UT-Mobility,,,,,,,,,,,51,51,51,51
num_states_with_projections-YYG-ParamSearch,,,,,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-epiforecasts-ensemble1,,,,,,,,,,,14,22,23,23
num_states_beat_baseline-Auquan-SEIR,,,,,,,,,,,28,33,,
num_states_beat_baseline-CMU-TimeSeries,,,,,,,,,,,,,,30
num_states_beat_baseline-COVIDhub-ensemble,,,,,,,,,,,35,38,33,34
num_states_beat_baseline-CU-select,,,,,,,,,,,15,20,27,23
num_states_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,,,
num_states_beat_baseline-Covid19Sim-Simulator,,,,,,32,31,27,32,33,34,30,23,15
num_states_beat_baseline-CovidActNow-SEIR_CAN,,,,,,,,,,,,15,,
num_states_beat_baseline-CovidAnalytics-DELPHI,,,,,,,,,,32,26,23,25,29
num_states_beat_baseline-GT-DeepCOVID,,,,,,,,,,,24,15,20,23
num_states_beat_baseline-GT_CHHS-COVID19,,,,,,,,,,,0,0,1,1
num_states_beat_baseline-Geneva-DetGrowth,,,,,,,,,,,,,,29
num_states_beat_baseline-IHME-CurveFit,17,19,24,30,28,,29,32,33,36,27,26,,13
num_states_beat_baseline-IowaStateLW-STEM,,23,26,,24,24,24,24,28,25,21,25,22,11
num_states_beat_baseline-JHU_IDD-CovidSP,,,,,,,,,,,15,18,18,20
num_states_beat_baseline-Karlen-pypm,,,,,,,,,,,,,,24
num_states_beat_baseline-LANL-GrowthRate,,,,,,,,36,34,35,32,34,21,23
num_states_beat_baseline-LNQ-ens1,,,,,,,,,,,,,,36
num_states_beat_baseline-MITCovAlliance-SIR,,,,,,,,,,,23,16,7,15
num_states_beat_baseline-MOBS-GLEAM_COVID,,,,,,,,,,,17,26,25,29
num_states_beat_baseline-NotreDame-FRED,,,,,,,,,0,0,0,0,1,1
num_states_beat_baseline-NotreDame-mobility,,,,,,,,,,34,18,25,25,14
num_states_beat_baseline-OliverWyman-Navigator,,,,,,,,,,,29,38,30,32
num_states_beat_baseline-PSI-DRAFT,,,,,,,,,20,19,17,16,15,22
num_states_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,
num_states_beat_baseline-RobertWalraven-ESG,,,,,,,,,,,,17,11,1
num_states_beat_baseline-STH-3PU,,,,,,,,,1,1,1,1,1,1
num_states_beat_baseline-SWC-TerminusCM,,,,,,,,,22,,22,,,
num_states_beat_baseline-UA-EpiCovDA,,,,,,,,,,,32,27,20,30
num_states_beat_baseline-UCLA-SuEIR,,,24,31,30,32,33,29,27,27,23,28,27,32
num_states_beat_baseline-UMass-MechBayes,,,,,,,,,,,34,37,37,38
num_states_beat_baseline-UMich-RidgeTfReg,,,,,,,,,,,,,,11
num_states_beat_baseline-USACE-ERDC_SEIR,,,,,26,29,29,30,32,33,23,26,25,22
num_states_beat_baseline-USC-SI_kJalpha,,,,,,,,,,,30,32,18,31
num_states_beat_baseline-UT-Mobility,,,,,,,,,,,25,26,28,28
num_states_beat_baseline-YYG-ParamSearch,,,,,26,27,29,33,31,35,37,36,41,36
num_states_beat_baseline-epiforecasts-ensemble1,,,,,,,,,,,10,13,7,1
perc_beat_baseline-Auquan-SEIR,,,,,,,,,,,0.5490196078,0.6470588235,,
perc_beat_baseline-CMU-TimeSeries,,,,,,,,,,,,,,0.5882352941
perc_beat_baseline-COVIDhub-ensemble,,,,,,,,,,,0.6862745098,0.7450980392,0.6470588235,0.6666666667
perc_beat_baseline-CU-select,,,,,,,,,,,0.2941176471,0.3921568627,0.5294117647,0.4509803922
perc_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,,,
perc_beat_baseline-Covid19Sim-Simulator,,,,,,0.6274509804,0.6078431373,0.5294117647,0.6274509804,0.6470588235,0.6666666667,0.5882352941,0.4509803922,0.2941176471
perc_beat_baseline-CovidActNow-SEIR_CAN,,,,,,,,,,,,0.2941176471,,
perc_beat_baseline-CovidAnalytics-DELPHI,,,,,,,,,,0.6274509804,0.5098039216,0.4509803922,0.4901960784,0.568627451
perc_beat_baseline-GT-DeepCOVID,,,,,,,,,,,0.6,0.3658536585,0.4347826087,0.5111111111
perc_beat_baseline-GT_CHHS-COVID19,,,,,,,,,,,0,0,0.5,0.5
perc_beat_baseline-Geneva-DetGrowth,,,,,,,,,,,,,,0.568627451
perc_beat_baseline-IHME-CurveFit,0.3333333333,0.387755102,0.4705882353,0.5882352941,0.5490196078,,0.568627451,0.6274509804,0.6470588235,0.7058823529,0.5294117647,0.5098039216,,0.2549019608
perc_beat_baseline-IowaStateLW-STEM,,0.4693877551,0.5306122449,,0.4897959184,0.4897959184,0.4897959184,0.4897959184,0.5714285714,0.5102040816,0.4285714286,0.5102040816,0.4489795918,0.2244897959
perc_beat_baseline-JHU_IDD-CovidSP,,,,,,,,,,,0.2941176471,0.3529411765,0.3529411765,0.3921568627
perc_beat_baseline-Karlen-pypm,,,,,,,,,,,,,,0.4705882353
perc_beat_baseline-LANL-GrowthRate,,,,,,,,0.7058823529,0.6666666667,0.6862745098,0.6274509804,0.6666666667,0.4117647059,0.4509803922
perc_beat_baseline-LNQ-ens1,,,,,,,,,,,,,,0.7058823529
perc_beat_baseline-MITCovAlliance-SIR,,,,,,,,,,,0.4509803922,0.3137254902,0.137254902,0.2941176471
perc_beat_baseline-MOBS-GLEAM_COVID,,,,,,,,,,,0.34,0.52,0.5,0.58
perc_beat_baseline-NotreDame-FRED,,,,,,,,,0,0,0,0,0.1428571429,0.1428571429
perc_beat_baseline-NotreDame-mobility,,,,,,,,,,0.6666666667,0.3529411765,0.4901960784,0.4901960784,0.2745098039
perc_beat_baseline-OliverWyman-Navigator,,,,,,,,,,,0.568627451,0.7450980392,0.5882352941,0.6274509804
perc_beat_baseline-PSI-DRAFT,,,,,,,,,0.3921568627,0.3725490196,0.3333333333,0.3137254902,0.2941176471,0.44
perc_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,
perc_beat_baseline-RobertWalraven-ESG,,,,,,,,,,,,0.3333333333,0.2156862745,0.02040816327
perc_beat_baseline-STH-3PU,,,,,,,,,1,1,1,1,1,1
perc_beat_baseline-SWC-TerminusCM,,,,,,,,,0.431372549,,0.4583333333,,,
perc_beat_baseline-UA-EpiCovDA,,,,,,,,,,,0.6274509804,0.5294117647,0.3921568627,0.5882352941
perc_beat_baseline-UCLA-SuEIR,,,0.4705882353,0.6078431373,0.5882352941,0.6274509804,0.6470588235,0.568627451,0.5294117647,0.5294117647,0.4509803922,0.5490196078,0.5294117647,0.6274509804
perc_beat_baseline-UMass-MechBayes,,,,,,,,,,,0.6666666667,0.7254901961,0.7254901961,0.7450980392
perc_beat_baseline-UMich-RidgeTfReg,,,,,,,,,,,,,,0.3142857143
perc_beat_baseline-USACE-ERDC_SEIR,,,,,0.5098039216,0.568627451,0.568627451,0.5882352941,0.6274509804,0.6470588235,0.4509803922,0.5098039216,0.4901960784,0.431372549
perc_beat_baseline-USC-SI_kJalpha,,,,,,,,,,,0.5882352941,0.6274509804,0.3529411765,0.6078431373
perc_beat_baseline-UT-Mobility,,,,,,,,,,,0.4901960784,0.5098039216,0.5490196078,0.5490196078
perc_beat_baseline-YYG-ParamSearch,,,,,0.5098039216,0.5294117647,0.568627451,0.6470588235,0.6078431373,0.6862745098,0.7254901961,0.7058823529,0.8039215686,0.7058823529
perc_beat_baseline-epiforecasts-ensemble1,,,,,,,,,,,0.7142857143,0.5909090909,0.3043478261,0.04347826087
mean_abs_error-Auquan-SEIR,,,,,,,,,,,213.3921569,198.8431373,,
mean_abs_error-Baseline,2356.105882,2075.819608,1741.468627,1465.719608,1104.713725,798.1019608,596.7196078,499.8803922,359.9941176,251.8039216,327.5980392,163.7980392,86.88235294,35.42941176
mean_abs_error-CMU-TimeSeries,,,,,,,,,,,,,,30.17647059
mean_abs_error-COVIDhub-baseline,,,,,,,,,,,348.0137255,166.5254902,94.31372549,31.78431373
mean_abs_error-COVIDhub-ensemble,,,,,,,,,,,103.4196078,106.5901961,68.17647059,27.78431373
mean_abs_error-CU-select,,,,,,,,,,,705.4901961,186.7254902,69.82352941,34.49019608
mean_abs_error-Columbia_UNC-SurvCon,,,,,,,,,,,,,,
mean_abs_error-Covid19Sim-Simulator,,,,,,437.4098039,433.9490196,383.4490196,217.0686275,157.8019608,177.7470588,159.445098,81.34901961,70.25490196
mean_abs_error-CovidActNow-SEIR_CAN,,,,,,,,,,,,409.7882353,,
mean_abs_error-CovidAnalytics-DELPHI,,,,,,,,,,216.372549,184.1568627,186.9607843,96.68627451,40.1372549
mean_abs_error-GT-DeepCOVID,,,,,,,,,,,,,,
mean_abs_error-GT_CHHS-COVID19,,,,,,,,,,,,,,
mean_abs_error-Geneva-DetGrowth,,,,,,,,,,,,,,24.08431373
mean_abs_error-IHME-CurveFit,1565.958824,,646.2568627,423.2490196,414.5588235,,478.1137255,276.0215686,206.2078431,141.6666667,142.0686275,136.5352941,,77.69803922
mean_abs_error-IowaStateLW-STEM,,,,,,,,,,,,,,
mean_abs_error-JHU_IDD-CovidSP,,,,,,,,,,,267.3196078,171.3901961,91.89607843,55.05490196
mean_abs_error-Karlen-pypm,,,,,,,,,,,,,,63.9627451
mean_abs_error-LANL-GrowthRate,,,,,,,,286.5764706,192.5117647,172.4921569,164.3215686,141.0156863,90.26666667,45.55490196
mean_abs_error-LNQ-ens1,,,,,,,,,,,,,,20.89607843
mean_abs_error-MITCovAlliance-SIR,,,,,,,,,,,307.2627451,385.1588235,381.0058824,210.8372549
mean_abs_error-MOBS-GLEAM_COVID,,,,,,,,,,,,,,
mean_abs_error-NotreDame-FRED,,,,,,,,,,,,,,
mean_abs_error-NotreDame-mobility,,,,,,,,,,315.9176471,445.027451,178.1588235,95.59411765,59.87254902
mean_abs_error-OliverWyman-Navigator,,,,,,,,,,,165.7431373,112.8196078,75.31568627,25.06666667
mean_abs_error-PSI-DRAFT,,,,,,,,,431.3039216,355.6862745,275.9705882,231.254902,161.1568627,
mean_abs_error-QJHong-Encounter,,,,,,,,,,,,,,
mean_abs_error-RobertWalraven-ESG,,,,,,,,,,,,371.8215686,349.8431373,
mean_abs_error-STH-3PU,,,,,,,,,,,,,,
mean_abs_error-SWC-TerminusCM,,,,,,,,,456.254902,,,,,
mean_abs_error-UA-EpiCovDA,,,,,,,,,,,260.0980392,169.9607843,91.19607843,26.84313725
mean_abs_error-UCLA-SuEIR,,,727.4098039,614.7686275,407.8019608,373.3803922,318.6117647,328.8784314,251.2215686,209.9196078,196.9686275,138.5588235,75.9254902,35.11568627
mean_abs_error-UMass-MechBayes,,,,,,,,,,,196.5686275,110.6666667,51.05882353,26.66666667
mean_abs_error-UMich-RidgeTfReg,,,,,,,,,,,,,,
mean_abs_error-USACE-ERDC_SEIR,,,,,603.6705882,502.954902,511.3411765,384.627451,200.0764706,185.7156863,246.9392157,123.1705882,87.06862745,55.18431373
mean_abs_error-USC-SI_kJalpha,,,,,,,,,,,186.0901961,158.5823529,114.6078431,29.83921569
mean_abs_error-UT-Mobility,,,,,,,,,,,148.0490196,143.5882353,60.78431373,30.95098039
mean_abs_error-YYG-ParamSearch,,,,,828.7137255,558.4,379.6647059,310.8098039,240.0156863,182.5764706,142.6235294,131.1352941,53.88235294,29.82941176
mean_abs_error-epiforecasts-ensemble1,,,,,,,,,,,,,,
