,2020-04-20_2020-08-01,2020-04-27_2020-08-01,2020-05-04_2020-08-01,2020-05-11_2020-08-01,2020-05-18_2020-08-01,2020-05-25_2020-08-01,2020-06-01_2020-08-01,2020-06-08_2020-08-01,2020-06-15_2020-08-01,2020-06-22_2020-08-01,2020-06-29_2020-08-01,2020-07-06_2020-08-01,2020-07-13_2020-08-01,2020-07-20_2020-08-01,2020-07-27_2020-08-01
num_states_with_projections-UT-Mobility,,,,,,,,,,,,51,51,51,51
num_states_with_projections-YYG-ParamSearch,,,,,,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-epiforecasts-ensemble1,,,,,,,,,,,14,22,23,23,23
num_states_beat_baseline-Auquan-SEIR,,,,,,,,,,,,27,,,
num_states_beat_baseline-CMU-TimeSeries,,,,,,,,,,,,,,29,31
num_states_beat_baseline-COVIDhub-ensemble,,,,,,,,,,,,43,39,37,35
num_states_beat_baseline-CU-select,,,,,,,,,,,,21,24,22,20
num_states_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,
num_states_beat_baseline-Covid19Sim-Simulator,,,,,,28,29,27,31,34,34,34,29,23,14
num_states_beat_baseline-CovidActNow-SEIR_CAN,,,,,,,,,,,,18,,,
num_states_beat_baseline-CovidAnalytics-DELPHI,,,,,,,,,,,27,33,29,31,23
num_states_beat_baseline-DDS-NBDS,,,,,,,,,,,,,,,29
num_states_beat_baseline-GT-DeepCOVID,,,,,,,,,,,,15,24,21,24
num_states_beat_baseline-GT_CHHS-COVID19,,,,,,,,,,,,0,1,1,0
num_states_beat_baseline-Geneva-DetGrowth,,,,,,,,,,,,,,,32
num_states_beat_baseline-IHME-CurveFit,15,18,22,25,25,,26,31,32,34,30,28,,18,16
num_states_beat_baseline-IowaStateLW-STEM,,19,25,,21,24,24,22,26,20,19,26,24,12,13
num_states_beat_baseline-JCB-PRM,,,,,,,,,,,,,,,32
num_states_beat_baseline-JHU_IDD-CovidSP,,,,,,,,,,,,17,19,18,20
num_states_beat_baseline-Karlen-pypm,,,,,,,,,,,,,,19,23
num_states_beat_baseline-LANL-GrowthRate,,,,,,,,,,34,31,36,23,25,17
num_states_beat_baseline-LNQ-ens1,,,,,,,,,,,,,,31,24
num_states_beat_baseline-MITCovAlliance-SIR,,,,,,,,,,,26,17,9,18,15
num_states_beat_baseline-MOBS-GLEAM_COVID,,,,,,,,,,,,30,27,27,25
num_states_beat_baseline-NotreDame-FRED,,,,,,,,,,0,0,1,1,1,3
num_states_beat_baseline-NotreDame-mobility,,,,,,,,,,35,16,21,26,22,12
num_states_beat_baseline-OliverWyman-Navigator,,,,,,,,,,,,37,33,34,36
num_states_beat_baseline-PSI-DRAFT,,,,,,,,,,15,16,17,14,18,17
num_states_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,,
num_states_beat_baseline-RobertWalraven-ESG,,,,,,,,,,,,15,12,2,12
num_states_beat_baseline-STH-3PU,,,,,,,,,1,1,1,1,1,1,1
num_states_beat_baseline-SWC-TerminusCM,,,,,,,,,22,,15,,,,
num_states_beat_baseline-UA-EpiCovDA,,,,,,,,,,,,25,18,25,33
num_states_beat_baseline-UCLA-SuEIR,,,23,30,28,30,30,27,23,24,21,27,27,24,33
num_states_beat_baseline-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,0
num_states_beat_baseline-UMass-MechBayes,,,,,,,,,,,,39,37,34,25
num_states_beat_baseline-UMich-RidgeTfReg,,,,,,,,,,,,,,12,8
num_states_beat_baseline-USACE-ERDC_SEIR,,,,,27,26,29,30,28,33,27,34,29,20,24
num_states_beat_baseline-USC-SI_kJalpha,,,,,,,,,,,35,30,22,32,25
num_states_beat_baseline-UT-Mobility,,,,,,,,,,,,27,29,29,26
num_states_beat_baseline-YYG-ParamSearch,,,,,,28,28,32,30,36,33,36,43,36,32
num_states_beat_baseline-epiforecasts-ensemble1,,,,,,,,,,,12,14,7,5,4
perc_beat_baseline-Auquan-SEIR,,,,,,,,,,,,0.5294117647,,,
perc_beat_baseline-CMU-TimeSeries,,,,,,,,,,,,,,0.568627451,0.6078431373
perc_beat_baseline-COVIDhub-ensemble,,,,,,,,,,,,0.8431372549,0.7647058824,0.7254901961,0.6862745098
perc_beat_baseline-CU-select,,,,,,,,,,,,0.4117647059,0.4705882353,0.431372549,0.3921568627
perc_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,
perc_beat_baseline-Covid19Sim-Simulator,,,,,,0.5490196078,0.568627451,0.5294117647,0.6078431373,0.6666666667,0.6666666667,0.6666666667,0.568627451,0.4509803922,0.2745098039
perc_beat_baseline-CovidActNow-SEIR_CAN,,,,,,,,,,,,0.3529411765,,,
perc_beat_baseline-CovidAnalytics-DELPHI,,,,,,,,,,,0.5294117647,0.6470588235,0.568627451,0.6078431373,0.4509803922
perc_beat_baseline-DDS-NBDS,,,,,,,,,,,,,,,0.568627451
perc_beat_baseline-GT-DeepCOVID,,,,,,,,,,,,0.3658536585,0.5217391304,0.4666666667,0.5454545455
perc_beat_baseline-GT_CHHS-COVID19,,,,,,,,,,,,0,0.5,0.5,0
perc_beat_baseline-Geneva-DetGrowth,,,,,,,,,,,,,,,0.6274509804
perc_beat_baseline-IHME-CurveFit,0.2941176471,0.3673469388,0.431372549,0.4901960784,0.4901960784,,0.5098039216,0.6078431373,0.6274509804,0.6666666667,0.5882352941,0.5490196078,,0.3529411765,0.3137254902
perc_beat_baseline-IowaStateLW-STEM,,0.387755102,0.5102040816,,0.4285714286,0.4897959184,0.4897959184,0.4489795918,0.5306122449,0.4081632653,0.387755102,0.5306122449,0.4897959184,0.2448979592,0.2653061224
perc_beat_baseline-JCB-PRM,,,,,,,,,,,,,,,0.6274509804
perc_beat_baseline-JHU_IDD-CovidSP,,,,,,,,,,,,0.3333333333,0.3725490196,0.3529411765,0.3921568627
perc_beat_baseline-Karlen-pypm,,,,,,,,,,,,,,0.3725490196,0.4509803922
perc_beat_baseline-LANL-GrowthRate,,,,,,,,,,0.6666666667,0.6078431373,0.7058823529,0.4509803922,0.4901960784,0.3333333333
perc_beat_baseline-LNQ-ens1,,,,,,,,,,,,,,0.6078431373,0.4705882353
perc_beat_baseline-MITCovAlliance-SIR,,,,,,,,,,,0.5098039216,0.3333333333,0.1764705882,0.3529411765,0.2941176471
perc_beat_baseline-MOBS-GLEAM_COVID,,,,,,,,,,,,0.6,0.54,0.54,0.5
perc_beat_baseline-NotreDame-FRED,,,,,,,,,,0,0,0.1428571429,0.1428571429,0.1428571429,0.4285714286
perc_beat_baseline-NotreDame-mobility,,,,,,,,,,0.6862745098,0.3137254902,0.4117647059,0.5098039216,0.431372549,0.2352941176
perc_beat_baseline-OliverWyman-Navigator,,,,,,,,,,,,0.7254901961,0.6470588235,0.6666666667,0.7058823529
perc_beat_baseline-PSI-DRAFT,,,,,,,,,,0.2941176471,0.3137254902,0.3333333333,0.2745098039,0.36,0.3333333333
perc_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,,
perc_beat_baseline-RobertWalraven-ESG,,,,,,,,,,,,0.2941176471,0.2352941176,0.04081632653,0.2448979592
perc_beat_baseline-STH-3PU,,,,,,,,,1,1,1,1,1,1,1
perc_beat_baseline-SWC-TerminusCM,,,,,,,,,0.431372549,,0.3125,,,,
perc_beat_baseline-UA-EpiCovDA,,,,,,,,,,,,0.4901960784,0.3529411765,0.4901960784,0.6470588235
perc_beat_baseline-UCLA-SuEIR,,,0.4509803922,0.5882352941,0.5490196078,0.5882352941,0.5882352941,0.5294117647,0.4509803922,0.4705882353,0.4117647059,0.5294117647,0.5294117647,0.4705882353,0.6470588235
perc_beat_baseline-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,0
perc_beat_baseline-UMass-MechBayes,,,,,,,,,,,,0.7647058824,0.7254901961,0.6666666667,0.4901960784
perc_beat_baseline-UMich-RidgeTfReg,,,,,,,,,,,,,,0.3428571429,0.2857142857
perc_beat_baseline-USACE-ERDC_SEIR,,,,,0.5294117647,0.5098039216,0.568627451,0.5882352941,0.5490196078,0.6470588235,0.5294117647,0.6666666667,0.568627451,0.3921568627,0.4705882353
perc_beat_baseline-USC-SI_kJalpha,,,,,,,,,,,0.6862745098,0.5882352941,0.431372549,0.6274509804,0.4901960784
perc_beat_baseline-UT-Mobility,,,,,,,,,,,,0.5294117647,0.568627451,0.568627451,0.5098039216
perc_beat_baseline-YYG-ParamSearch,,,,,,0.5490196078,0.5490196078,0.6274509804,0.5882352941,0.7058823529,0.6470588235,0.7058823529,0.8431372549,0.7058823529,0.6274509804
perc_beat_baseline-epiforecasts-ensemble1,,,,,,,,,,,0.8571428571,0.6363636364,0.3043478261,0.2173913043,0.1739130435
mean_abs_error-Auquan-SEIR,,,,,,,,,,,,310.372549,,,
mean_abs_error-Baseline,2627.019608,2318.419608,1979.715686,1673.233333,1290.568627,953.6588235,734.2019608,640.9196078,480.8607843,362.1490196,468.9156863,267.2019608,164.7019608,96.80980392,47.87254902
mean_abs_error-CMU-TimeSeries,,,,,,,,,,,,,,82.39215686,45.17647059
mean_abs_error-COVIDhub-baseline,,,,,,,,,,,,277.5196078,182.0019608,99.29215686,45.07843137
mean_abs_error-COVIDhub-ensemble,,,,,,,,,,,,177.127451,122.4901961,68.96078431,45.33333333
mean_abs_error-CU-select,,,,,,,,,,,,293.254902,122.8627451,85.90196078,46.7254902
mean_abs_error-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,
mean_abs_error-Covid19Sim-Simulator,,,,,,564.9019608,557.2254902,501.4372549,300.5686275,243.9431373,236.8019608,204.7352941,112.4313725,98.98431373,111.4176471
mean_abs_error-CovidActNow-SEIR_CAN,,,,,,,,,,,,715.5372549,,,
mean_abs_error-CovidAnalytics-DELPHI,,,,,,,,,,,273.6470588,238.0784314,143.2352941,87.07843137,50.31372549
mean_abs_error-DDS-NBDS,,,,,,,,,,,,,,,44.15098039
mean_abs_error-GT-DeepCOVID,,,,,,,,,,,,,,,
mean_abs_error-GT_CHHS-COVID19,,,,,,,,,,,,,,,
mean_abs_error-Geneva-DetGrowth,,,,,,,,,,,,,,,52.17647059
mean_abs_error-IHME-CurveFit,1731.645098,,770.7509804,553.9941176,535.1784314,,592.3882353,373.5529412,297.2843137,221.2058824,219.6784314,211.4843137,,131.4196078,89.9745098
mean_abs_error-IowaStateLW-STEM,,,,,,,,,,,,,,,
mean_abs_error-JCB-PRM,,,,,,,,,,,,,,,38.88039216
mean_abs_error-JHU_IDD-CovidSP,,,,,,,,,,,,281.3156863,162.4,112.8588235,70.78235294
mean_abs_error-Karlen-pypm,,,,,,,,,,,,,,179.0666667,196.5098039
mean_abs_error-LANL-GrowthRate,,,,,,,,,,260.6019608,252.2,223.354902,169.8156863,117.6588235,73.21568627
mean_abs_error-LNQ-ens1,,,,,,,,,,,,,,61.75882353,43.98039216
mean_abs_error-MITCovAlliance-SIR,,,,,,,,,,,394.1764706,473.1705882,469.7960784,293.2137255,226.4921569
mean_abs_error-MOBS-GLEAM_COVID,,,,,,,,,,,,,,,
mean_abs_error-NotreDame-FRED,,,,,,,,,,,,,,,
mean_abs_error-NotreDame-mobility,,,,,,,,,,379,717.4509804,287.8176471,173.8117647,121.7705882,104.0117647
mean_abs_error-OliverWyman-Navigator,,,,,,,,,,,,184.3882353,130.6215686,75.82352941,40.83529412
mean_abs_error-PSI-DRAFT,,,,,,,,,,496.8333333,408.3529412,363.6078431,273.2941176,,49.28431373
mean_abs_error-QJHong-Encounter,,,,,,,,,,,,,,,
mean_abs_error-RobertWalraven-ESG,,,,,,,,,,,,477.5627451,424.5019608,,
mean_abs_error-STH-3PU,,,,,,,,,,,,,,,
mean_abs_error-SWC-TerminusCM,,,,,,,,,564.745098,,,,,,
mean_abs_error-UA-EpiCovDA,,,,,,,,,,,,271.9411765,179.8627451,70.66666667,36.2745098
mean_abs_error-UCLA-SuEIR,,,883.572549,762.0196078,533.4588235,500.3784314,433.6882353,442.5294118,363.0941176,321.7647059,305.4392157,236.354902,144.145098,97.47058824,42.91960784
mean_abs_error-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,
mean_abs_error-UMass-MechBayes,,,,,,,,,,,,176.8823529,87.94117647,72.37254902,50.84313725
mean_abs_error-UMich-RidgeTfReg,,,,,,,,,,,,,,,
mean_abs_error-USACE-ERDC_SEIR,,,,,719.5137255,623.8705882,623.3098039,505.8882353,290.4019608,258.0607843,308.8196078,164.7117647,130.5039216,152.5764706,67.37647059
mean_abs_error-USC-SI_kJalpha,,,,,,,,,,,295.8862745,253.5333333,189.6823529,77.87254902,48.03921569
mean_abs_error-UT-Mobility,,,,,,,,,,,,231.2843137,108.6568627,75.38235294,45.93137255
mean_abs_error-YYG-ParamSearch,,,,,,681.9607843,487.5294118,412.5627451,330.6039216,263.6764706,218.454902,207.2176471,101.954902,76.83921569,44.82352941
mean_abs_error-epiforecasts-ensemble1,,,,,,,,,,,,,,,
