,2020-04-20_2020-07-11,2020-04-27_2020-07-11,2020-05-04_2020-07-11,2020-05-11_2020-07-11,2020-05-18_2020-07-11,2020-05-25_2020-07-11,2020-06-01_2020-07-11,2020-06-08_2020-07-11,2020-06-15_2020-07-11,2020-06-22_2020-07-11,2020-06-29_2020-07-11,2020-07-06_2020-07-11
num_states_with_projections-SWC-TerminusCM,,,,,,40,47,48,51,,48,
num_states_with_projections-UA-EpiCovDA,,,,,,,,,51,51,51,51
num_states_with_projections-UCLA-SuEIR,,,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-UMass-MechBayes,,,,,,,,,51,51,51,51
num_states_with_projections-UMich-RidgeTfReg,,,,,,,,,,,,0
num_states_with_projections-USACE-ERDC_SEIR,,,,,51,51,51,51,51,51,51,51
num_states_with_projections-USC-SI_kJalpha,,,,,,,,,,,51,51
num_states_with_projections-UT-Mobility,,,,,,,,,51,51,51,51
num_states_with_projections-YYG-ParamSearch,,,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-epiforecasts-ensemble1,,,,,,,,,15,14,14,22
num_states_beat_baseline-Auquan-SEIR,,,,,,,,,2,31,21,23
num_states_beat_baseline-COVIDhub-ensemble,,,,,,,,,34,35,30,37
num_states_beat_baseline-CU-select,,,,,,,,,20,22,12,12
num_states_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,
num_states_beat_baseline-Covid19Sim-Simulator,,,,,,31,29,27,30,29,20,13
num_states_beat_baseline-CovidActNow-SEIR_CAN,,,,,,,,,21,15,,13
num_states_beat_baseline-CovidAnalytics-DELPHI,,,,,,,,26,26,28,24,16
num_states_beat_baseline-GT-DeepCOVID,,,,,,,,,11,16,20,2
num_states_beat_baseline-GT_CHHS-COVID19,,,,,,,,,1,0,0,0
num_states_beat_baseline-Geneva-DetGrowth,,,,,,,,,,,,25
num_states_beat_baseline-IHME-CurveFit,18,18,29,27,29,,29,27,28,34,25,22
num_states_beat_baseline-IowaStateLW-STEM,,19,25,,24,24,25,26,23,26,18,17
num_states_beat_baseline-JHU_IDD-CovidSP,,,,,,,,,21,12,9,22
num_states_beat_baseline-LANL-GrowthRate,,,,,,35,37,34,32,27,22,30
num_states_beat_baseline-MITCovAlliance-SIR,,,,,,,,,,,13,10
num_states_beat_baseline-MOBS-GLEAM_COVID,,,,,,,,,23,22,14,23
num_states_beat_baseline-NotreDame-FRED,,,,,,,2,2,0,0,0,2
num_states_beat_baseline-NotreDame-mobility,,,,,,,,,,29,16,24
num_states_beat_baseline-OliverWyman-Navigator,,,,,,,,,26,29,24,36
num_states_beat_baseline-PSI-DRAFT,,,,,,,31,20,20,19,15,13
num_states_beat_baseline-QJHong-Encounter,,,,,,,,,,,,
num_states_beat_baseline-RobertWalraven-ESG,,,,,,,,,,,,19
num_states_beat_baseline-STH-3PU,,,,,,,,,1,1,1,1
num_states_beat_baseline-SWC-TerminusCM,,,,,,14,17,20,21,,14,
num_states_beat_baseline-UA-EpiCovDA,,,,,,,,,23,29,26,19
num_states_beat_baseline-UCLA-SuEIR,,,27,31,30,31,36,29,26,24,21,26
num_states_beat_baseline-UMass-MechBayes,,,,,,,,,30,28,30,36
num_states_beat_baseline-UMich-RidgeTfReg,,,,,,,,,,,,
num_states_beat_baseline-USACE-ERDC_SEIR,,,,,27,29,27,28,26,19,8,25
num_states_beat_baseline-USC-SI_kJalpha,,,,,,,,,,,26,33
num_states_beat_baseline-UT-Mobility,,,,,,,,,21,28,24,30
num_states_beat_baseline-YYG-ParamSearch,,,37,27,23,28,31,31,29,31,34,29
num_states_beat_baseline-epiforecasts-ensemble1,,,,,,,,,5,4,8,15
perc_beat_baseline-Auquan-SEIR,,,,,,,,,0.03921568627,0.6078431373,0.4117647059,0.4509803922
perc_beat_baseline-COVIDhub-ensemble,,,,,,,,,0.6666666667,0.6862745098,0.5882352941,0.7254901961
perc_beat_baseline-CU-select,,,,,,,,,0.3921568627,0.431372549,0.2352941176,0.2352941176
perc_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,
perc_beat_baseline-Covid19Sim-Simulator,,,,,,0.6078431373,0.568627451,0.5294117647,0.5882352941,0.568627451,0.3921568627,0.2549019608
perc_beat_baseline-CovidActNow-SEIR_CAN,,,,,,,,,0.4117647059,0.3488372093,,0.2549019608
perc_beat_baseline-CovidAnalytics-DELPHI,,,,,,,,0.5098039216,0.5098039216,0.5490196078,0.4705882353,0.3137254902
perc_beat_baseline-GT-DeepCOVID,,,,,,,,,0.2972972973,0.4,0.5,0.0487804878
perc_beat_baseline-GT_CHHS-COVID19,,,,,,,,,0.5,0,0,0
perc_beat_baseline-Geneva-DetGrowth,,,,,,,,,,,,0.4901960784
perc_beat_baseline-IHME-CurveFit,0.3529411765,0.3673469388,0.568627451,0.5294117647,0.568627451,,0.568627451,0.5294117647,0.5490196078,0.6666666667,0.4901960784,0.431372549
perc_beat_baseline-IowaStateLW-STEM,,0.387755102,0.5102040816,,0.4897959184,0.4897959184,0.5102040816,0.5306122449,0.4693877551,0.5306122449,0.3673469388,0.3469387755
perc_beat_baseline-JHU_IDD-CovidSP,,,,,,,,,0.4117647059,0.2352941176,0.1764705882,0.431372549
perc_beat_baseline-LANL-GrowthRate,,,,,,0.6862745098,0.7254901961,0.6666666667,0.6274509804,0.5294117647,0.431372549,0.5882352941
perc_beat_baseline-MITCovAlliance-SIR,,,,,,,,,,,0.2549019608,0.1960784314
perc_beat_baseline-MOBS-GLEAM_COVID,,,,,,,,,0.46,0.44,0.28,0.46
perc_beat_baseline-NotreDame-FRED,,,,,,,0.2857142857,0.2857142857,0,0,0,0.2857142857
perc_beat_baseline-NotreDame-mobility,,,,,,,,,,0.568627451,0.3137254902,0.4705882353
perc_beat_baseline-OliverWyman-Navigator,,,,,,,,,0.5098039216,0.568627451,0.4705882353,0.7058823529
perc_beat_baseline-PSI-DRAFT,,,,,,,0.6078431373,0.3921568627,0.3921568627,0.3725490196,0.2941176471,0.2549019608
perc_beat_baseline-QJHong-Encounter,,,,,,,,,,,,
perc_beat_baseline-RobertWalraven-ESG,,,,,,,,,,,,0.3725490196
perc_beat_baseline-STH-3PU,,,,,,,,,1,1,1,1
perc_beat_baseline-SWC-TerminusCM,,,,,,0.35,0.3617021277,0.4166666667,0.4117647059,,0.2916666667,
perc_beat_baseline-UA-EpiCovDA,,,,,,,,,0.4509803922,0.568627451,0.5098039216,0.3725490196
perc_beat_baseline-UCLA-SuEIR,,,0.5294117647,0.6078431373,0.5882352941,0.6078431373,0.7058823529,0.568627451,0.5098039216,0.4705882353,0.4117647059,0.5098039216
perc_beat_baseline-UMass-MechBayes,,,,,,,,,0.5882352941,0.5490196078,0.5882352941,0.7058823529
perc_beat_baseline-UMich-RidgeTfReg,,,,,,,,,,,,
perc_beat_baseline-USACE-ERDC_SEIR,,,,,0.5294117647,0.568627451,0.5294117647,0.5490196078,0.5098039216,0.3725490196,0.1568627451,0.4901960784
perc_beat_baseline-USC-SI_kJalpha,,,,,,,,,,,0.5098039216,0.6470588235
perc_beat_baseline-UT-Mobility,,,,,,,,,0.4117647059,0.5490196078,0.4705882353,0.5882352941
perc_beat_baseline-YYG-ParamSearch,,,0.7254901961,0.5294117647,0.4509803922,0.5490196078,0.6078431373,0.6078431373,0.568627451,0.6078431373,0.6666666667,0.568627451
perc_beat_baseline-epiforecasts-ensemble1,,,,,,,,,0.3333333333,0.2857142857,0.5714285714,0.6818181818
mean_abs_error-Auquan-SEIR,,,,,,,,,836.6862745,96.7254902,71.62745098,62.50980392
mean_abs_error-Baseline,1828.666667,1568.819608,1288.170588,1073.182353,759.2078431,507.0941176,343.7470588,263.0137255,164.6764706,95.40392157,117.9627451,42.19803922
mean_abs_error-COVIDhub-baseline,,,,,,,,,182.8705882,105.0156863,125.0313725,37.50980392
mean_abs_error-COVIDhub-ensemble,,,,,,,,,88.84509804,60.82352941,39.08039216,29.61764706
mean_abs_error-CU-select,,,,,,,,,270.1176471,300.372549,222.8235294,51.92156863
mean_abs_error-Columbia_UNC-SurvCon,,,,,,,,,,,,
mean_abs_error-Covid19Sim-Simulator,,,,,,290.0941176,284.9392157,234.4745098,120.6764706,93.44313725,116.4490196,99.95294118
mean_abs_error-CovidActNow-SEIR_CAN,,,,,,,,,207.9960784,,,83.74117647
mean_abs_error-CovidAnalytics-DELPHI,,,,,,,,231.1568627,172.3333333,108.2745098,85.82352941,71.09803922
mean_abs_error-GT-DeepCOVID,,,,,,,,,,,,
mean_abs_error-GT_CHHS-COVID19,,,,,,,,,,,,
mean_abs_error-Geneva-DetGrowth,,,,,,,,,,,,40.37254902
mean_abs_error-IHME-CurveFit,1343.347059,,496.6705882,327.2156863,289.5823529,,298.7607843,158.9137255,127.2078431,67.14901961,50.26862745,60.0745098
mean_abs_error-IowaStateLW-STEM,,,,,,,,,,,,
mean_abs_error-JHU_IDD-CovidSP,,,,,,,,,228.7568627,177.3254902,89.95294118,46.20980392
mean_abs_error-LANL-GrowthRate,,,,,,239.0490196,182.0078431,146.1313725,102.6490196,81.29411765,67.9745098,33.65490196
mean_abs_error-MITCovAlliance-SIR,,,,,,,,,,,191.6019608,271.0686275
mean_abs_error-MOBS-GLEAM_COVID,,,,,,,,,,,,
mean_abs_error-NotreDame-FRED,,,,,,,,,,,,
mean_abs_error-NotreDame-mobility,,,,,,,,,,220.527451,129.4823529,46.76078431
mean_abs_error-OliverWyman-Navigator,,,,,,,,,99.4254902,87.41568627,56.67843137,31.51764706
mean_abs_error-PSI-DRAFT,,,,,,,245.254902,491.8137255,208.4607843,156.0882353,98.98039216,59.75490196
mean_abs_error-QJHong-Encounter,,,,,,,,,,,,
mean_abs_error-RobertWalraven-ESG,,,,,,,,,,,,241.9666667
mean_abs_error-STH-3PU,,,,,,,,,,,,
mean_abs_error-SWC-TerminusCM,,,,,,,,,288.8039216,,,
mean_abs_error-UA-EpiCovDA,,,,,,,,,152.1960784,74.70588235,105.8431373,45.64705882
mean_abs_error-UCLA-SuEIR,,,531.1823529,436.3568627,259.4058824,209.6392157,164.945098,167.7568627,111.2098039,81.54117647,71.88627451,38.00196078
mean_abs_error-UMass-MechBayes,,,,,,,,,97.01960784,89.76470588,53.17647059,32.74509804
mean_abs_error-UMich-RidgeTfReg,,,,,,,,,,,,
mean_abs_error-USACE-ERDC_SEIR,,,,,422.6941176,325.2176471,360.7607843,258.627451,120.4039216,133.3882353,221.1254902,37.88431373
mean_abs_error-USC-SI_kJalpha,,,,,,,,,,,54.01372549,31.0254902
mean_abs_error-UT-Mobility,,,,,,,,,128.5784314,82.41176471,48.37254902,41.3627451
mean_abs_error-YYG-ParamSearch,,,381.5098039,589.8882353,585.3294118,345.5764706,197.8784314,147.4509804,99.66666667,71.47254902,48.95490196,41.31176471
mean_abs_error-epiforecasts-ensemble1,,,,,,,,,,,,
