,2020-04-20_2020-04-25,2020-04-27_2020-05-02,2020-05-04_2020-05-09,2020-05-11_2020-05-16,2020-05-18_2020-05-23,2020-05-25_2020-05-30,2020-06-01_2020-06-06,2020-06-08_2020-06-13,2020-06-15_2020-06-20,2020-06-22_2020-06-27,2020-06-29_2020-07-04,2020-07-06_2020-07-11,2020-07-13_2020-07-18,2020-07-20_2020-07-25,2020-07-27_2020-08-01,2020-08-03_2020-08-08,2020-08-10_2020-08-15,2020-08-17_2020-08-22,2020-08-24_2020-08-29,2020-08-31_2020-09-05,2020-09-07_2020-09-12,2020-09-14_2020-09-19,2020-09-21_2020-09-26,2020-09-28_2020-10-03,2020-10-05_2020-10-10,2020-10-12_2020-10-17,2020-10-19_2020-10-24,2020-10-26_2020-10-31,2020-11-02_2020-11-07,2020-11-09_2020-11-14,2020-11-16_2020-11-21,2020-11-23_2020-11-28,2020-11-30_2020-12-05,2020-12-07_2020-12-12,2020-12-14_2020-12-19,2020-12-21_2020-12-26,2020-12-28_2021-01-02,2021-01-04_2021-01-09,2021-01-11_2021-01-16,2021-01-18_2021-01-23,2021-01-25_2021-01-30,2021-02-01_2021-02-06,2021-02-08_2021-02-13,2021-02-15_2021-02-20,2021-02-22_2021-02-27,2021-03-01_2021-03-06
num_states_with_projections-CU-select,50,50,50,50,50,50,50,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-Caltech-CS156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,,51,51,,51,51
num_states_with_projections-Columbia_UNC-SurvCon,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,50,51,51,51,51,51,50,51,50,51,50,51,51,51,51,51,51,51,0,51,50,0,51,51,51,51
num_states_with_projections-Covid19Sim-Simulator,,,,,,51,51,51,51,51,51,51,51,51,51,51,,17,51,51,51,51,51,51,51,51,51,51,51,51,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-CovidActNow-SEIR_CAN,,,,,,,51,51,51,43,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-CovidAnalytics-DELPHI,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-DDS-NBDS,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,51,51
num_states_with_projections-FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
num_states_with_projections-GT-DeepCOVID,,,47,21,25,30,35,33,37,40,40,41,46,45,44,43,44,46,48,47,48,49,44,45,46,49,48,46,46,45,44,48,49,50,50,50,50,49,50,50,50,48,49,49,48,45
num_states_with_projections-GT_CHHS-COVID19,,,,,,,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1
num_states_with_projections-Geneva-DetGrowth,0,0,0,0,0,0,0,51,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-Google_Harvard-CPF,,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
num_states_with_projections-IHME-CurveFit,51,51,51,51,51,,51,51,51,51,51,51,,51,51,51,51,,51,51,51,,51,51,,,51,51,,,,51,,51,51,51,51,,,51,51,51,51,51,51,51
num_states_with_projections-IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,,,49,49,49,49,49,49,,49,49,49,49,49,49,,,,,,,,,,,,,
num_states_with_projections-IUPUI-HkPrMobiDyR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,
num_states_with_projections-Imperial-ensemble1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-Imperial-ensemble2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-IowaStateLW-STEM,,49,49,,49,49,49,49,49,49,49,49,49,49,49,49,,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
num_states_with_projections-JCB-PRM,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,,,,,,,,
num_states_with_projections-JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,51,51,51,51,51,51
num_states_with_projections-JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,,,,,,,50,,51,51,51,51,51,51,51,51,51,51,51,,50,49,51,51,50,51,51,51
num_states_with_projections-JHU_IDD-CovidSP,,0,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,45,51
num_states_with_projections-JHU_UNC_GAS-StatMechPool,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,51,51,,,,,,,,,,,,,,,,
num_states_with_projections-Karlen-pypm,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-LANL-GrowthRate,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-LNQ-ens1,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-MITCovAlliance-SIR,,,,,,,,,,,51,51,51,51,51,51,,51,,,51,51,51,51,,,51,,,,,,,,,,,51,51,,,,,,,
num_states_with_projections-MIT_CritData-GBCF,,,,,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,41,44,43,46,42,41
num_states_with_projections-MOBS-GLEAM_COVID,44,48,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
num_states_with_projections-MSRA-DeepST,,,,,,,,,,,,,,,,,,,,,,,,,,50,47,47,47,47,50,50,50,50,,,,,,,,,,,,
num_states_with_projections-Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,50,50,50,50,50,50,50,51,51
num_states_with_projections-NotreDame-FRED,,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,7,7,,,,,,,,,,7,
num_states_with_projections-NotreDame-mobility,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,,,,,,,,,,
num_states_with_projections-OliverWyman-Navigator,,,,,,,,47,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-PSI-DRAFT,,,,,51,51,51,51,51,51,51,51,51,50,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-QJHong-Encounter,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
num_states_with_projections-Quantori-Multiagents,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,0,32,32,32,30,30,31,31,30,31,31,31,31,30,30,30,30,30,31,31,30,30,30,31,31,31,30,30,30,31,30
num_states_with_projections-RobertWalraven-ESG,,,,,,,,,,,,51,51,49,49,49,50,50,51,51,51,51,51,51,51,51,51,51,51,51,51,50,51,50,51,51,51,51,50,51,51,51,51,51,51,51
num_states_with_projections-STH-3PU,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,2,2,2,2,,,,,,,,,,,,,,,,,
num_states_with_projections-SWC-TerminusCM,,,,,,40,48,47,51,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-SigSci-TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,51,38,49,48,50
num_states_with_projections-SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,51,51
num_states_with_projections-TTU-squider,,,,,,,,,,,,,,,,,,51,51,,,51,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-UA-EpiCovDA,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-UCLA-SuEIR,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,51,51
num_states_with_projections-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
num_states_with_projections-UCSB-ACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,,,,
num_states_with_projections-UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,,,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
num_states_with_projections-UChicago-CovidIL,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-UChicago-CovidIL_100,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-UChicago-CovidIL_10_+,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-UChicago-CovidIL_30_+,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-UChicago-CovidIL_40,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-UChicago-CovidIL_60,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-UChicago-CovidIL_80,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,,51,51,51,51,51,51,,51,51
num_states_with_projections-UMass-MechBayes,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-UMich-RidgeTfReg,,,,,,,,,,,,0,0,35,28,30,46,39,40,43,49,49,50,50,50,50,50,50,50,50,50,50,6,6,6,50,50,50,50,50,50,50,49,47,44,42
num_states_with_projections-USACE-ERDC_SEIR,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,51,,51,,,51,51,51,,,,,,,,,,,,,
num_states_with_projections-USC-SI_kJalpha,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,51,,,,,,,,,,,,,,,,
num_states_with_projections-UT-Mobility,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,51,51,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,,51,,51,,,,,
num_states_with_projections-UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
num_states_with_projections-Wadhwani_AI-BayesOpt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,44,,44,,,,,,,,
num_states_with_projections-WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,,,0,0,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,51,51,51,51,51,51,51,51,
num_states_with_projections-YYG-ParamSearch,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-epiforecasts-ensemble1,,,,,,,,,15,14,14,22,23,23,23,29,27,45,48,46,46,46,44,47,47,47,46,42,48,47,48,47,50,50,51,51,51,49,51,51,51,51,51,51,51,51
num_states_beat_baseline-AIpert-pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,24,27,22,23,27,21,16,15,19,14
num_states_beat_baseline-Auquan-SEIR,,,,,4,1,0,0,0,17,11,22,,,,4,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,20,19,27,24,23,31,41,18,44,27,25,16,27,13,9,10,26,19,22,23,24,27
num_states_beat_baseline-CEID-Walk,,,,,,,,,,,,,,,,,30,24,22,21,18,28,22,29,28,26,28,27,25,30,31,18,33,28,32,19,29,27,23,20,24,17,9,12,16,15
num_states_beat_baseline-CMU-TimeSeries,,,,,,,,,,,,,,30,30,18,22,27,21,25,18,27,26,29,28,25,31,25,18,26,30,21,38,31,32,22,32,29,16,20,23,16,11,8,19,21
num_states_beat_baseline-COVIDhub-ensemble,,27,23,20,24,28,23,29,22,27,21,36,33,34,34,23,26,33,27,28,28,30,29,31,26,28,36,29,27,35,39,23,46,36,38,18,35,29,27,29,32,28,26,22,32,26
num_states_beat_baseline-COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28,1,27,29
num_states_beat_baseline-CU-select,12,15,19,16,15,19,17,20,23,13,17,12,25,23,21,14,17,16,13,20,18,16,16,16,16,16,25,16,25,21,30,19,28,23,26,17,24,14,12,13,17,13,20,23,23,16
num_states_beat_baseline-Caltech-CS156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,32,38,24,42,27,39,22,34,24,18,22,,17,23,,26,25
num_states_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,,,,,20,20,25,21,19,23,29,24,22,30,32,3,1,1,31,14,28,15,,22,20,,17,23,23,19
num_states_beat_baseline-Covid19Sim-Simulator,,,,,,11,11,12,10,17,13,12,10,15,14,10,,2,4,22,21,22,14,9,9,4,5,17,24,15,,12,26,1,3,10,15,5,2,5,10,7,6,17,15,13
num_states_beat_baseline-CovidActNow-SEIR_CAN,,,,,,,12,11,15,6,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-CovidAnalytics-DELPHI,,20,14,8,17,24,25,20,21,23,16,16,22,29,23,17,18,15,22,24,23,21,24,19,16,23,17,18,20,24,26,16,36,15,20,23,25,21,18,9,25,19,23,21,30,22
num_states_beat_baseline-DDS-NBDS,,,,,,,,,,,,,,,31,15,15,26,20,21,21,25,25,24,20,22,34,19,25,30,29,19,29,31,23,18,23,17,21,10,12,22,19,,18,22
num_states_beat_baseline-FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-GT-DeepCOVID,,,7,5,11,13,12,9,15,17,14,2,20,23,25,8,19,17,18,21,21,24,17,20,22,24,28,20,23,27,27,14,38,32,31,19,29,27,20,33,19,24,22,25,25,24
num_states_beat_baseline-GT_CHHS-COVID19,,,,,,,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1
num_states_beat_baseline-Geneva-DetGrowth,,,,,,,,17,,,,25,27,29,31,11,21,22,17,16,15,28,21,23,26,21,24,23,22,22,31,18,39,26,25,16,19,23,19,17,16,15,13,16,17,12
num_states_beat_baseline-Google_Harvard-CPF,,,,,,,,,,,,,,,,,,13,12,22,21,19,14,22,14,16,32,22,26,29,37,19,44,23,30,21,30,28,24,22,20,19,24,23,26,20
num_states_beat_baseline-IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-IHME-CurveFit,21,14,16,18,17,,14,18,15,17,17,21,,13,15,8,12,,17,18,17,,10,12,,,18,10,,,,15,,15,8,15,14,,,8,13,9,14,22,21,14
num_states_beat_baseline-IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,,,20,22,25,22,23,22,,19,21,23,23,18,15,,,,,,,,,,,,,
num_states_beat_baseline-IUPUI-HkPrMobiDyR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,
num_states_beat_baseline-Imperial-ensemble1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-Imperial-ensemble2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-IowaStateLW-STEM,,19,18,,10,16,13,16,12,13,13,17,17,11,13,10,,13,12,16,20,12,15,20,18,18,23,16,20,22,30,16,42,26,22,10,14,26,16,18,17,10,13,3,22,16
num_states_beat_baseline-JCB-PRM,,,,,,,,,,,,,,,31,17,19,23,33,26,23,29,31,31,19,24,32,20,27,32,35,23,38,32,35,13,25,,,,,,,,,
num_states_beat_baseline-JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,10,16,9,16,12,14,14,24,14,16,25,27,12,33,26,19,16,14,13,10,,12,6,8,6,8,12
num_states_beat_baseline-JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,,,,,,,16,,24,25,21,26,30,14,43,28,27,16,30,,26,22,28,13,12,12,18,23
num_states_beat_baseline-JHU_IDD-CovidSP,,,,,3,11,7,8,16,11,10,22,21,20,19,7,7,13,12,17,19,16,20,20,20,19,20,12,9,9,28,17,29,12,14,14,21,18,17,18,15,11,16,15,17,17
num_states_beat_baseline-JHU_UNC_GAS-StatMechPool,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,17,18,,,,,,,,,,,,,,,,
num_states_beat_baseline-Karlen-pypm,,,,,,,,,,,,,,24,22,18,17,18,28,25,22,23,29,28,25,24,30,28,29,35,38,18,45,32,35,15,33,28,28,23,24,25,22,30,21,28
num_states_beat_baseline-LANL-GrowthRate,17,17,26,20,28,28,25,25,20,20,20,29,22,23,16,11,20,16,15,15,21,25,23,26,19,21,22,21,23,33,32,25,35,29,35,19,18,21,22,22,27,17,24,29,23,26
num_states_beat_baseline-LNQ-ens1,,,,,,,,,,,,,,36,25,26,17,23,20,25,32,18,29,26,30,27,34,29,29,33,40,17,32,30,36,21,19,17,29,27,32,26,27,35,22,32
num_states_beat_baseline-MITCovAlliance-SIR,,,,,,,,,,,6,10,5,15,13,8,,6,,,21,18,19,21,,,24,,,,,,,,,,,17,13,,,,,,,
num_states_beat_baseline-MIT_CritData-GBCF,,,,,,,,,,,,,,,,,,,,,9,19,19,16,23,17,28,19,24,20,29,19,40,29,29,11,31,20,28,18,18,12,16,6,25,17
num_states_beat_baseline-MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,21,18,12,18,21,14
num_states_beat_baseline-MOBS-GLEAM_COVID,5,18,20,12,19,21,27,21,16,18,10,23,24,29,23,20,16,15,16,21,25,15,23,20,19,15,24,30,25,28,35,19,42,30,28,17,34,31,26,18,26,18,22,12,21,22
num_states_beat_baseline-MSRA-DeepST,,,,,,,,,,,,,,,,,,,,,,,,,,22,28,30,28,32,40,17,44,33,,,,,,,,,,,,
num_states_beat_baseline-Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,23,7,34,34,23,20,27,24,14,21,29,28
num_states_beat_baseline-NotreDame-FRED,,,1,1,0,1,1,2,0,0,0,2,1,1,3,1,3,1,4,1,0,1,1,4,0,4,6,2,3,4,4,1,,1,2,,,,,,,,,,0,
num_states_beat_baseline-NotreDame-mobility,,,,,,,,,,21,19,24,24,14,11,3,9,16,21,18,20,10,24,16,24,17,21,15,17,19,20,8,23,11,14,,,,,,,,,,,
num_states_beat_baseline-OliverWyman-Navigator,,,,,,,,24,29,21,21,35,28,32,35,23,26,32,24,20,24,26,26,30,27,26,35,36,26,34,44,18,44,33,27,15,31,31,29,25,21,32,28,36,20,24
num_states_beat_baseline-PSI-DRAFT,,,,,16,16,20,5,18,18,19,13,13,22,18,15,17,11,21,20,14,18,27,20,15,17,22,17,14,18,27,11,23,17,25,13,28,23,18,16,18,13,14,16,21,20
num_states_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-Quantori-Multiagents,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,13,9,10,10,8,18,13,11,10,9,14,8,10,9,12,7,23,14,13,13,14,4,10,6,11,9,7,7,8,13
num_states_beat_baseline-RobertWalraven-ESG,,,,,,,,,,,,19,13,1,11,13,14,10,13,15,21,14,17,10,13,11,25,6,6,22,29,6,16,24,31,22,14,9,18,21,18,27,27,34,29,22
num_states_beat_baseline-STH-3PU,,,,,,,,,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,
num_states_beat_baseline-SWC-TerminusCM,,,,,,8,15,11,19,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-SigSci-TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,13,16,17,19
num_states_beat_baseline-SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,,21,26,29,22,25,26,23,27,35,31,28,29,35,21,37,16,32,22,25,24,24,23,25,24,25,,26,22
num_states_beat_baseline-TTU-squider,,,,,,,,,,,,,,,,,,0,6,,,6,,5,3,4,4,7,10,12,8,8,13,11,12,12,10,14,4,6,4,6,2,9,5,5
num_states_beat_baseline-UA-EpiCovDA,,,,,,14,14,12,23,26,26,19,25,30,32,19,16,23,16,19,28,25,18,26,25,20,24,27,21,24,35,14,25,17,25,32,9,14,16,17,19,13,26,22,19,21
num_states_beat_baseline-UCLA-SuEIR,,,12,18,27,23,25,29,29,22,21,25,32,32,32,22,26,22,22,22,16,28,20,26,26,20,28,26,25,26,25,17,21,28,29,24,24,24,22,23,25,23,16,,12,15
num_states_beat_baseline-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,,,,,,,,,,
num_states_beat_baseline-UCSB-ACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,25,23,32,11,41,20,23,23,27,16,15,6,17,,,,,
num_states_beat_baseline-UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,,,,16,18,18,21,17,15,26,27,25,30,36,16,43,32,25,13,21,30,22,17,24,16,17,8,21,20
num_states_beat_baseline-UChicago-CovidIL,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
