,2020-04-20_2020-07-11,2020-04-27_2020-07-18,2020-05-04_2020-07-25,2020-05-11_2020-08-01,2020-05-18_2020-08-08,2020-05-25_2020-08-15,2020-06-01_2020-08-22,2020-06-08_2020-08-29,2020-06-15_2020-09-05,2020-06-22_2020-09-12,2020-06-29_2020-09-19,2020-07-06_2020-09-26,2020-07-13_2020-10-03,2020-07-20_2020-10-10,2020-07-27_2020-10-17,2020-08-03_2020-10-24,2020-08-10_2020-10-31,2020-08-17_2020-11-07,2020-08-24_2020-11-14,2020-08-31_2020-11-21,2020-09-07_2020-11-28,2020-09-14_2020-12-05,2020-09-21_2020-12-12,2020-09-28_2020-12-19,2020-10-05_2020-12-26,2020-10-12_2021-01-02,2020-10-19_2021-01-09,2020-10-26_2021-01-16,2020-11-02_2021-01-23,2020-11-09_2021-01-30,2020-11-16_2021-02-06,2020-11-23_2021-02-13,2020-11-30_2021-02-20,2020-12-07_2021-02-27,2020-12-14_2021-03-06
num_states_with_projections-USC-SI_kJalpha,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-YYG-ParamSearch,,,,,,,,51,51,51,51,51,51,51,51,51,51,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,25,34,37,33,,,,,,,
num_states_beat_baseline-Covid19Sim-Simulator,,,,,,30,30,28,31,31,29,35,29,25,24,30,,8,17,29,33,26,21,18,35,37,34,43,43,44,,28,33,29,36
num_states_beat_baseline-IHME-CurveFit,18,20,24,26,25,,,27,33,31,24,25,,14,14,25,15,,20,22,22,,31,36,,,42,41,,,,37,,33,33
num_states_beat_baseline-IowaStateLW-STEM,,23,26,,23,26,25,22,24,22,20,25,25,15,17,23,,14,18,26,20,33,27,10,8,12,9,11,16,23,19,33,30,21,21
num_states_beat_baseline-JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,
num_states_beat_baseline-STH-3PU,,,,,,,,,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,,1,0,0,0,1,,,,,,
num_states_beat_baseline-UCLA-SuEIR,,,24,30,26,30,29,24,20,23,16,19,25,19,21,26,17,20,15,20,20,9,17,13,7,10,9,7,7,8,9,28,21,22,26
num_states_beat_baseline-USACE-ERDC_SEIR,,,,,27,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-USC-SI_kJalpha,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-YYG-ParamSearch,,,,,,,,30,29,36,34,36,32,25,30,29,33,,,,,,,,,,,,,,,,,,
perc_beat_baseline-BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,0.4901960784,0.6666666667,0.7254901961,0.6470588235,,,,,,,
perc_beat_baseline-Covid19Sim-Simulator,,,,,,0.5882352941,0.5882352941,0.5490196078,0.6078431373,0.6078431373,0.568627451,0.6862745098,0.568627451,0.4901960784,0.4705882353,0.5882352941,,0.4705882353,0.3333333333,0.568627451,0.6470588235,0.5098039216,0.4117647059,0.3529411765,0.6862745098,0.7254901961,0.6666666667,0.8431372549,0.8431372549,0.862745098,,0.5490196078,0.6470588235,0.568627451,0.7058823529
perc_beat_baseline-IHME-CurveFit,0.3529411765,0.4081632653,0.4705882353,0.5098039216,0.4901960784,,,0.5294117647,0.6470588235,0.6078431373,0.4705882353,0.4901960784,,0.2745098039,0.2745098039,0.4901960784,0.2941176471,,0.3921568627,0.431372549,0.431372549,,0.6078431373,0.7058823529,,,0.8235294118,0.8039215686,,,,0.7254901961,,0.6470588235,0.6470588235
perc_beat_baseline-IowaStateLW-STEM,,0.4693877551,0.5306122449,,0.4693877551,0.5306122449,0.5102040816,0.4489795918,0.4897959184,0.4489795918,0.4081632653,0.5102040816,0.5102040816,0.306122449,0.3469387755,0.4693877551,,0.2857142857,0.3673469388,0.5306122449,0.4081632653,0.6734693878,0.5510204082,0.2040816327,0.1632653061,0.2448979592,0.1836734694,0.2244897959,0.3265306122,0.4693877551,0.387755102,0.6734693878,0.612244898,0.4285714286,0.4285714286
perc_beat_baseline-JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,,,,,,,0.5882352941,,,,,,,,,
perc_beat_baseline-STH-3PU,,,,,,,,,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,,1,0,0,0,0.5,,,,,,
perc_beat_baseline-UCLA-SuEIR,,,0.4705882353,0.5882352941,0.5098039216,0.5882352941,0.568627451,0.4705882353,0.3921568627,0.4509803922,0.3137254902,0.3725490196,0.4901960784,0.3725490196,0.4117647059,0.5098039216,0.3333333333,0.3921568627,0.2941176471,0.3921568627,0.3921568627,0.1764705882,0.3333333333,0.2549019608,0.137254902,0.1960784314,0.1764705882,0.137254902,0.137254902,0.1568627451,0.1764705882,0.5490196078,0.4117647059,0.431372549,0.5098039216
perc_beat_baseline-USACE-ERDC_SEIR,,,,,0.5294117647,0.5882352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-USC-SI_kJalpha,,,,,,,,,,,0.6078431373,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-YYG-ParamSearch,,,,,,,,0.5882352941,0.568627451,0.7058823529,0.6666666667,0.7058823529,0.6274509804,0.4901960784,0.5882352941,0.568627451,0.6470588235,,,,,,,,,,,,,,,,,,
mean_abs_error-BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,1376.223529,1405.468627,1552.086275,1653.323529,,,,,,,
mean_abs_error-Baseline,1844.235294,1825.52549,1741.468627,1689.801961,1506.035294,1300.27451,1174.3,1185.394118,1022.492157,909.3490196,1279.445098,830.5705882,620.3333333,470.845098,363.2960784,722.0058824,694.9235294,734.3882353,685.9117647,695.8784314,739.1921569,814.4176471,993.4431373,1173.743137,1396.021569,1663.04902,1980.298039,2174.239216,2435.84902,2563.519608,2550.756863,2200.554902,2310.092157,1887.396078,2016.690196
mean_abs_error-Covid19Sim-Simulator,,,,,,764.0352941,853.0607843,878.8764706,687.645098,657.9098039,727.7470588,689.6431373,614.7823529,532.9215686,489.6098039,351.1960784,,,796.372549,540.0058824,673.9862745,921.1666667,1195.882353,1338.201961,1228.766667,1483.068627,1981.745098,1633.503922,1511.952941,1738.317647,,2042.154902,1766.4,1443.75098,1082.652941
mean_abs_error-IHME-CurveFit,1332.445098,,646.2568627,547.2294118,634.0137255,,,775.4215686,620.7294118,469.4117647,644.5843137,598.0254902,,511.7509804,456.2176471,540.045098,659.3921569,,1002.645098,1113.692157,1193.270588,,1162.55098,1285.188235,,,1095.047059,1232.078431,,,,1249.688235,,1160.901961,1333.760784
mean_abs_error-IowaStateLW-STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,,,,,,,1776.545098,,,,,,,,,
mean_abs_error-STH-3PU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-UCLA-SuEIR,,,727.4098039,751.9607843,639.7196078,717.4117647,736.5,845.3313725,877.454902,894.4098039,944.7117647,872.9294118,582.9705882,555.145098,426.927451,389.8470588,558.5078431,518.2686275,522.827451,588.2862745,716.4862745,953.9686275,1165.841176,1432.172549,1708.166667,1976.354902,2362.084314,2674,2856.360784,2968.658824,3205.333333,2092.641176,2327.123529,1874.945098,1872.888235
mean_abs_error-USACE-ERDC_SEIR,,,,,845.4431373,867.1509804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-USC-SI_kJalpha,,,,,,,,,,,947.6686275,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-YYG-ParamSearch,,,,,,,,811.5431373,715.4882353,624.7176471,611.645098,513.1784314,363.3705882,392.1666667,321.9431373,273.0941176,289.3039216,,,,,,,,,,,,,,,,,,
