,2020-04-20_2020-05-02,2020-04-27_2020-05-09,2020-05-04_2020-05-16,2020-05-11_2020-05-23,2020-05-18_2020-05-30,2020-05-25_2020-06-06,2020-06-01_2020-06-13,2020-06-08_2020-06-20,2020-06-15_2020-06-27,2020-06-22_2020-07-04,2020-06-29_2020-07-11,2020-07-06_2020-07-18,2020-07-13_2020-07-25,2020-07-20_2020-08-01,2020-07-27_2020-08-08,2020-08-03_2020-08-15,2020-08-10_2020-08-22,2020-08-17_2020-08-29,2020-08-24_2020-09-05,2020-08-31_2020-09-12,2020-09-07_2020-09-19,2020-09-14_2020-09-26,2020-09-21_2020-10-03,2020-09-28_2020-10-10,2020-10-05_2020-10-17,2020-10-12_2020-10-24,2020-10-19_2020-10-31,2020-10-26_2020-11-07,2020-11-02_2020-11-14,2020-11-09_2020-11-21,2020-11-16_2020-11-28,2020-11-23_2020-12-05,2020-11-30_2020-12-12,2020-12-07_2020-12-19,2020-12-14_2020-12-26,2020-12-21_2021-01-02,2020-12-28_2021-01-09,2021-01-04_2021-01-16,2021-01-11_2021-01-23,2021-01-18_2021-01-30,2021-01-25_2021-02-06,2021-02-01_2021-02-13,2021-02-08_2021-02-20,2021-02-15_2021-02-27,2021-02-22_2021-03-06
num_states_with_projections-CU-select,50,50,50,50,50,50,50,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-Caltech-CS156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,,51,51,,51
num_states_with_projections-Columbia_UNC-SurvCon,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,50,51,51,51,51,51,50,51,50,51,50,51,51,51,51,51,51,51,0,51,50,0,51,51,51
num_states_with_projections-Covid19Sim-Simulator,,,,,,51,51,51,51,51,51,51,51,51,51,51,,17,51,51,51,51,51,51,51,51,51,51,51,51,,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-CovidActNow-SEIR_CAN,,,,,,,51,51,51,43,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-CovidAnalytics-DELPHI,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-DDS-NBDS,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,51
num_states_with_projections-FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
num_states_with_projections-GT-DeepCOVID,,,47,21,25,30,35,33,37,40,40,41,46,45,44,43,44,46,48,47,48,49,44,45,46,49,48,46,46,45,44,48,49,50,50,50,50,49,50,50,50,48,49,49,48
num_states_with_projections-GT_CHHS-COVID19,,,,,,,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,1,1,1
num_states_with_projections-Google_Harvard-CPF,,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
num_states_with_projections-IHME-CurveFit,51,49,51,51,51,,51,51,51,51,51,51,,51,51,51,51,,51,51,51,,51,51,,,51,51,,,,51,,51,51,51,51,,,51,51,51,51,51,51
num_states_with_projections-IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,,,49,49,49,49,49,49,,49,49,49,49,49,49,,,,,,,,,,,,
num_states_with_projections-IUPUI-HkPrMobiDyR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
num_states_with_projections-IowaStateLW-STEM,,49,49,,49,49,49,49,49,49,49,49,49,49,49,49,,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
num_states_with_projections-JCB-PRM,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,,,,,,,
num_states_with_projections-JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,51,51,51,51,51
num_states_with_projections-JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,,,,,,,50,,51,51,51,51,51,51,51,51,51,51,51,,50,49,51,51,50,51,51
num_states_with_projections-JHU_IDD-CovidSP,,0,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,45
num_states_with_projections-JHU_UNC_GAS-StatMechPool,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,51,51,,,,,,,,,,,,,,,
num_states_with_projections-Karlen-pypm,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-LANL-GrowthRate,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-LNQ-ens1,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-MITCovAlliance-SIR,,,,,,,,,,,51,51,51,51,51,51,,51,,,51,51,51,51,,,51,,,,,,,,,,,51,51,,,,,,
num_states_with_projections-MIT_CritData-GBCF,,,,,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,41,44,43,46,42
num_states_with_projections-MOBS-GLEAM_COVID,44,48,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
num_states_with_projections-MSRA-DeepST,,,,,,,,,,,,,,,,,,,,,,,,,,50,47,47,47,47,50,50,50,50,,,,,,,,,,,
num_states_with_projections-Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,50,50,50,50,50,50,50,51
num_states_with_projections-NotreDame-FRED,,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,7,7,,,,,,,,,,7
num_states_with_projections-NotreDame-mobility,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,,,,,,,,,
num_states_with_projections-OliverWyman-Navigator,,,,,,,,47,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-PSI-DRAFT,,,,,51,51,51,51,51,51,51,51,51,50,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-QJHong-Encounter,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
num_states_with_projections-Quantori-Multiagents,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,0,32,32,32,30,30,31,31,30,31,31,31,31,30,30,30,30,30,31,31,30,30,30,31,31,31,30,30,30,31
num_states_with_projections-RobertWalraven-ESG,,,,,,,,,,,,51,51,49,49,49,50,50,51,51,51,51,51,51,51,51,51,51,51,51,51,50,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-STH-3PU,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,2,2,2,2,,,,,,,,,,,,,,,,
num_states_with_projections-SWC-TerminusCM,,,,,,40,48,47,51,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-SigSci-TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,51,38,49,48
num_states_with_projections-SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,51
num_states_with_projections-TTU-squider,,,,,,,,,,,,,,,,,,51,51,,,51,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-UA-EpiCovDA,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-UCLA-SuEIR,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,51
num_states_with_projections-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
num_states_with_projections-UCSB-ACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,,,
num_states_with_projections-UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,,,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
num_states_with_projections-UChicago-CovidIL,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-UChicago-CovidIL_100,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-UChicago-CovidIL_10_+,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-UChicago-CovidIL_30_+,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-UChicago-CovidIL_40,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-UChicago-CovidIL_60,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-UChicago-CovidIL_80,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,,51,51,51,51,51,51,,51
num_states_with_projections-UMass-MechBayes,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-UMich-RidgeTfReg,,,,,,,,,,,,0,0,35,28,30,46,39,40,43,49,49,50,50,50,50,50,50,50,50,50,50,6,6,6,50,50,50,50,50,50,50,49,47,44
num_states_with_projections-USACE-ERDC_SEIR,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,51,,51,,,51,51,51,,,,,,,,,,,,
num_states_with_projections-USC-SI_kJalpha,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,51,,,,,,,,,,,,,,,
num_states_with_projections-UT-Mobility,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,51,51,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,,51,,51,,,,
num_states_with_projections-UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
num_states_with_projections-Wadhwani_AI-BayesOpt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,44,,44,,,,,,,
num_states_with_projections-WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,,,0,0,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,51,51,51,51,51,51,51,51
num_states_with_projections-YYG-ParamSearch,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-epiforecasts-ensemble1,,,,,,,,,15,14,14,22,23,23,23,29,27,45,48,46,46,46,44,47,47,47,46,42,48,47,48,47,50,50,51,51,51,49,51,51,51,51,51,51,51
num_states_beat_baseline-AIpert-pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,23,25,17,22,20,17,19,21,19
num_states_beat_baseline-Auquan-SEIR,,,,,6,4,1,0,0,17,20,25,,,,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,21,23,24,26,24,35,35,29,45,22,16,19,31,23,15,20,30,23,28,31,27
num_states_beat_baseline-CEID-Walk,,,,,,,,,,,,,,,,,26,24,19,20,24,28,20,27,25,32,25,31,27,32,32,31,33,30,27,19,27,24,22,19,22,19,9,12,13
num_states_beat_baseline-CMU-TimeSeries,,,,,,,,,,,,,,30,38,25,23,30,22,29,25,26,24,30,28,35,27,28,29,34,38,33,41,30,20,20,38,23,21,20,22,24,18,29,25
num_states_beat_baseline-COVIDhub-ensemble,,28,25,25,25,28,25,28,25,31,30,34,33,36,33,26,26,31,26,33,31,30,32,34,28,37,32,34,32,42,43,41,49,33,37,26,39,28,32,19,22,35,35,33,35
num_states_beat_baseline-COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,41,1,30
num_states_beat_baseline-CU-select,16,23,24,22,21,20,21,19,23,21,13,17,27,22,19,17,17,13,17,23,21,18,17,16,15,25,31,27,28,32,32,27,26,16,23,19,20,7,9,13,17,22,30,33,29
num_states_beat_baseline-Caltech-CS156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,41,38,35,41,32,35,29,41,25,21,23,,24,27,,29
num_states_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,,,,,26,22,25,23,20,25,28,28,26,31,30,22,19,1,29,16,29,13,,19,15,,20,32,21
num_states_beat_baseline-Covid19Sim-Simulator,,,,,,16,19,19,16,24,20,20,23,22,20,20,,4,11,27,21,26,21,18,15,15,11,27,29,23,,20,34,8,13,18,29,19,10,9,17,23,25,26,22
num_states_beat_baseline-CovidActNow-SEIR_CAN,,,,,,,12,10,16,9,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-CovidAnalytics-DELPHI,,26,16,21,16,22,27,21,22,27,24,21,25,31,23,20,19,17,23,26,15,18,23,18,14,24,12,23,19,19,23,25,35,19,30,24,27,24,18,14,19,22,27,27,25
num_states_beat_baseline-DDS-NBDS,,,,,,,,,,,,,,,23,17,13,19,18,27,23,24,21,27,22,23,31,26,20,30,25,29,24,28,14,22,26,18,19,10,11,24,18,,14
num_states_beat_baseline-FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-GT-DeepCOVID,,,6,3,16,9,13,11,13,15,21,9,20,21,18,17,17,21,21,26,18,29,23,23,20,32,26,21,26,27,29,28,42,29,29,26,32,32,24,27,24,25,34,25,25
num_states_beat_baseline-GT_CHHS-COVID19,,,,,,,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0
num_states_beat_baseline-Google_Harvard-CPF,,,,,,,,,,,,,,,,,,12,15,23,20,20,15,24,20,28,31,28,35,38,30,37,47,22,30,21,36,28,26,16,25,24,31,26,30
num_states_beat_baseline-IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-IHME-CurveFit,23,17,14,25,23,,21,22,22,26,24,25,,19,15,14,10,,15,18,17,,17,14,,,20,19,,,,21,,16,16,17,22,,,11,17,23,28,30,22
num_states_beat_baseline-IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,,,17,25,16,18,18,22,,16,16,20,18,10,12,,,,,,,,,,,,
num_states_beat_baseline-IUPUI-HkPrMobiDyR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
num_states_beat_baseline-IowaStateLW-STEM,,24,16,,19,16,12,17,19,18,17,19,22,11,16,14,,17,16,18,19,20,19,23,19,27,20,19,25,27,32,29,39,19,20,12,25,26,16,15,18,12,16,10,23
num_states_beat_baseline-JCB-PRM,,,,,,,,,,,,,,,30,14,17,24,30,29,30,34,36,30,24,33,29,29,29,32,35,31,42,32,30,15,37,,,,,,,,
num_states_beat_baseline-JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,15,13,12,15,16,16,26,29,27,23,28,29,19,41,28,25,16,14,13,10,,14,10,14,11,17
num_states_beat_baseline-JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,,,,,,,21,,28,29,21,31,31,26,47,30,25,17,34,,26,19,18,17,20,15,25
num_states_beat_baseline-JHU_IDD-CovidSP,,,,,3,5,5,9,18,11,9,19,18,17,17,6,4,7,16,18,18,17,21,26,20,24,24,14,9,8,26,22,28,15,18,14,23,20,17,16,20,17,23,20,15
num_states_beat_baseline-JHU_UNC_GAS-StatMechPool,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18,12,,,,,,,,,,,,,,,
num_states_beat_baseline-Karlen-pypm,,,,,,,,,,,,,,20,22,18,18,27,27,28,32,30,32,32,30,34,32,36,35,41,34,38,44,35,33,27,38,29,30,25,19,33,35,35,30
num_states_beat_baseline-LANL-GrowthRate,20,23,22,23,30,26,25,30,27,18,23,30,21,25,20,18,15,16,17,24,25,22,26,25,21,25,20,20,26,37,25,22,31,28,32,24,25,18,22,19,25,26,33,29,25
num_states_beat_baseline-LNQ-ens1,,,,,,,,,,,,,,32,25,23,20,18,24,27,24,20,28,30,28,30,29,31,32,40,37,29,32,30,30,21,12,15,29,25,26,32,37,36,26
num_states_beat_baseline-MITCovAlliance-SIR,,,,,,,,,,,14,13,7,18,16,13,,8,,,20,20,16,25,,,20,,,,,,,,,,,16,15,,,,,,
num_states_beat_baseline-MIT_CritData-GBCF,,,,,,,,,,,,,,,,,,,,,20,18,27,23,20,25,32,26,26,26,31,32,43,28,26,19,35,25,27,16,15,22,16,9,30
num_states_beat_baseline-MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,19,20,18,22,19
num_states_beat_baseline-MOBS-GLEAM_COVID,5,18,15,17,19,22,25,23,19,21,13,23,25,26,25,20,18,22,15,24,19,21,21,17,19,23,26,35,29,35,38,30,44,26,22,23,39,36,26,17,25,27,25,26,24
num_states_beat_baseline-MSRA-DeepST,,,,,,,,,,,,,,,,,,,,,,,,,,30,29,35,32,34,41,38,44,32,,,,,,,,,,,
num_states_beat_baseline-Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,17,10,41,33,28,17,18,24,14,24,34
num_states_beat_baseline-NotreDame-FRED,,,1,2,1,0,1,3,1,0,0,2,1,1,3,2,2,1,0,1,0,2,2,3,0,5,5,3,3,4,3,2,,1,2,,,,,,,,,,0
num_states_beat_baseline-NotreDame-mobility,,,,,,,,,,30,18,22,25,21,14,9,10,20,19,22,18,15,26,18,24,18,22,19,20,16,19,13,24,11,15,,,,,,,,,,
num_states_beat_baseline-OliverWyman-Navigator,,,,,,,,31,27,24,25,36,30,34,33,21,24,34,22,24,32,26,26,29,29,36,36,37,27,39,42,31,45,31,24,21,34,33,22,21,25,32,39,38,25
num_states_beat_baseline-PSI-DRAFT,,,,,20,18,22,16,17,20,17,16,15,18,14,14,12,13,18,23,16,19,26,22,17,19,13,13,17,19,23,12,26,16,17,12,26,23,18,14,18,16,17,26,20
num_states_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-Quantori-Multiagents,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,7,5,5,13,10,15,12,11,8,12,10,11,13,10,12,7,24,12,13,10,7,6,8,4,11,10,10,9,13
num_states_beat_baseline-RobertWalraven-ESG,,,,,,,,,,,,19,11,2,8,16,11,10,14,18,13,10,15,10,14,8,22,8,6,24,25,16,19,19,18,19,7,11,21,21,26,34,37,37,32
num_states_beat_baseline-STH-3PU,,,,,,,,,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,,
num_states_beat_baseline-SWC-TerminusCM,,,,,,11,16,11,20,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-SigSci-TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,16,17,17
num_states_beat_baseline-SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,,21,26,33,30,29,23,22,36,37,35,32,37,28,29,34,27,37,30,33,22,24,20,20,31,36,,31
num_states_beat_baseline-TTU-squider,,,,,,,,,,,,,,,,,,0,5,,,7,,7,6,5,8,14,14,12,11,11,23,18,15,14,18,18,10,8,7,7,10,11,9
num_states_beat_baseline-UA-EpiCovDA,,,,,,12,16,14,24,29,26,21,20,26,30,18,17,25,22,21,20,23,18,23,21,25,25,29,28,31,33,32,29,21,26,26,9,18,21,16,18,24,32,29,22
num_states_beat_baseline-UCLA-SuEIR,,,16,23,29,24,31,29,32,24,20,24,27,25,22,17,23,19,24,24,23,22,19,24,20,17,16,14,19,21,20,29,18,30,25,22,17,21,21,27,20,24,31,,17
num_states_beat_baseline-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,,,,,,,,,
num_states_beat_baseline-UCSB-ACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,30,20,28,15,38,17,22,24,32,18,16,7,16,,,,
num_states_beat_baseline-UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,,,,15,23,17,20,19,23,30,33,28,36,38,32,47,30,15,20,24,34,22,14,19,23,20,19,23
num_states_beat_baseline-UChicago-CovidIL,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-UChicago-CovidIL_100,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-UChicago-CovidIL_10_+,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-UChicago-CovidIL_30_+,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-UChicago-CovidIL_40,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-UChicago-CovidIL_60,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-UChicago-CovidIL_80,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,35,32,20,28,32,31,,33,14,36,20,23,18,,28
num_states_beat_baseline-UMass-MechBayes,,17,18,24,36,38,26,36,31,25,31,37,37,35,29,25,19,22,24,30,34,28,32,29,33,35,35,31,35,37,36,33,37,28,32,36,24,25,34,31,27,31,37,32,30
num_states_beat_baseline-UMich-RidgeTfReg,,,,,,,,,,,,,,11,9,8,14,11,9,17,18,14,17,19,24,24,23,24,22,19,23,16,3,3,2,16,25,19,13,9,14,19,25,22,21
