,predicted_cases,actual_cases,error,perc_error
CU-select,2765578.0,2890434,-124856.0,-4.3%
Columbia_UNC-SurvCon,2453603.0,2890434,-436831.0,-15.1%
COVIDhub-baseline,1859820.0,2890434,-1030614.0,-35.7%
JCB-PRM,1787974.9,2890434,-1102459.1,-38.1%
USACE-ERDC_SEIR,1737106.0,2890434,-1153328.0,-39.9%
JHUAPL-Bucky,1722624.0,2890434,-1167810.0,-40.4%
IBF-TimeSeries,1697071.0,2890434,-1193363.0,-41.3%
IowaStateLW-STEM,1637970.0,2890434,-1252464.0,-43.3%
JHU_IDD-CovidSP,1509418.4,2890434,-1381015.6,-47.8%
USC-SI_kJalpha,1425839.0,2890434,-1464595.0,-50.7%
UCLA-SuEIR,1271758.3,2890434,-1618675.7,-56.0%
Covid19Sim-Simulator,1060585.6,2890434,-1829848.4,-63.3%
LANL-GrowthRate,925889.0,2890434,-1964545.0,-68.0%
CovidAnalytics-DELPHI,706592.0,2890434,-2183842.0,-75.6%
RobertWalraven-ESG,,2890434,,
