,count,mean,median,std,min,25%,75%,max
JCB-PRM,51,546347985.1,133327738.1,1117061368.7,95574.2,12269916.6,530584235.2,6693389321.4
CU-select,51,754926194.2,111450249.0,1736244978.7,19600.0,19630206.5,837030625.0,10310574681.0
Covid19Sim-Simulator,51,859952453.4,211736562.1,1893296140.0,31135.7,40677240.0,990939241.8,12405447875.3
COVIDhub-baseline,51,880042469.4,235776025.0,1790682177.0,82944.0,33333458.5,1110903030.5,11056732801.0
USC-SI_kJalpha,51,1110488162.9,230918416.0,2383647463.2,7225.0,43728637.0,1018943174.5,12053844100.0
JHU_IDD-CovidSP,51,1186519958.6,329985148.0,2646044214.1,0.9,59985117.2,930453426.4,13227491017.3
JHUAPL-Bucky,51,1203327994.3,174533295.3,2448759884.5,3499.1,41866246.1,1364840855.1,14318393307.7
Karlen-pypm,51,1369100099.5,283962941.4,2824350480.4,34931.6,50718324.9,1530102770.9,14418125700.2
IowaStateLW-STEM,49,1370379094.0,389193984.0,2482354354.4,249001.0,73408062.5,1640094404.0,14683622976.0
UCLA-SuEIR,51,1774586863.7,419012510.2,3706218881.4,115399.7,180831550.2,1939240578.7,21226230489.5
LANL-GrowthRate,51,2028987720.5,421996562.8,4429157757.1,178140.7,200586076.2,1771096975.1,25373986910.0
RobertWalraven-ESG,51,2077888938.5,506457471.3,4017254363.1,126430.0,153337512.1,2045706840.4,19710138291.8
CovidAnalytics-DELPHI,51,2703290475.3,558896881.0,5782797961.0,235225.0,172644308.5,2574233162.0,31163547024.0
