,predicted_cases,actual_cases,error,perc_error
QJHong-Encounter,1697637.1,2246253,-548615.9,-24.4%
DDS-NBDS,1672972.4,2246253,-573280.6,-25.5%
JCB-PRM,1620739.4,2246253,-625513.6,-27.8%
CU-select,1615834.0,2246253,-630419.0,-28.1%
LNQ-ens1,1607990.5,2246253,-638262.5,-28.4%
USACE-ERDC_SEIR,1500451.0,2246253,-745802.0,-33.2%
Karlen-pypm,1500037.1,2246253,-746215.9,-33.2%
Columbia_UNC-SurvCon,1435403.6,2246253,-810849.4,-36.1%
UMich-RidgeTfReg,1403816.3,2246253,-842436.7,-37.5%
Covid19Sim-Simulator,1375884.4,2246253,-870368.6,-38.7%
COVIDhub-baseline,1342364.0,2246253,-903889.0,-40.2%
CEID-Walk,1338825.7,2246253,-907427.3,-40.4%
USC-SI_kJalpha,1333562.0,2246253,-912691.0,-40.6%
COVIDhub-ensemble,1333178.0,2246253,-913075.0,-40.6%
JHUAPL-Bucky,1214776.6,2246253,-1031476.4,-45.9%
IBF-TimeSeries,1206355.0,2246253,-1039898.0,-46.3%
JHU_IDD-CovidSP,1050077.3,2246253,-1196175.7,-53.3%
IowaStateLW-STEM,1048659.0,2246253,-1197594.0,-53.3%
UCLA-SuEIR,1036747.4,2246253,-1209505.6,-53.8%
RobertWalraven-ESG,1033175.7,2246253,-1213077.3,-54.0%
LANL-GrowthRate,912526.0,2246253,-1333727.0,-59.4%
CovidAnalytics-DELPHI,683409.0,2246253,-1562844.0,-69.6%
TTU-squider,629032.0,2246253,-1617221.0,-72.0%
Google_Harvard-CPF,,2246253,,
