,predicted_cases,actual_cases,error,perc_error
LNQ-ens1,951948.2,951753,195.2,0.0%
Karlen-pypm,955203.0,951753,3450.0,0.4%
UMich-RidgeTfReg,948070.9,951753,-3682.1,-0.4%
IEM_MED-CovidProject,917077.9,951753,-34675.1,-3.6%
Microsoft-DeepSTIA,1012579.9,951753,60826.9,6.4%
RobertWalraven-ESG,887840.6,951753,-63912.4,-6.7%
CovidAnalytics-DELPHI,1026643.0,951753,74890.0,7.9%
OneQuietNight-ML,876368.0,951753,-75385.0,-7.9%
JHUAPL-Bucky,1032478.8,951753,80725.8,8.5%
BPagano-RtDriven,1033028.1,951753,81275.1,8.5%
Covid19Sim-Simulator,1040002.0,951753,88249.0,9.3%
CU-select,1052640.0,951753,100887.0,10.6%
UVA-Ensemble,1054875.9,951753,103122.9,10.8%
FDANIHASU-Sweight,1062754.1,951753,111001.1,11.7%
COVIDhub-ensemble,1063231.0,951753,111478.0,11.7%
SigSci-TS,1068592.0,951753,116839.0,12.3%
USC-SI_kJalpha,1095124.0,951753,143371.0,15.1%
UCF-AEM,1105261.0,951753,153508.0,16.1%
JHU_CSSE-DECOM,1153298.0,951753,201545.0,21.2%
Columbia_UNC-SurvCon,1155280.0,951753,203527.0,21.4%
LANL-GrowthRate,732549.0,951753,-219204.0,-23.0%
QJHong-Encounter,1200585.3,951753,248832.3,26.1%
OliverWyman-Navigator,1224193.0,951753,272440.0,28.6%
UpstateSU-GRU,1234214.8,951753,282461.8,29.7%
MIT_ISOLAT-Mixtures,1234692.8,951753,282939.8,29.7%
COVIDhub-baseline,1315114.0,951753,363361.0,38.2%
CEID-Walk,1325655.7,951753,373902.7,39.3%
TTU-squider,1327674.3,951753,375921.3,39.5%
IowaStateLW-STEM,1358159.0,951753,406406.0,42.7%
IBF-TimeSeries,1385120.0,951753,433367.0,45.5%
MOBS-GLEAM_COVID,1404218.4,951753,452465.4,47.5%
JHU_IDD-CovidSP,1434972.6,951753,483219.6,50.8%
COVIDhub-trained_ensemble,1640763.0,951753,689010.0,72.4%
Google_Harvard-CPF,,951753,,
JHU_UNC_GAS-StatMechPool,,951753,,
