,predicted_cases,actual_cases,error,perc_error
Columbia_UNC-SurvCon,477613.0,479046,-1433.0,-0.3%
OneQuietNight-ML,483780.0,479046,4734.0,1.0%
MIT_ISOLAT-Mixtures,466419.7,479046,-12626.3,-2.6%
Covid19Sim-Simulator,492055.5,479046,13009.5,2.7%
COVIDhub-baseline,498363.0,479046,19317.0,4.0%
IowaStateLW-STEM,498615.0,479046,19569.0,4.1%
MOBS-GLEAM_COVID,456413.1,479046,-22632.9,-4.7%
COVIDhub-trained_ensemble,456047.0,479046,-22999.0,-4.8%
QJHong-Encounter,455736.1,479046,-23309.9,-4.9%
USC-SI_kJalpha,451532.0,479046,-27514.0,-5.7%
JHU_CSSE-DECOM,451336.0,479046,-27710.0,-5.8%
UVA-Ensemble,440888.6,479046,-38157.4,-8.0%
COVIDhub-ensemble,440786.0,479046,-38260.0,-8.0%
FDANIHASU-Sweight,438412.1,479046,-40633.9,-8.5%
UCF-AEM,435776.0,479046,-43270.0,-9.0%
IUPUI-HkPrMobiDyR,433604.4,479046,-45441.6,-9.5%
BPagano-RtDriven,432228.5,479046,-46817.5,-9.8%
LNQ-ens1,429982.1,479046,-49063.9,-10.2%
CovidAnalytics-DELPHI,426379.0,479046,-52667.0,-11.0%
JHU_IDD-CovidSP,538626.3,479046,59580.3,12.4%
UpstateSU-GRU,417575.9,479046,-61470.1,-12.8%
SigSci-TS,409810.0,479046,-69236.0,-14.5%
JHUAPL-Bucky,409038.2,479046,-70007.8,-14.6%
Microsoft-DeepSTIA,406177.6,479046,-72868.4,-15.2%
IEM_MED-CovidProject,405263.8,479046,-73782.2,-15.4%
UChicagoCHATTOPADHYAY-UnIT,403239.8,479046,-75806.2,-15.8%
Karlen-pypm,403218.2,479046,-75827.8,-15.8%
CU-select,399125.0,479046,-79921.0,-16.7%
OliverWyman-Navigator,396871.0,479046,-82175.0,-17.2%
UCLA-SuEIR,562715.4,479046,83669.4,17.5%
TTU-squider,579476.6,479046,100430.6,21.0%
RobertWalraven-ESG,375708.4,479046,-103337.6,-21.6%
Geneva-DetGrowth,355089.5,479046,-123956.5,-25.9%
LANL-GrowthRate,345764.0,479046,-133282.0,-27.8%
CEID-Walk,665125.1,479046,186079.1,38.8%
IBF-TimeSeries,284387.0,479046,-194659.0,-40.6%
UMich-RidgeTfReg,737150.7,479046,258104.7,53.9%
DDS-NBDS,1072852.4,479046,593806.4,124.0%
Google_Harvard-CPF,,479046,,
JHU_UNC_GAS-StatMechPool,,479046,,
