,total_deaths_2020-05-03,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
YYG-ParamSearch,71056,87608.4,92159,19926.4,21103,-1176.6,-5.6%
LANL-GrowthRate,71056,90077.8,92159,22395.8,21103,1292.8,6.1%
CU-select,71056,87173.0,92159,19491.0,21103,-1612.0,-7.6%
CovidAnalytics-DELPHI,71056,90447.0,92159,22765.0,21103,1662.0,7.9%
COVIDhub-ensemble,71056,86458.3,92159,18776.3,21103,-2326.7,-11.0%
UCLA-SuEIR,71056,86148.6,92159,18466.6,21103,-2636.4,-12.5%
Baseline,71056,91455.3,92159,23773.3,21103,2670.3,12.7%
COVIDhub-baseline,71056,91597.0,92159,23915.0,21103,2812.0,13.3%
MOBS-GLEAM_COVID,71056,85826.9,92159,18144.9,21103,-2958.1,-14.0%
IHME-CurveFit,71056,94170.7,92159,26488.7,21103,5385.7,25.5%
IowaStateLW-STEM,71056,81377.0,92159,13695.0,21103,-7408.0,-35.1%
UT-Mobility,71056,78242.9,92159,10560.9,21103,-10542.1,-50.0%
GT-DeepCOVID,71056,104062.5,92159,36380.5,21103,15277.5,72.4%
NotreDame-FRED,71056,,92159,,21103,,
UMass-MechBayes,71056,,92159,,21103,,
