,total_deaths_2020-05-17,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
MOBS-GLEAM_COVID,92977,97252.5,100655,7690.5,7678.0,12.5,0.2%
GT-DeepCOVID,92977,96995.2,100655,7433.2,7678.0,-244.8,-3.2%
PSI-DRAFT,92977,96943.5,100655,7381.5,7678.0,-296.5,-3.9%
COVIDhub-ensemble,92977,97571.7,100655,8009.7,7678.0,331.7,4.3%
YYG-ParamSearch,92977,97624.5,100655,8062.5,7678.0,384.5,5.0%
UMass-MechBayes,92977,97749.0,100655,8187.0,7678.0,509.0,6.6%
LANL-GrowthRate,92977,96582.5,100655,7020.5,7678.0,-657.5,-8.6%
Imperial-combined,92977,98059.5,100655,8497.5,7678.0,819.5,10.7%
Baseline,92977,98164.3,100655,8602.3,7678.0,924.3,12.0%
UCLA-SuEIR,92977,98199.0,100655,8637.0,7678.0,959.0,12.5%
UT-Mobility,92977,96128.0,100655,6566.0,7678.0,-1112.0,-14.5%
CU-select,92977,95885.0,100655,6323.0,7678.0,-1355.0,-17.6%
COVIDhub-baseline,92977,98713.0,100655,9151.0,7678.0,1473.0,19.2%
CovidAnalytics-DELPHI,92977,99421.0,100655,9859.0,7678.0,2181.0,28.4%
IHME-CurveFit,92977,99680.4,100655,10118.4,7678.0,2440.4,31.8%
Geneva-DetGrowth,92977,94610.0,100655,5048.0,7678.0,-2630.0,-34.3%
USACE-ERDC_SEIR,92977,94523.8,100655,4961.8,7678.0,-2716.2,-35.4%
IowaStateLW-STEM,92977,100670.5,100655,11108.5,7678.0,3430.5,44.7%
JHU_IDD-CovidSP,92977,104439.9,100655,14877.9,7678.0,7199.9,93.8%
Auquan-SEIR,92977,,100655,,7678.0,,
NotreDame-FRED,92977,,100655,,7678.0,,
UChicago-CovidIL,92977,,100655,,7678.0,,
UChicago-CovidIL_100,92977,,100655,,7678.0,,
UChicago-CovidIL_10_+,92977,,100655,,7678.0,,
UChicago-CovidIL_30_+,92977,,100655,,7678.0,,
