,predicted_cases,actual_cases,error,perc_error
UpstateSU-GRU,3273163.1,3144469,128694.1,4.1%
TTU-squider,3464522.5,3144469,320053.5,10.2%
JHU_IDD-CovidSP,3598530.5,3144469,454061.5,14.4%
UCLA-SuEIR,4042862.6,3144469,898393.6,28.6%
UMich-RidgeTfReg,4159344.6,3144469,1014875.6,32.3%
LNQ-ens1,4184096.7,3144469,1039627.7,33.1%
LANL-GrowthRate,4251839.0,3144469,1107370.0,35.2%
MOBS-GLEAM_COVID,4320675.7,3144469,1176206.7,37.4%
UCF-AEM,4380233.0,3144469,1235764.0,39.3%
RobertWalraven-ESG,4494532.2,3144469,1350063.2,42.9%
IBF-TimeSeries,4542096.7,3144469,1397627.7,44.4%
JHUAPL-Bucky,4545057.4,3144469,1400588.4,44.5%
CEID-Walk,4639082.4,3144469,1494613.4,47.5%
BPagano-RtDriven,4658506.8,3144469,1514037.8,48.1%
USC-SI_kJalpha,4679370.0,3144469,1534901.0,48.8%
Covid19Sim-Simulator,4683690.4,3144469,1539221.4,49.0%
COVIDhub-baseline,4695234.0,3144469,1550765.0,49.3%
Karlen-pypm,4703116.9,3144469,1558647.9,49.6%
SigSci-TS,4716797.0,3144469,1572328.0,50.0%
COVIDhub-ensemble,4720482.0,3144469,1576013.0,50.1%
Microsoft-DeepSTIA,4738991.1,3144469,1594522.1,50.7%
IEM_MED-CovidProject,4753246.3,3144469,1608777.3,51.2%
OneQuietNight-ML,4865335.0,3144469,1720866.0,54.7%
IowaStateLW-STEM,4952994.0,3144469,1808525.0,57.5%
QJHong-Encounter,4973142.0,3144469,1828673.0,58.2%
Columbia_UNC-SurvCon,5078519.0,3144469,1934050.0,61.5%
CU-select,5088810.0,3144469,1944341.0,61.8%
OliverWyman-Navigator,5390267.0,3144469,2245798.0,71.4%
CovidAnalytics-DELPHI,5931778.0,3144469,2787309.0,88.6%
UVA-Ensemble,5981236.8,3144469,2836767.8,90.2%
MIT_ISOLAT-Mixtures,6237710.5,3144469,3093241.5,98.4%
DDS-NBDS,13907452.0,3144469,10762983.0,342.3%
Google_Harvard-CPF,,3144469,,
JHU_CSSE-DECOM,,3144469,,
UCSB-ACTS,,3144469,,
