,predicted_cases,actual_cases,error,perc_error
CEID-Walk,1138379.4,1137196,1183.4,0.1%
COVIDhub-baseline,1135504.0,1137196,-1692.0,-0.1%
DDS-NBDS,1154640.8,1137196,17444.8,1.5%
UMich-RidgeTfReg,1115189.5,1137196,-22006.5,-1.9%
COVIDhub-ensemble,1083807.0,1137196,-53389.0,-4.7%
QJHong-Encounter,1078902.2,1137196,-58293.8,-5.1%
JCB-PRM,1063890.9,1137196,-73305.1,-6.4%
LNQ-ens1,1054723.7,1137196,-82472.3,-7.3%
Columbia_UNC-SurvCon,1221031.0,1137196,83835.0,7.4%
IowaStateLW-STEM,1231366.0,1137196,94170.0,8.3%
JHUAPL-Bucky,1247131.3,1137196,109935.3,9.7%
USACE-ERDC_SEIR,1025048.7,1137196,-112147.3,-9.9%
Karlen-pypm,1016759.9,1137196,-120436.1,-10.6%
IBF-TimeSeries,992179.9,1137196,-145016.1,-12.8%
USC-SI_kJalpha,959229.0,1137196,-177967.0,-15.6%
JHU_IDD-CovidSP,938774.7,1137196,-198421.3,-17.4%
Covid19Sim-Simulator,864655.6,1137196,-272540.4,-24.0%
UCLA-SuEIR,854635.3,1137196,-282560.7,-24.8%
CovidAnalytics-DELPHI,710611.0,1137196,-426585.0,-37.5%
CU-select,1584299.0,1137196,447103.0,39.3%
LANL-GrowthRate,631510.5,1137196,-505685.5,-44.5%
RobertWalraven-ESG,606432.6,1137196,-530763.4,-46.7%
