,predicted_cases,actual_cases,error,perc_error
JHUAPL-Bucky,599883.3,612149,-12265.7,-2.0%
QJHong-Encounter,590225.5,612149,-21923.5,-3.6%
OliverWyman-Navigator,638879.0,612149,26730.0,4.4%
UMich-RidgeTfReg,583895.8,612149,-28253.2,-4.6%
CU-select,583237.0,612149,-28912.0,-4.7%
LNQ-ens1,578124.1,612149,-34024.9,-5.6%
USC-SI_kJalpha,572793.0,612149,-39356.0,-6.4%
COVIDhub-baseline,559694.0,612149,-52455.0,-8.6%
CEID-Walk,556556.4,612149,-55592.6,-9.1%
IQVIA_ACOE-STAN,553089.0,612149,-59060.0,-9.6%
IBF-TimeSeries,552909.0,612149,-59240.0,-9.7%
JCB-PRM,541663.3,612149,-70485.7,-11.5%
USACE-ERDC_SEIR,686238.3,612149,74089.3,12.1%
DDS-NBDS,690223.6,612149,78074.6,12.8%
IowaStateLW-STEM,533247.0,612149,-78902.0,-12.9%
COVIDhub-ensemble,525370.0,612149,-86779.0,-14.2%
UCLA-SuEIR,504989.5,612149,-107159.5,-17.5%
Columbia_UNC-SurvCon,486625.0,612149,-125524.0,-20.5%
Karlen-pypm,480021.0,612149,-132128.0,-21.6%
LANL-GrowthRate,472518.0,612149,-139631.0,-22.8%
Covid19Sim-Simulator,413909.3,612149,-198239.7,-32.4%
JHU_IDD-CovidSP,399151.0,612149,-212998.0,-34.8%
RobertWalraven-ESG,361292.6,612149,-250856.4,-41.0%
CovidAnalytics-DELPHI,320015.0,612149,-292134.0,-47.7%
