,predicted_cases,actual_cases,error,perc_error
OliverWyman-Navigator,817059.0,873893,-56834.0,-6.5%
QJHong-Encounter,765651.7,873893,-108241.3,-12.4%
JCB-PRM,763668.3,873893,-110224.7,-12.6%
LNQ-ens1,762247.2,873893,-111645.8,-12.8%
USACE-ERDC_SEIR,747372.9,873893,-126520.1,-14.5%
CU-select,732729.0,873893,-141164.0,-16.2%
DDS-NBDS,726251.8,873893,-147641.2,-16.9%
UMich-RidgeTfReg,699798.3,873893,-174094.7,-19.9%
Karlen-pypm,698501.9,873893,-175391.1,-20.1%
USC-SI_kJalpha,693084.0,873893,-180809.0,-20.7%
Columbia_UNC-SurvCon,678581.3,873893,-195311.7,-22.3%
COVIDhub-baseline,671182.0,873893,-202711.0,-23.2%
CEID-Walk,668385.5,873893,-205507.5,-23.5%
Covid19Sim-Simulator,667188.5,873893,-206704.5,-23.7%
IQVIA_ACOE-STAN,665818.0,873893,-208075.0,-23.8%
COVIDhub-ensemble,662367.0,873893,-211526.0,-24.2%
JHUAPL-Bucky,636077.3,873893,-237815.7,-27.2%
RobertWalraven-ESG,622720.9,873893,-251172.1,-28.7%
IBF-TimeSeries,602279.0,873893,-271614.0,-31.1%
UCLA-SuEIR,581449.7,873893,-292443.3,-33.5%
IowaStateLW-STEM,564806.0,873893,-309087.0,-35.4%
LANL-GrowthRate,546291.2,873893,-327601.8,-37.5%
JHU_IDD-CovidSP,483782.0,873893,-390111.0,-44.6%
CovidAnalytics-DELPHI,374024.0,873893,-499869.0,-57.2%
TTU-squider,350832.7,873893,-523060.3,-59.9%
Google_Harvard-CPF,,873893,,
