,predicted_cases,actual_cases,error,perc_error
Karlen-pypm,4495194.9,4519175,-23980.1,-0.5%
BPagano-RtDriven,4490660.8,4519175,-28514.2,-0.6%
OneQuietNight-ML,4553398.0,4519175,34223.0,0.8%
OliverWyman-Navigator,4458647.0,4519175,-60528.0,-1.3%
UCF-AEM,4656360.0,4519175,137185.0,3.0%
JHUAPL-Bucky,4662320.0,4519175,143145.0,3.2%
QJHong-Encounter,4669538.0,4519175,150363.0,3.3%
COVIDhub-baseline,4302174.0,4519175,-217001.0,-4.8%
COVIDhub-ensemble,4268004.0,4519175,-251171.0,-5.6%
LNQ-ens1,4262573.2,4519175,-256601.8,-5.7%
IBF-TimeSeries,4790550.0,4519175,271375.0,6.0%
CEID-Walk,4247567.3,4519175,-271607.7,-6.0%
Covid19Sim-Simulator,4245231.0,4519175,-273944.0,-6.1%
Microsoft-DeepSTIA,4241372.4,4519175,-277802.6,-6.1%
RobertWalraven-ESG,4144879.2,4519175,-374295.8,-8.3%
TTU-squider,4066324.3,4519175,-452850.7,-10.0%
USC-SI_kJalpha,4041094.0,4519175,-478081.0,-10.6%
UMich-RidgeTfReg,5018456.5,4519175,499281.5,11.0%
IEM_MED-CovidProject,3993282.4,4519175,-525892.6,-11.6%
UCLA-SuEIR,3981091.3,4519175,-538083.7,-11.9%
LANL-GrowthRate,3947079.0,4519175,-572096.0,-12.7%
DDS-NBDS,5129617.3,4519175,610442.3,13.5%
CovidAnalytics-DELPHI,3895736.0,4519175,-623439.0,-13.8%
IowaStateLW-STEM,3784380.0,4519175,-734795.0,-16.3%
Columbia_UNC-SurvCon,3571675.0,4519175,-947500.0,-21.0%
UVA-Ensemble,5681497.6,4519175,1162322.6,25.7%
JHU_IDD-CovidSP,3042498.3,4519175,-1476676.7,-32.7%
CU-select,6465938.0,4519175,1946763.0,43.1%
Google_Harvard-CPF,,4519175,,
JHU_CSSE-DECOM,,4519175,,
JHU_UNC_GAS-StatMechPool,,4519175,,
UCSB-ACTS,,4519175,,
Wadhwani_AI-BayesOpt,,4519175,,
