,count,mean,median,std,min,25%,75%,max
UMass-MechBayes,51.0,20.1,10.0,40.8,0.0,2.0,19.0,275.0
Baseline_0.98,51.0,25.3,8.4,38.6,0.0,2.1,29.4,172.2
YYG-ParamSearch,51.0,29.8,8.4,47.9,0.1,1.7,40.9,234.7
LANL-GrowthRate,51.0,29.8,13.0,49.3,0.1,2.2,30.9,248.0
Baseline,51.0,29.9,9.6,46.8,0.0,2.6,33.3,210.1
COVIDhub-ensemble,51.0,30.0,12.9,44.7,0.3,3.8,26.1,222.8
UCLA-SuEIR,51.0,33.6,12.8,50.6,0.1,5.3,36.5,223.7
MOBS_NEU-GLEAM_COVID,51.0,38.1,7.7,64.2,0.2,2.7,41.4,261.4
UT-Mobility,51.0,38.1,15.0,57.7,0.0,4.5,45.8,294.5
MIT_CovidAnalytics-DELPHI,51.0,38.8,13.0,60.8,0.0,3.0,46.0,282.0
CU-select,51.0,46.4,21.3,61.9,0.0,9.5,67.0,304.0
JHU_IDD-CovidSP,51.0,68.3,24.6,111.1,0.3,12.5,55.5,503.4
Covid19Sim-Simulator,51.0,74.2,47.0,87.9,0.2,8.4,115.0,355.1
USACE-ERDC_SEIR,51.0,75.7,13.2,142.2,0.3,3.4,84.0,769.4
IowaStateLW-STEM,51.0,78.1,29.0,121.6,0.0,5.5,79.0,610.0
UA-EpiCovDA,51.0,80.6,32.0,100.3,0.0,12.0,110.5,391.0
PSI-DRAFT,51.0,106.0,19.0,238.6,0.0,5.5,78.0,1383.0
Auquan-SEIR,51.0,259.9,94.0,536.9,2.0,34.0,215.0,3294.0
