,count,mean,median,std,min,25%,75%,max
UMass-MechBayes,51.0,11171.1,289.0,28479.4,0.0,49.0,4032.5,152881.0
UCLA-SuEIR,51.0,13737.4,898.3,41989.3,0.8,105.0,5217.1,213841.9
LANL-GrowthRate,51.0,18666.5,387.5,79908.8,0.0,19.3,3982.1,564102.3
UT-Mobility,51.0,19178.3,661.2,50619.9,0.0,47.5,11875.8,270251.4
YYG-ParamSearch,51.0,20255.1,238.6,58822.9,0.1,32.6,3071.6,315304.0
CU-select,51.0,24218.1,784.0,65746.9,0.0,148.0,13714.0,372100.0
COVIDhub-ensemble,51.0,25236.6,797.5,93909.3,0.1,80.6,6043.5,628610.7
Baseline_0.98,51.0,37893.9,714.7,188500.9,0.0,69.1,3169.8,1315369.4
MOBS_NEU-GLEAM_COVID,51.0,53191.1,1435.5,167554.7,0.0,116.8,8838.4,841296.8
MIT_CovidAnalytics-DELPHI,51.0,53235.4,2500.0,145281.7,1.0,122.0,15145.0,600625.0
IHME-CurveFit,51.0,57311.2,782.7,166733.1,1.8,123.2,6746.8,852889.2
Baseline,51.0,68056.5,484.0,316593.6,0.0,47.2,4104.2,2180685.1
USACE-ERDC_SEIR,51.0,73266.9,1182.0,206230.1,0.3,52.7,17152.9,916673.2
IowaStateLW-STEM,51.0,95890.8,2209.0,458635.0,0.0,342.5,10016.0,3225616.0
PSI-DRAFT,51.0,176283.8,1369.0,877432.8,0.0,156.5,9072.6,6222530.2
Auquan-SEIR,51.0,350126.7,8836.0,1569734.4,4.0,1160.0,46450.0,10850436.0
JHU_IDD-CovidSP,51.0,999814.5,39076.9,3317127.8,9.2,4414.8,285584.3,20848619.8
UA-EpiCovDA,51.0,1039342.1,5041.0,4925125.5,1.0,1076.5,57697.0,30658369.0
