,total_deaths_2020-07-26,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
Geneva-DetGrowth,147782,154411.2,155207,7476.2,7425,51.2,0.7%
USACE-ERDC_SEIR,147782,154249.9,155207,7314.9,7425,-110.1,-1.5%
DDS-NBDS,147782,154485.8,155207,7550.8,7425,125.8,1.7%
CU-select,147782,154024.0,155207,7089.0,7425,-336.0,-4.5%
UT-Mobility,147782,154770.5,155207,7835.5,7425,410.5,5.5%
STH-3PU,147782,153601.0,155207,6666.0,7425,-759.0,-10.2%
GT-DeepCOVID,147782,153445.7,155207,6510.7,7425,-914.3,-12.3%
QJHong-Encounter,147782,153382.3,155207,6447.3,7425,-977.7,-13.2%
MOBS-GLEAM_COVID,147782,153315.0,155207,6380.0,7425,-1045.0,-14.1%
LNQ-ens1,147782,153314.4,155207,6379.4,7425,-1045.6,-14.1%
UA-EpiCovDA,147782,153228.0,155207,6293.0,7425,-1132.0,-15.2%
Columbia_UNC-SurvCon,147782,153196.0,155207,6261.0,7425,-1164.0,-15.7%
UCLA-SuEIR,147782,153131.3,155207,6196.3,7425,-1228.7,-16.5%
JCB-PRM,147782,153081.3,155207,6146.3,7425,-1278.7,-17.2%
CovidAnalytics-DELPHI,147782,153030.0,155207,6095.0,7425,-1330.0,-17.9%
COVIDhub-ensemble,147782,153024.0,155207,6089.0,7425,-1336.0,-18.0%
OliverWyman-Navigator,147782,153023.6,155207,6088.6,7425,-1336.4,-18.0%
COVIDhub-baseline,147782,152801.0,155207,5866.0,7425,-1559.0,-21.0%
PSI-DRAFT,147782,152752.5,155207,5817.5,7425,-1607.5,-21.6%
UMass-MechBayes,147782,152462.0,155207,5527.0,7425,-1898.0,-25.6%
IowaStateLW-STEM,147782,152446.0,155207,5511.0,7425,-1914.0,-25.8%
YYG-ParamSearch,147782,152445.9,155207,5510.9,7425,-1914.1,-25.8%
Baseline,147782,152421.6,155207,5486.6,7425,-1938.4,-26.1%
USC-SI_kJalpha,147782,151986.0,155207,5051.0,7425,-2374.0,-32.0%
IHME-CurveFit,147782,151670.3,155207,4735.3,7425,-2689.7,-36.2%
JHU_IDD-CovidSP,147782,151667.0,155207,4732.0,7425,-2693.0,-36.3%
LANL-GrowthRate,147782,151379.4,155207,4444.4,7425,-2980.6,-40.1%
UMich-RidgeTfReg,147782,151360.2,155207,4425.2,7425,-2999.8,-40.4%
RobertWalraven-ESG,147782,150755.7,155207,3820.7,7425,-3604.3,-48.5%
NotreDame-mobility,147782,149637.7,155207,2702.7,7425,-4722.3,-63.6%
UCM_MESALab-FoGSEIR,147782,149392.0,155207,2457.0,7425,-4968.0,-66.9%
epiforecasts-ensemble1,147782,148679.0,155207,1744.0,7425,-5681.0,-76.5%
Covid19Sim-Simulator,147782,147075.0,155207,140.0,7425,-7285.0,-98.1%
Karlen-pypm,147782,145238.1,155207,-1696.9,7425,-9121.9,-122.9%
MITCovAlliance-SIR,147782,145183.5,155207,-1751.5,7425,-9176.5,-123.6%
CMU-TimeSeries,147782,,155207,,7425,,
GT_CHHS-COVID19,147782,,155207,,7425,,
NotreDame-FRED,147782,,155207,,7425,,
