,total_deaths_2020-11-29,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
SteveMcConnell-CovidComplete,269518,335313.0,337631,68440.0,68113,327.0,0.5%
TTU-squider,269518,338981.3,337631,72108.3,68113,3995.3,5.9%
QJHong-Encounter,269518,330015.7,337631,63142.7,68113,-4970.3,-7.3%
MIT_CritData-GBCF,269518,329908.0,337631,63035.0,68113,-5078.0,-7.5%
Karlen-pypm,269518,329315.7,337631,62442.7,68113,-5670.3,-8.3%
OliverWyman-Navigator,269518,329181.9,337631,62308.9,68113,-5804.1,-8.5%
RPI_UW-Mob_Collision,269518,327928.9,337631,61055.9,68113,-7057.1,-10.4%
JCB-PRM,269518,327919.4,337631,61046.4,68113,-7066.6,-10.4%
BPagano-RtDriven,269518,326461.6,337631,59588.6,68113,-8524.4,-12.5%
Covid19Sim-Simulator,269518,345730.6,337631,78857.6,68113,10744.6,15.8%
JHU_CSSE-DECOM,269518,322789.0,337631,55916.0,68113,-12197.0,-17.9%
UCSD_NEU-DeepGLEAM,269518,322677.0,337631,55804.0,68113,-12309.0,-18.1%
USC-SI_kJalpha,269518,322111.0,337631,55238.0,68113,-12875.0,-18.9%
CovidAnalytics-DELPHI,269518,321281.0,337631,54408.0,68113,-13705.0,-20.1%
MOBS-GLEAM_COVID,269518,321279.9,337631,54406.9,68113,-13706.1,-20.1%
Columbia_UNC-SurvCon,269518,320289.0,337631,53416.0,68113,-14697.0,-21.6%
JHUAPL-Bucky,269518,320279.4,337631,53406.4,68113,-14706.6,-21.6%
GT-DeepCOVID,269518,319645.1,337631,52772.1,68113,-15340.9,-22.5%
MSRA-DeepST,269518,319523.6,337631,52650.6,68113,-15462.4,-22.7%
COVIDhub-ensemble,269518,317064.0,337631,50191.0,68113,-17922.0,-26.3%
IBF-TimeSeries,269518,317006.0,337631,50133.0,68113,-17980.0,-26.4%
UMass-MechBayes,269518,316894.0,337631,50021.0,68113,-18092.0,-26.6%
Caltech-CS156,269518,316835.4,337631,49962.4,68113,-18150.6,-26.6%
IowaStateLW-STEM,269518,315308.0,337631,48435.0,68113,-19678.0,-28.9%
JHU_IDD-CovidSP,269518,313075.7,337631,46202.7,68113,-21910.3,-32.2%
UT-Mobility,269518,313016.5,337631,46143.5,68113,-21969.5,-32.3%
LNQ-ens1,269518,312308.2,337631,45435.2,68113,-22677.8,-33.3%
UMich-RidgeTfReg,269518,309527.2,337631,42654.2,68113,-25458.8,-37.4%
UA-EpiCovDA,269518,308924.0,337631,42051.0,68113,-26062.0,-38.3%
CEID-Walk,269518,308234.6,337631,41361.6,68113,-26751.4,-39.3%
CU-select,269518,307303.0,337631,40430.0,68113,-27683.0,-40.6%
epiforecasts-ensemble1,269518,307065.0,337631,40192.0,68113,-27921.0,-41.0%
COVIDhub-baseline,269518,306448.5,337631,39575.5,68113,-28537.5,-41.9%
Baseline,269518,305471.4,337631,38598.4,68113,-29514.6,-43.3%
NotreDame-mobility,269518,305057.7,337631,38184.7,68113,-29928.3,-43.9%
PSI-DRAFT,269518,303908.5,337631,37035.5,68113,-31077.5,-45.6%
LANL-GrowthRate,269518,303859.5,337631,36986.5,68113,-31126.5,-45.7%
UCLA-SuEIR,269518,302711.8,337631,35838.8,68113,-32274.2,-47.4%
DDS-NBDS,269518,300535.3,337631,33662.3,68113,-34450.7,-50.6%
UCM_MESALab-FoGSEIR,269518,298153.0,337631,31280.0,68113,-36833.0,-54.1%
RobertWalraven-ESG,269518,287597.2,337631,20724.2,68113,-47388.8,-69.6%
WalmartLabsML-LogForecasting,269518,283637.5,337631,16764.5,68113,-51348.5,-75.4%
USACE-ERDC_SEIR,269518,395328.7,337631,128455.7,68113,60342.7,88.6%
CMU-TimeSeries,269518,,337631,,68113,,
Google_Harvard-CPF,269518,,337631,,68113,,
UCSB-ACTS,269518,,337631,,68113,,
