,2020-07-06_2020-07-11,2020-07-13_2020-07-18,2020-07-20_2020-07-25,2020-07-27_2020-08-01,2020-08-03_2020-08-08,2020-08-10_2020-08-15,2020-08-17_2020-08-22,2020-08-24_2020-08-29,2020-08-31_2020-09-05,2020-09-07_2020-09-12,2020-09-14_2020-09-19,2020-09-21_2020-09-26,2020-09-28_2020-10-03,2020-10-05_2020-10-10,2020-10-12_2020-10-17,2020-10-19_2020-10-24,2020-10-26_2020-10-31,2020-11-02_2020-11-07,2020-11-09_2020-11-14,2020-11-16_2020-11-21,2020-11-23_2020-11-28,2020-11-30_2020-12-05,2020-12-07_2020-12-12,2020-12-14_2020-12-19,2020-12-21_2020-12-26,2020-12-28_2021-01-02,2021-01-04_2021-01-09,2021-01-11_2021-01-16,2021-01-18_2021-01-23,2021-01-25_2021-01-30,2021-02-01_2021-02-06,2021-02-08_2021-02-13,2021-02-15_2021-02-20,2021-02-22_2021-02-27,2021-03-01_2021-03-06
num_states_with_projections-OliverWyman-Navigator,51,51,51,51,51,51,51,51,51,0,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-OneQuietNight-ML,,,,,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-QJHong-Encounter,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
num_states_with_projections-RobertWalraven-ESG,51,51,49,49,49,50,50,51,51,51,51,51,48,51,51,51,51,51,51,50,51,51,51,51,50,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-SigSci-TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,51,38,49,48,50
num_states_with_projections-TTU-squider,,,,,,,51,51,,,51,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-UCF-AEM,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
num_states_with_projections-UCLA-SuEIR,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,51,51
num_states_with_projections-UCSB-ACTS,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,,,,
num_states_with_projections-UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,,51,51,51,51,51,51,,51,51
num_states_with_projections-UMich-RidgeTfReg,0,0,31,26,28,45,36,40,43,49,49,50,50,50,50,50,50,50,50,50,50,6,6,6,50,50,50,50,50,50,50,49,47,44,42
num_states_with_projections-USACE-ERDC_SEIR,51,51,51,51,51,51,51,51,51,51,51,51,51,,51,,51,,,51,51,51,,,,,,,,,,,,,
num_states_with_projections-USC-SI_kJalpha,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,51,51,,,,,,,,,,,,,,,,
num_states_with_projections-UVA-Ensemble,,,,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,,51,51,51
num_states_with_projections-UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
num_states_with_projections-Wadhwani_AI-BayesOpt,,,,,,,,,,,,,,,,,,,,,,,45,45,44,,44,,,,,,,,
num_states_beat_baseline-BPagano-RtDriven,,,,,,,,,,,,,,,,17,21,13,26,21,8,30,20,13,13,24,28,23,26,25,32,37,30,12,20
num_states_beat_baseline-CEID-Walk,,,,,,24,25,19,16,25,23,25,25,26,30,28,28,27,30,32,23,27,22,24,23,27,26,20,25,27,30,28,26,19,25
num_states_beat_baseline-COVIDhub-ensemble,,,29,27,17,25,35,18,22,38,19,17,17,10,12,8,26,25,32,39,19,32,32,30,23,28,11,28,22,37,44,45,43,20,33
num_states_beat_baseline-COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,40,0,25,28
num_states_beat_baseline-CU-select,,,,,,28,25,23,18,20,21,11,23,22,16,26,28,32,34,35,29,20,25,29,31,3,26,12,33,35,40,37,40,14,31
num_states_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-Covid19Sim-Simulator,17,16,13,10,6,,8,9,25,31,24,14,21,21,11,13,14,14,3,,28,28,17,23,19,31,7,34,7,8,10,24,22,24,34
num_states_beat_baseline-CovidActNow-SEIR_CAN,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-CovidAnalytics-DELPHI,10,4,6,8,16,5,13,9,9,17,6,2,3,1,4,1,9,4,2,3,13,20,15,15,22,19,16,7,17,18,19,25,29,13,12
num_states_beat_baseline-DDS-NBDS,,,,9,28,27,27,21,18,31,16,27,22,11,17,17,37,37,37,28,20,19,22,21,29,16,11,15,23,23,24,20,,18,21
num_states_beat_baseline-FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-Geneva-DetGrowth,32,30,27,18,21,21,19,24,17,31,12,24,30,26,28,34,35,41,46,32,19,30,26,27,29,15,26,16,28,31,35,34,36,13,22
num_states_beat_baseline-Google_Harvard-CPF,,,,,,,,,,,,,,,4,,32,34,36,28,18,27,25,21,8,7,21,26,19,27,32,32,30,19,20
num_states_beat_baseline-IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-IEM_MED-CovidProject,,,,,,,,,,,,,,,,,,,,,,,27,23,26,25,14,23,14,31,41,41,43,17,28
num_states_beat_baseline-IHME-CurveFit,,,6,6,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-IQVIA_ACOE-STAN,,,,,,,,15,19,12,37,24,20,28,28,,30,29,34,28,17,23,23,19,,,,,,,,,,,
num_states_beat_baseline-IUPUI-HkPrMobiDyR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,
num_states_beat_baseline-IowaStateLW-STEM,21,20,14,16,21,,20,11,16,19,19,15,16,12,8,12,22,27,27,32,16,31,29,12,10,24,17,25,3,11,17,17,14,26,20
num_states_beat_baseline-JCB-PRM,,,,,,,,,,22,26,22,22,32,25,16,32,24,22,20,15,28,20,16,3,25,,,,,,,,,
num_states_beat_baseline-JHUAPL-Bucky,,,,,,,,,16,12,32,26,22,26,17,15,20,18,23,24,19,21,30,19,27,17,28,26,20,27,30,30,29,11,15
num_states_beat_baseline-JHU_CSSE-DECOM,,,,,,,,,,,,,,22,,24,18,31,46,37,13,33,28,23,17,26,12,14,13,28,29,37,37,18,19
num_states_beat_baseline-JHU_IDD-CovidSP,8,11,10,12,15,12,18,18,16,22,11,12,12,11,9,5,8,5,,5,12,9,6,12,23,10,2,10,35,30,33,31,18,23,24
num_states_beat_baseline-JHU_UNC_GAS-StatMechPool,,,,,,,,,,,,,,,,,21,19,14,12,,,18,25,26,13,1,32,,15,35,29,27,9,22
num_states_beat_baseline-Karlen-pypm,,,5,5,5,13,19,18,15,22,19,16,17,12,14,33,38,40,39,27,11,24,30,17,18,18,13,28,30,23,37,36,40,17,26
num_states_beat_baseline-LANL-GrowthRate,2,5,19,18,26,28,33,18,19,34,25,19,15,17,17,15,25,35,41,32,23,28,27,26,34,21,13,31,37,31,34,30,38,8,19
num_states_beat_baseline-LNQ-ens1,,36,25,29,29,30,33,17,31,39,28,28,27,26,33,34,39,43,44,33,29,26,34,35,35,8,14,12,43,41,36,43,43,18,28
num_states_beat_baseline-MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,22,21,27,28,15,12
num_states_beat_baseline-MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,29,27,23,21,14,22,28
num_states_beat_baseline-MSRA-DeepST,,,,,,,,,,,,,,,,34,,40,41,35,14,30,32,,,,,,,,,,,,
num_states_beat_baseline-Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,35,24,19,23,32,23,7,36,41,42,43,20,31
num_states_beat_baseline-OliverWyman-Navigator,31,33,21,17,16,30,31,23,19,,27,21,20,33,31,31,42,41,44,38,17,32,35,25,3,28,22,23,3,7,20,22,32,13,31
num_states_beat_baseline-OneQuietNight-ML,,,,,,,,,,,,,,,,,,,,,17,35,36,35,27,26,23,25,42,30,30,32,36,19,27
num_states_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-RobertWalraven-ESG,1,11,15,19,25,17,25,9,4,27,8,8,2,11,16,32,16,22,42,21,21,22,19,23,21,8,13,20,30,23,36,41,42,19,19
num_states_beat_baseline-SigSci-TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,29,36,20,23
num_states_beat_baseline-TTU-squider,,,,,,,13,4,,,6,,8,10,7,1,6,13,9,9,13,15,16,12,13,12,14,17,22,15,17,11,11,12,13
num_states_beat_baseline-UCF-AEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-UCLA-SuEIR,28,33,23,10,8,19,22,25,22,28,10,10,18,10,8,2,5,4,6,10,21,27,25,25,26,22,20,24,42,37,32,33,,23,11
num_states_beat_baseline-UCSB-ACTS,,,,,,,,,,,,,,,,,24,21,14,8,14,17,15,6,7,9,29,27,6,2,,,,,
num_states_beat_baseline-UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,45,37,26,17,23,25,30,,16,20,41,30,35,32,,16,27
num_states_beat_baseline-UMich-RidgeTfReg,,,4,3,6,16,14,5,12,17,23,12,14,23,23,24,27,28,29,20,21,3,3,4,12,23,22,16,18,13,11,13,20,8,8
num_states_beat_baseline-USACE-ERDC_SEIR,10,13,21,22,24,31,29,27,21,27,23,24,23,,24,,32,,,28,25,16,,,,,,,,,,,,,
num_states_beat_baseline-USC-SI_kJalpha,28,22,9,30,26,29,30,19,22,22,18,21,23,32,27,31,34,34,29,25,16,22,28,29,30,29,15,33,10,36,38,36,39,24,26
num_states_beat_baseline-USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,39,41,,,,,,,,,,,,,,,,
num_states_beat_baseline-UVA-Ensemble,,,,,,,,,,,,,,,,,,,,26,21,28,19,8,4,8,32,13,4,2,37,,38,16,29
num_states_beat_baseline-UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-Wadhwani_AI-BayesOpt,,,,,,,,,,,,,,,,,,,,,,,0,18,9,,0,,,,,,,,
perc_beat_baseline-BPagano-RtDriven,,,,,,,,,,,,,,,,0.3333333333,0.4117647059,0.2549019608,0.5098039216,0.4117647059,0.1568627451,0.5882352941,0.3921568627,0.2549019608,0.2549019608,0.4705882353,0.5490196078,0.4509803922,0.5098039216,0.4901960784,0.6274509804,0.7254901961,0.5882352941,0.2352941176,0.3921568627
perc_beat_baseline-CEID-Walk,,,,,,0.4705882353,0.4901960784,0.3725490196,0.3137254902,0.4901960784,0.4509803922,0.4901960784,0.4901960784,0.5098039216,0.5882352941,0.5490196078,0.5490196078,0.5294117647,0.5882352941,0.6274509804,0.4509803922,0.5294117647,0.431372549,0.4705882353,0.4509803922,0.5294117647,0.5098039216,0.3921568627,0.4901960784,0.5294117647,0.5882352941,0.5490196078,0.5098039216,0.3725490196,0.4901960784
perc_beat_baseline-COVIDhub-ensemble,,,0.568627451,0.5294117647,0.3333333333,0.4901960784,0.6862745098,0.3529411765,0.431372549,0.7450980392,0.3725490196,0.3333333333,0.3333333333,0.1960784314,0.2352941176,0.1568627451,0.5098039216,0.4901960784,0.6274509804,0.7647058824,0.3725490196,0.6274509804,0.6274509804,0.5882352941,0.4509803922,0.5490196078,0.2156862745,0.5490196078,0.431372549,0.7254901961,0.862745098,0.8823529412,0.8431372549,0.3921568627,0.6470588235
perc_beat_baseline-COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666667,0.7843137255,0,0.4901960784,0.5490196078
perc_beat_baseline-CU-select,,,,,,0.5490196078,0.4901960784,0.4509803922,0.3529411765,0.3921568627,0.4117647059,0.2156862745,0.4509803922,0.431372549,0.3137254902,0.5098039216,0.5490196078,0.6274509804,0.6666666667,0.6862745098,0.568627451,0.3921568627,0.4901960784,0.568627451,0.6078431373,0.05882352941,0.5098039216,0.2352941176,0.6470588235,0.6862745098,0.7843137255,0.7254901961,0.7843137255,0.2745098039,0.6078431373
perc_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-Covid19Sim-Simulator,0.3333333333,0.3137254902,0.2549019608,0.1960784314,0.1176470588,,0.5,0.1764705882,0.4901960784,0.6078431373,0.4705882353,0.2745098039,0.4117647059,0.4117647059,0.2156862745,0.2549019608,0.2745098039,0.2745098039,0.05882352941,,0.5490196078,0.5490196078,0.3333333333,0.4509803922,0.3725490196,0.6078431373,0.137254902,0.6666666667,0.137254902,0.1568627451,0.1960784314,0.4705882353,0.431372549,0.4705882353,0.6666666667
perc_beat_baseline-CovidActNow-SEIR_CAN,0.3725490196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-CovidAnalytics-DELPHI,0.1960784314,0.07843137255,0.1176470588,0.1568627451,0.3137254902,0.09803921569,0.2549019608,0.1764705882,0.1764705882,0.3333333333,0.1176470588,0.03921568627,0.05882352941,0.01960784314,0.07843137255,0.01960784314,0.1764705882,0.07843137255,0.03921568627,0.05882352941,0.2549019608,0.3921568627,0.2941176471,0.2941176471,0.431372549,0.3725490196,0.3137254902,0.137254902,0.3333333333,0.3529411765,0.3725490196,0.4901960784,0.568627451,0.2549019608,0.2352941176
perc_beat_baseline-DDS-NBDS,,,,0.1764705882,0.5490196078,0.5294117647,0.5294117647,0.4117647059,0.3529411765,0.6078431373,0.3137254902,0.5294117647,0.431372549,0.2156862745,0.3333333333,0.3333333333,0.7254901961,0.7254901961,0.7254901961,0.5490196078,0.3921568627,0.3725490196,0.431372549,0.4117647059,0.568627451,0.3137254902,0.2156862745,0.2941176471,0.4509803922,0.4509803922,0.4705882353,0.3921568627,,0.3529411765,0.4117647059
perc_beat_baseline-FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-Geneva-DetGrowth,0.6274509804,0.5882352941,0.5294117647,0.3529411765,0.4117647059,0.4117647059,0.3725490196,0.4705882353,0.3333333333,0.6078431373,0.2352941176,0.4705882353,0.5882352941,0.5098039216,0.5490196078,0.6666666667,0.6862745098,0.8039215686,0.9019607843,0.6274509804,0.3725490196,0.5882352941,0.5098039216,0.5294117647,0.568627451,0.2941176471,0.5098039216,0.3137254902,0.5490196078,0.6078431373,0.6862745098,0.6666666667,0.7058823529,0.2549019608,0.431372549
perc_beat_baseline-Google_Harvard-CPF,,,,,,,,,,,,,,,0.07843137255,,0.6274509804,0.6666666667,0.7058823529,0.5490196078,0.3529411765,0.5294117647,0.4901960784,0.4117647059,0.1568627451,0.137254902,0.4117647059,0.5098039216,0.3725490196,0.5294117647,0.6274509804,0.6274509804,0.5882352941,0.3725490196,0.3921568627
perc_beat_baseline-IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-IEM_MED-CovidProject,,,,,,,,,,,,,,,,,,,,,,,0.5294117647,0.4509803922,0.5098039216,0.4901960784,0.2745098039,0.4509803922,0.2745098039,0.6078431373,0.8039215686,0.8039215686,0.8431372549,0.3333333333,0.5490196078
perc_beat_baseline-IHME-CurveFit,,,0.1176470588,0.1176470588,0.09803921569,0.07843137255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-IQVIA_ACOE-STAN,,,,,,,,0.306122449,0.387755102,0.2448979592,0.7551020408,0.4897959184,0.4081632653,0.5714285714,0.5714285714,,0.612244898,0.5918367347,0.693877551,0.5714285714,0.3469387755,0.4693877551,0.4693877551,0.387755102,,,,,,,,,,,
perc_beat_baseline-IUPUI-HkPrMobiDyR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,
perc_beat_baseline-IowaStateLW-STEM,0.4285714286,0.4081632653,0.2857142857,0.3265306122,0.4285714286,,0.4081632653,0.2244897959,0.3265306122,0.387755102,0.387755102,0.306122449,0.3265306122,0.2448979592,0.1632653061,0.2448979592,0.4489795918,0.5510204082,0.5510204082,0.6530612245,0.3265306122,0.6326530612,0.5918367347,0.2448979592,0.2040816327,0.4897959184,0.3469387755,0.5102040816,0.0612244898,0.2244897959,0.3469387755,0.3469387755,0.2857142857,0.5306122449,0.4081632653
perc_beat_baseline-JCB-PRM,,,,,,,,,,0.431372549,0.5098039216,0.431372549,0.431372549,0.6274509804,0.4901960784,0.3137254902,0.6274509804,0.4705882353,0.431372549,0.3921568627,0.2941176471,0.5490196078,0.3921568627,0.3137254902,0.05882352941,0.4901960784,,,,,,,,,
perc_beat_baseline-JHUAPL-Bucky,,,,,,,,,0.3137254902,0.2352941176,0.6274509804,0.5098039216,0.431372549,0.5098039216,0.3333333333,0.2941176471,0.3921568627,0.3529411765,0.4509803922,0.4705882353,0.3725490196,0.4117647059,0.5882352941,0.3725490196,0.5294117647,0.3333333333,0.5490196078,0.5098039216,0.3921568627,0.5294117647,0.5882352941,0.5882352941,0.568627451,0.2156862745,0.2941176471
perc_beat_baseline-JHU_CSSE-DECOM,,,,,,,,,,,,,,0.5238095238,,0.4705882353,0.3529411765,0.6458333333,0.9019607843,0.7254901961,0.2549019608,0.6470588235,0.5490196078,0.46,0.34,0.5098039216,0.2448979592,0.2857142857,0.2653061224,0.5833333333,0.568627451,0.7254901961,0.7254901961,0.3529411765,0.3725490196
perc_beat_baseline-JHU_IDD-CovidSP,0.1568627451,0.2156862745,0.1960784314,0.2352941176,0.2941176471,0.2352941176,0.3529411765,0.3529411765,0.3137254902,0.431372549,0.2156862745,0.2352941176,0.2352941176,0.2156862745,0.1764705882,0.09803921569,0.1568627451,0.09803921569,,0.09803921569,0.2352941176,0.1764705882,0.1176470588,0.2352941176,0.4509803922,0.1960784314,0.03921568627,0.1960784314,0.6862745098,0.5882352941,0.6470588235,0.6078431373,0.3529411765,0.4509803922,0.4705882353
perc_beat_baseline-JHU_UNC_GAS-StatMechPool,,,,,,,,,,,,,,,,,0.4117647059,0.3725490196,0.2745098039,0.2352941176,,,0.3529411765,0.4901960784,0.5098039216,0.2549019608,0.01960784314,0.6274509804,,0.2941176471,0.6862745098,0.568627451,0.5294117647,0.1764705882,0.431372549
perc_beat_baseline-Karlen-pypm,,,0.09803921569,0.09803921569,0.09803921569,0.2549019608,0.3725490196,0.3529411765,0.2941176471,0.431372549,0.3725490196,0.3137254902,0.3333333333,0.2352941176,0.2745098039,0.6470588235,0.7450980392,0.7843137255,0.7647058824,0.5294117647,0.2156862745,0.4705882353,0.5882352941,0.3333333333,0.3529411765,0.3529411765,0.2549019608,0.5490196078,0.5882352941,0.4509803922,0.7254901961,0.7058823529,0.7843137255,0.3333333333,0.5098039216
perc_beat_baseline-LANL-GrowthRate,0.03921568627,0.09803921569,0.3725490196,0.3529411765,0.5098039216,0.5490196078,0.6470588235,0.3529411765,0.3725490196,0.6666666667,0.4901960784,0.3725490196,0.2941176471,0.3333333333,0.3333333333,0.2941176471,0.4901960784,0.6862745098,0.8039215686,0.6274509804,0.4509803922,0.5490196078,0.5294117647,0.5098039216,0.6666666667,0.4117647059,0.2549019608,0.6078431373,0.7254901961,0.6078431373,0.6666666667,0.5882352941,0.7450980392,0.1568627451,0.3725490196
perc_beat_baseline-LNQ-ens1,,0.72,0.4901960784,0.568627451,0.568627451,0.5882352941,0.6470588235,0.3333333333,0.6078431373,0.7647058824,0.5490196078,0.5490196078,0.5294117647,0.5098039216,0.6470588235,0.6666666667,0.7647058824,0.8431372549,0.862745098,0.6470588235,0.568627451,0.5098039216,0.6666666667,0.6862745098,0.6862745098,0.1568627451,0.2745098039,0.2352941176,0.8431372549,0.8039215686,0.7058823529,0.8431372549,0.8431372549,0.3529411765,0.5490196078
perc_beat_baseline-MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.387755102,0.44,0.42,0.54,0.56,0.306122449,0.2448979592
perc_beat_baseline-MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,0.58,0.54,0.46,0.42,0.28,0.44,0.56
perc_beat_baseline-MSRA-DeepST,,,,,,,,,,,,,,,,0.7234042553,,0.8510638298,0.8723404255,0.7,0.28,0.6,0.64,,,,,,,,,,,,
perc_beat_baseline-Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,0.7,0.48,0.38,0.46,0.64,0.46,0.14,0.72,0.82,0.84,0.86,0.3921568627,0.6078431373
perc_beat_baseline-OliverWyman-Navigator,0.6078431373,0.6470588235,0.4117647059,0.3333333333,0.3137254902,0.5882352941,0.6078431373,0.4509803922,0.3725490196,,0.5294117647,0.4117647059,0.3921568627,0.6470588235,0.6078431373,0.6078431373,0.8235294118,0.8039215686,0.862745098,0.7450980392,0.3333333333,0.6274509804,0.6862745098,0.4901960784,0.05882352941,0.5490196078,0.431372549,0.4509803922,0.05882352941,0.137254902,0.3921568627,0.431372549,0.6274509804,0.2549019608,0.6078431373
